<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDBTC,D,20100719,000000,0.385043,0.385043,0.385043,0.385043,0,0
TWDBTC,D,20100720,000000,0.415534,0.415534,0.415534,0.415534,0,0
TWDBTC,D,20100721,000000,0.392169,0.392169,0.392169,0.392169,0,0
TWDBTC,D,20100722,000000,0.616036,0.616036,0.616036,0.616036,0,0
TWDBTC,D,20100723,000000,0.496799,0.496799,0.496799,0.496799,0,0
TWDBTC,D,20100726,000000,0.556385,0.556385,0.556385,0.556385,0,0
TWDBTC,D,20100727,000000,0.520589,0.520589,0.520589,0.520589,0,0
TWDBTC,D,20100728,000000,0.529972,0.529972,0.529972,0.529972,0,0
TWDBTC,D,20100729,000000,0.447256,0.447256,0.447256,0.447256,0,0
TWDBTC,D,20100730,000000,0.498623,0.498623,0.498623,0.498623,0,0
TWDBTC,D,20100802,000000,0.521061,0.521061,0.521061,0.521061,0,0
TWDBTC,D,20100803,000000,0.524538,0.524538,0.524538,0.524538,0,0
TWDBTC,D,20100804,000000,0.551197,0.551197,0.551197,0.551197,0,0
TWDBTC,D,20100805,000000,0.515804,0.515804,0.515804,0.515804,0,0
TWDBTC,D,20100806,000000,0.50593,0.50593,0.50593,0.50593,0,0
TWDBTC,D,20100809,000000,0.444647,0.444647,0.444647,0.444647,0,0
TWDBTC,D,20100810,000000,0.449501,0.449501,0.449501,0.449501,0,0
TWDBTC,D,20100811,000000,0.468773,0.468773,0.468773,0.468773,0,0
TWDBTC,D,20100812,000000,0.446881,0.446881,0.446881,0.446881,0,0
TWDBTC,D,20100813,000000,0.485443,0.485443,0.485443,0.485443,0,0
TWDBTC,D,20100816,000000,0.477678,0.477678,0.477678,0.477678,0,0
TWDBTC,D,20100817,000000,0.447319,0.447319,0.447319,0.447319,0,0
TWDBTC,D,20100818,000000,0.461086,0.461086,0.461086,0.461086,0,0
TWDBTC,D,20100819,000000,0.469719,0.469719,0.469719,0.469719,0,0
TWDBTC,D,20100820,000000,0.477787,0.477787,0.477787,0.477787,0,0
TWDBTC,D,20100823,000000,0.482367,0.482367,0.482367,0.482367,0,0
TWDBTC,D,20100824,000000,0.480493,0.480493,0.480493,0.480493,0,0
TWDBTC,D,20100825,000000,0.481289,0.481289,0.481289,0.481289,0,0
TWDBTC,D,20100826,000000,0.487603,0.487603,0.487603,0.487603,0,0
TWDBTC,D,20100827,000000,0.480251,0.480251,0.480251,0.480251,0,0
TWDBTC,D,20100830,000000,0.48062,0.48062,0.48062,0.48062,0,0
TWDBTC,D,20100831,000000,0.520243,0.520243,0.520243,0.520243,0,0
TWDBTC,D,20100901,000000,0.49677,0.49677,0.49677,0.49677,0,0
TWDBTC,D,20100902,000000,0.49297,0.49297,0.49297,0.49297,0,0
TWDBTC,D,20100903,000000,0.514906,0.514906,0.514906,0.514906,0,0
TWDBTC,D,20100906,000000,0.508646,0.508646,0.508646,0.508646,0,0
TWDBTC,D,20100907,000000,0.512546,0.512546,0.512546,0.512546,0,0
TWDBTC,D,20100908,000000,0.504918,0.504918,0.504918,0.504918,0,0
TWDBTC,D,20100909,000000,0.513334,0.513334,0.513334,0.513334,0,0
TWDBTC,D,20100910,000000,0.508041,0.508041,0.508041,0.508041,0,0
TWDBTC,D,20100913,000000,0.506696,0.506696,0.506696,0.506696,0,0
TWDBTC,D,20100914,000000,0.508935,0.508935,0.508935,0.508935,0,0
TWDBTC,D,20100915,000000,0.521403,0.521403,0.521403,0.521403,0,0
TWDBTC,D,20100916,000000,0.509624,0.509624,0.509624,0.509624,0,0
TWDBTC,D,20100917,000000,0.534198,0.534198,0.534198,0.534198,0,0
TWDBTC,D,20100920,000000,0.508571,0.508571,0.508571,0.508571,0,0
TWDBTC,D,20100921,000000,0.504919,0.504919,0.504919,0.504919,0,0
TWDBTC,D,20100922,000000,0.509695,0.509695,0.509695,0.509695,0,0
TWDBTC,D,20100923,000000,0.508249,0.508249,0.508249,0.508249,0,0
TWDBTC,D,20100924,000000,0.512404,0.512404,0.512404,0.512404,0,0
TWDBTC,D,20100927,000000,0.512539,0.512539,0.512539,0.512539,0,0
TWDBTC,D,20100928,000000,0.51479,0.51479,0.51479,0.51479,0,0
TWDBTC,D,20100929,000000,0.517337,0.517337,0.517337,0.517337,0,0
TWDBTC,D,20100930,000000,0.517846,0.517846,0.517846,0.517846,0,0
TWDBTC,D,20101001,000000,0.515472,0.515472,0.515472,0.515472,0,0
TWDBTC,D,20101004,000000,0.522201,0.522201,0.522201,0.522201,0,0
TWDBTC,D,20101005,000000,0.52584,0.52584,0.52584,0.52584,0,0
TWDBTC,D,20101006,000000,0.516847,0.516847,0.516847,0.516847,0,0
TWDBTC,D,20101007,000000,0.485225,0.485225,0.485225,0.485225,0,0
TWDBTC,D,20101008,000000,0.373163,0.373163,0.373163,0.373163,0,0
