<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDCAD,D,19840102,000000,0.030861,0.030861,0.030861,0.030861,0,0
TWDCAD,D,19840109,000000,0.031177,0.031177,0.031177,0.031177,0,0
TWDCAD,D,19840116,000000,0.031177,0.031177,0.031177,0.031177,0,0
TWDCAD,D,19840123,000000,0.031177,0.031177,0.031177,0.031177,0,0
TWDCAD,D,19840130,000000,0.030763,0.030763,0.030763,0.030763,0,0
TWDCAD,D,19840206,000000,0.031152,0.031152,0.031152,0.031152,0,0
TWDCAD,D,19840213,000000,0.031152,0.031152,0.031152,0.031152,0,0
TWDCAD,D,19840220,000000,0.030835,0.030835,0.030835,0.030835,0,0
TWDCAD,D,19840301,000000,0.031091,0.031091,0.031091,0.031091,0,0
TWDCAD,D,19840305,000000,0.031184,0.031184,0.031184,0.031184,0,0
TWDCAD,D,19840312,000000,0.031314,0.031314,0.031314,0.031314,0,0
TWDCAD,D,19840319,000000,0.031361,0.031361,0.031361,0.031361,0,0
TWDCAD,D,19840326,000000,0.031721,0.031721,0.031721,0.031721,0,0
TWDCAD,D,19840402,000000,0.032094,0.032094,0.032094,0.032094,0,0
TWDCAD,D,19840409,000000,0.031721,0.031721,0.031721,0.031721,0,0
TWDCAD,D,19840416,000000,0.031861,0.031861,0.031861,0.031861,0,0
TWDCAD,D,19840424,000000,0.032221,0.032221,0.032221,0.032221,0,0
TWDCAD,D,19840502,000000,0.032244,0.032244,0.032244,0.032244,0,0
TWDCAD,D,19840507,000000,0.032558,0.032558,0.032558,0.032558,0,0
TWDCAD,D,19840514,000000,0.032558,0.032558,0.032558,0.032558,0,0
TWDCAD,D,19840521,000000,0.032465,0.032465,0.032465,0.032465,0,0
TWDCAD,D,19840528,000000,0.032465,0.032465,0.032465,0.032465,0,0
TWDCAD,D,19840604,000000,0.032267,0.032267,0.032267,0.032267,0,0
TWDCAD,D,19840611,000000,0.032471,0.032471,0.032471,0.032471,0,0
TWDCAD,D,19840618,000000,0.0328,0.0328,0.0328,0.0328,0,0
TWDCAD,D,19840625,000000,0.03243,0.03243,0.03243,0.03243,0,0
TWDCAD,D,19840702,000000,0.033212,0.033212,0.033212,0.033212,0,0
TWDCAD,D,19840709,000000,0.033306,0.033306,0.033306,0.033306,0,0
TWDCAD,D,19840716,000000,0.033353,0.033353,0.033353,0.033353,0,0
TWDCAD,D,19840723,000000,0.033647,0.033647,0.033647,0.033647,0,0
TWDCAD,D,19840730,000000,0.033465,0.033465,0.033465,0.033465,0,0
TWDCAD,D,19840806,000000,0.033593,0.033593,0.033593,0.033593,0,0
TWDCAD,D,19840813,000000,0.033207,0.033207,0.033207,0.033207,0,0
TWDCAD,D,19840820,000000,0.033241,0.033241,0.033241,0.033241,0,0
TWDCAD,D,19840827,000000,0.03323,0.03323,0.03323,0.03323,0,0
TWDCAD,D,19840901,000000,0.033126,0.033126,0.033126,0.033126,0,0
TWDCAD,D,19840910,000000,0.0334,0.0334,0.0334,0.0334,0,0
TWDCAD,D,19840917,000000,0.033621,0.033621,0.033621,0.033621,0,0
TWDCAD,D,19840924,000000,0.033438,0.033438,0.033438,0.033438,0,0
TWDCAD,D,19841001,000000,0.033821,0.033821,0.033821,0.033821,0,0
TWDCAD,D,19841008,000000,0.033558,0.033558,0.033558,0.033558,0,0
TWDCAD,D,19841015,000000,0.033853,0.033853,0.033853,0.033853,0,0
TWDCAD,D,19841022,000000,0.033667,0.033667,0.033667,0.033667,0,0
TWDCAD,D,19841029,000000,0.033705,0.033705,0.033705,0.033705,0,0
TWDCAD,D,19841105,000000,0.0338,0.0338,0.0338,0.0338,0,0
TWDCAD,D,19841112,000000,0.033263,0.033263,0.033263,0.033263,0,0
TWDCAD,D,19841119,000000,0.033404,0.033404,0.033404,0.033404,0,0
TWDCAD,D,19841126,000000,0.033305,0.033305,0.033305,0.033305,0,0
TWDCAD,D,19841201,000000,0.033579,0.033579,0.033579,0.033579,0,0
TWDCAD,D,19841210,000000,0.033558,0.033558,0.033558,0.033558,0,0
TWDCAD,D,19841217,000000,0.033198,0.033198,0.033198,0.033198,0,0
TWDCAD,D,19841224,000000,0.033219,0.033219,0.033219,0.033219,0,0
TWDCAD,D,19850101,000000,0.033267,0.033267,0.033267,0.033267,0,0
TWDCAD,D,19850107,000000,0.033533,0.033533,0.033533,0.033533,0,0
TWDCAD,D,19850114,000000,0.033371,0.033371,0.033371,0.033371,0,0
TWDCAD,D,19850121,000000,0.033619,0.033619,0.033619,0.033619,0,0
TWDCAD,D,19850128,000000,0.033791,0.033791,0.033791,0.033791,0,0
TWDCAD,D,19850204,000000,0.033781,0.033781,0.033781,0.033781,0,0
TWDCAD,D,19850211,000000,0.034029,0.034029,0.034029,0.034029,0,0
TWDCAD,D,19850218,000000,0.034276,0.034276,0.034276,0.034276,0,0
TWDCAD,D,19850225,000000,0.034191,0.034191,0.034191,0.034191,0,0
TWDCAD,D,19850304,000000,0.035078,0.035078,0.035078,0.035078,0,0
TWDCAD,D,19850311,000000,0.035901,0.035901,0.035901,0.035901,0,0
TWDCAD,D,19850318,000000,0.034931,0.034931,0.034931,0.034931,0,0
TWDCAD,D,19850325,000000,0.034569,0.034569,0.034569,0.034569,0,0
TWDCAD,D,19850329,000000,0.034515,0.034515,0.034515,0.034515,0,0
TWDCAD,D,19850401,000000,0.034515,0.034515,0.034515,0.034515,0,0
TWDCAD,D,19850409,000000,0.03457,0.03457,0.03457,0.03457,0,0
TWDCAD,D,19850415,000000,0.03482,0.03482,0.03482,0.03482,0,0
TWDCAD,D,19850422,000000,0.034505,0.034505,0.034505,0.034505,0,0
TWDCAD,D,19850429,000000,0.03403,0.03403,0.03403,0.03403,0,0
TWDCAD,D,19850506,000000,0.03429,0.03429,0.03429,0.03429,0,0
TWDCAD,D,19850513,000000,0.03478,0.03478,0.03478,0.03478,0,0
TWDCAD,D,19850520,000000,0.034424,0.034424,0.034424,0.034424,0,0
TWDCAD,D,19850527,000000,0.034424,0.034424,0.034424,0.034424,0,0
TWDCAD,D,19850601,000000,0.034345,0.034345,0.034345,0.034345,0,0
TWDCAD,D,19850610,000000,0.034504,0.034504,0.034504,0.034504,0,0
TWDCAD,D,19850617,000000,0.034422,0.034422,0.034422,0.034422,0,0
TWDCAD,D,19850624,000000,0.034426,0.034426,0.034426,0.034426,0,0
TWDCAD,D,19850701,000000,0.034095,0.034095,0.034095,0.034095,0,0
TWDCAD,D,19850708,000000,0.034009,0.034009,0.034009,0.034009,0,0
TWDCAD,D,19850715,000000,0.033793,0.033793,0.033793,0.033793,0,0
TWDCAD,D,19850723,000000,0.033496,0.033496,0.033496,0.033496,0,0
TWDCAD,D,19850729,000000,0.033148,0.033148,0.033148,0.033148,0,0
TWDCAD,D,19850805,000000,0.033404,0.033404,0.033404,0.033404,0,0
TWDCAD,D,19850812,000000,0.033518,0.033518,0.033518,0.033518,0,0
TWDCAD,D,19850819,000000,0.033372,0.033372,0.033372,0.033372,0,0
TWDCAD,D,19850826,000000,0.033469,0.033469,0.033469,0.033469,0,0
TWDCAD,D,19850902,000000,0.033469,0.033469,0.033469,0.033469,0,0
TWDCAD,D,19850909,000000,0.034045,0.034045,0.034045,0.034045,0,0
TWDCAD,D,19850916,000000,0.033842,0.033842,0.033842,0.033842,0,0
TWDCAD,D,19850923,000000,0.033814,0.033814,0.033814,0.033814,0,0
TWDCAD,D,19850930,000000,0.033757,0.033757,0.033757,0.033757,0,0
TWDCAD,D,19851007,000000,0.034118,0.034118,0.034118,0.034118,0,0
TWDCAD,D,19851014,000000,0.0339,0.0339,0.0339,0.0339,0,0
TWDCAD,D,19851021,000000,0.034209,0.034209,0.034209,0.034209,0,0
TWDCAD,D,19851028,000000,0.033982,0.033982,0.033982,0.033982,0,0
TWDCAD,D,19851104,000000,0.034009,0.034009,0.034009,0.034009,0,0
TWDCAD,D,19851111,000000,0.034321,0.034321,0.034321,0.034321,0,0
TWDCAD,D,19851118,000000,0.034431,0.034431,0.034431,0.034431,0,0
TWDCAD,D,19851125,000000,0.034486,0.034486,0.034486,0.034486,0,0
TWDCAD,D,19851202,000000,0.034648,0.034648,0.034648,0.034648,0,0
TWDCAD,D,19851209,000000,0.034991,0.034991,0.034991,0.034991,0,0
TWDCAD,D,19851216,000000,0.034972,0.034972,0.034972,0.034972,0,0
TWDCAD,D,19851223,000000,0.034972,0.034972,0.034972,0.034972,0,0
TWDCAD,D,19860101,000000,0.034972,0.034972,0.034972,0.034972,0,0
TWDCAD,D,19860106,000000,0.035114,0.035114,0.035114,0.035114,0,0
TWDCAD,D,19860113,000000,0.035654,0.035654,0.035654,0.035654,0,0
TWDCAD,D,19860120,000000,0.035314,0.035314,0.035314,0.035314,0,0
TWDCAD,D,19860127,000000,0.035476,0.035476,0.035476,0.035476,0,0
TWDCAD,D,19860201,000000,0.0359,0.0359,0.0359,0.0359,0,0
TWDCAD,D,19860210,000000,0.036627,0.036627,0.036627,0.036627,0,0
TWDCAD,D,19860217,000000,0.035512,0.035512,0.035512,0.035512,0,0
TWDCAD,D,19860224,000000,0.035818,0.035818,0.035818,0.035818,0,0
TWDCAD,D,19860301,000000,0.035773,0.035773,0.035773,0.035773,0,0
TWDCAD,D,19860303,000000,0.035714,0.035714,0.035714,0.035714,0,0
TWDCAD,D,19860310,000000,0.03667,0.03667,0.03667,0.03667,0,0
TWDCAD,D,19860317,000000,0.035891,0.035891,0.035891,0.035891,0,0
TWDCAD,D,19860318,000000,0.03595,0.03595,0.03595,0.03595,0,0
TWDCAD,D,19860324,000000,0.035908,0.035908,0.035908,0.035908,0,0
TWDCAD,D,19860401,000000,0.036151,0.036151,0.036151,0.036151,0,0
TWDCAD,D,19860407,000000,0.035802,0.035802,0.035802,0.035802,0,0
TWDCAD,D,19860409,000000,0.035818,0.035818,0.035818,0.035818,0,0
TWDCAD,D,19860414,000000,0.035812,0.035812,0.035812,0.035812,0,0
