<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDXAU,D,19840109,000000,0.00006842,0.00006842,0.00006842,0.00006842,0,0
TWDXAU,D,19840116,000000,0.00006657,0.00006657,0.00006657,0.00006657,0,0
TWDXAU,D,19840123,000000,0.00006842,0.00006842,0.00006842,0.00006842,0,0
TWDXAU,D,19840130,000000,0.00006651,0.00006651,0.00006651,0.00006651,0,0
TWDXAU,D,19840206,000000,0.00006476,0.00006476,0.00006476,0.00006476,0,0
TWDXAU,D,19840213,000000,0.00006476,0.00006476,0.00006476,0.00006476,0,0
TWDXAU,D,19840220,000000,0.00006584,0.00006584,0.00006584,0.00006584,0,0
TWDXAU,D,19840301,000000,0.00006218,0.00006218,0.00006218,0.00006218,0,0
TWDXAU,D,19840305,000000,0.00006166,0.00006166,0.00006166,0.00006166,0,0
TWDXAU,D,19840312,000000,0.00006263,0.00006263,0.00006263,0.00006263,0,0
TWDXAU,D,19840319,000000,0.00006272,0.00006272,0.00006272,0.00006272,0,0
TWDXAU,D,19840326,000000,0.00006495,0.00006495,0.00006495,0.00006495,0,0
TWDXAU,D,19840402,000000,0.00006495,0.00006495,0.00006495,0.00006495,0,0
TWDXAU,D,19840409,000000,0.00006495,0.00006495,0.00006495,0.00006495,0,0
TWDXAU,D,19840416,000000,0.00006524,0.00006524,0.00006524,0.00006524,0,0
TWDXAU,D,19840424,000000,0.00006598,0.00006598,0.00006598,0.00006598,0,0
TWDXAU,D,19840502,000000,0.00006602,0.00006602,0.00006602,0.00006602,0,0
TWDXAU,D,19840507,000000,0.00006667,0.00006667,0.00006667,0.00006667,0,0
TWDXAU,D,19840514,000000,0.00006667,0.00006667,0.00006667,0.00006667,0,0
TWDXAU,D,19840521,000000,0.00006648,0.00006648,0.00006648,0.00006648,0,0
TWDXAU,D,19840528,000000,0.00006648,0.00006648,0.00006648,0.00006648,0,0
TWDXAU,D,19840604,000000,0.00006167,0.00006167,0.00006167,0.00006167,0,0
TWDXAU,D,19840611,000000,0.00006571,0.00006571,0.00006571,0.00006571,0,0
TWDXAU,D,19840618,000000,0.00006638,0.00006638,0.00006638,0.00006638,0,0
TWDXAU,D,19840625,000000,0.00006802,0.00006802,0.00006802,0.00006802,0,0
TWDXAU,D,19840702,000000,0.00006721,0.00006721,0.00006721,0.00006721,0,0
TWDXAU,D,19840709,000000,0.00007259,0.00007259,0.00007259,0.00007259,0,0
TWDXAU,D,19840716,000000,0.00007269,0.00007269,0.00007269,0.00007269,0,0
TWDXAU,D,19840723,000000,0.00007526,0.00007526,0.00007526,0.00007526,0,0
TWDXAU,D,19840730,000000,0.00007195,0.00007195,0.00007195,0.00007195,0,0
TWDXAU,D,19840806,000000,0.00007046,0.00007046,0.00007046,0.00007046,0,0
TWDXAU,D,19840813,000000,0.00007046,0.00007046,0.00007046,0.00007046,0,0
TWDXAU,D,19840820,000000,0.0000723,0.0000723,0.0000723,0.0000723,0,0
TWDXAU,D,19840827,000000,0.00007051,0.00007051,0.00007051,0.00007051,0,0
TWDXAU,D,19840901,000000,0.00007152,0.00007152,0.00007152,0.00007152,0,0
TWDXAU,D,19840910,000000,0.00007379,0.00007379,0.00007379,0.00007379,0,0
TWDXAU,D,19840917,000000,0.00007428,0.00007428,0.00007428,0.00007428,0,0
TWDXAU,D,19840924,000000,0.00007296,0.00007296,0.00007296,0.00007296,0,0
TWDXAU,D,19841001,000000,0.00007302,0.00007302,0.00007302,0.00007302,0,0
TWDXAU,D,19841008,000000,0.00007414,0.00007414,0.00007414,0.00007414,0,0
TWDXAU,D,19841015,000000,0.00007479,0.00007479,0.00007479,0.00007479,0,0
TWDXAU,D,19841022,000000,0.00007516,0.00007516,0.00007516,0.00007516,0,0
TWDXAU,D,19841029,000000,0.00007447,0.00007447,0.00007447,0.00007447,0,0
TWDXAU,D,19841105,000000,0.00007298,0.00007298,0.00007298,0.00007298,0,0
TWDXAU,D,19841112,000000,0.00007349,0.00007349,0.00007349,0.00007349,0,0
TWDXAU,D,19841119,000000,0.00007302,0.00007302,0.00007302,0.00007302,0,0
TWDXAU,D,19841126,000000,0.00007717,0.00007717,0.00007717,0.00007717,0,0
TWDXAU,D,19841201,000000,0.00007595,0.00007595,0.00007595,0.00007595,0,0
TWDXAU,D,19841210,000000,0.00007591,0.00007591,0.00007591,0.00007591,0,0
