<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWDXDR,D,19910102,000000,0.025797,0.025797,0.025797,0.025797,0,0
TWDXDR,D,19910103,000000,0.025804,0.025804,0.025804,0.025804,0,0
TWDXDR,D,19910104,000000,0.025933,0.025933,0.025933,0.025933,0,0
TWDXDR,D,19910107,000000,0.026179,0.026179,0.026179,0.026179,0,0
TWDXDR,D,19910108,000000,0.026136,0.026136,0.026136,0.026136,0,0
TWDXDR,D,19910109,000000,0.025917,0.025917,0.025917,0.025917,0,0
TWDXDR,D,19910110,000000,0.02605,0.02605,0.02605,0.02605,0,0
TWDXDR,D,19910111,000000,0.026054,0.026054,0.026054,0.026054,0,0
TWDXDR,D,19910114,000000,0.026051,0.026051,0.026051,0.026051,0,0
TWDXDR,D,19910115,000000,0.025981,0.025981,0.025981,0.025981,0,0
TWDXDR,D,19910116,000000,0.026021,0.026021,0.026021,0.026021,0,0
TWDXDR,D,19910117,000000,0.025804,0.025804,0.025804,0.025804,0,0
TWDXDR,D,19910118,000000,0.025705,0.025705,0.025705,0.025705,0,0
TWDXDR,D,19910121,000000,0.025618,0.025618,0.025618,0.025618,0,0
TWDXDR,D,19910122,000000,0.025618,0.025618,0.025618,0.025618,0,0
TWDXDR,D,19910123,000000,0.025586,0.025586,0.025586,0.025586,0,0
TWDXDR,D,19910124,000000,0.025567,0.025567,0.025567,0.025567,0,0
TWDXDR,D,19910125,000000,0.025597,0.025597,0.025597,0.025597,0,0
TWDXDR,D,19910128,000000,0.025575,0.025575,0.025575,0.025575,0,0
TWDXDR,D,19910129,000000,0.025541,0.025541,0.025541,0.025541,0,0
TWDXDR,D,19910130,000000,0.025726,0.025726,0.025726,0.025726,0,0
TWDXDR,D,19910131,000000,0.025641,0.025641,0.025641,0.025641,0,0
TWDXDR,D,19910201,000000,0.025568,0.025568,0.025568,0.025568,0,0
TWDXDR,D,19910204,000000,0.025535,0.025535,0.025535,0.025535,0,0
TWDXDR,D,19910205,000000,0.025474,0.025474,0.025474,0.025474,0,0
TWDXDR,D,19910206,000000,0.025337,0.025337,0.025337,0.025337,0,0
TWDXDR,D,19910207,000000,0.025337,0.025337,0.025337,0.025337,0,0
TWDXDR,D,19910208,000000,0.025378,0.025378,0.025378,0.025378,0,0
TWDXDR,D,19910211,000000,0.025297,0.025297,0.025297,0.025297,0,0
TWDXDR,D,19910212,000000,0.025346,0.025346,0.025346,0.025346,0,0
TWDXDR,D,19910213,000000,0.025396,0.025396,0.025396,0.025396,0,0
TWDXDR,D,19910214,000000,0.025486,0.025486,0.025486,0.025486,0,0
TWDXDR,D,19910215,000000,0.025585,0.025585,0.025585,0.025585,0,0
TWDXDR,D,19910218,000000,0.025634,0.025634,0.025634,0.025634,0,0
TWDXDR,D,19910219,000000,0.025739,0.025739,0.025739,0.025739,0,0
TWDXDR,D,19910220,000000,0.025762,0.025762,0.025762,0.025762,0,0
TWDXDR,D,19910221,000000,0.025707,0.025707,0.025707,0.025707,0,0
TWDXDR,D,19910222,000000,0.025838,0.025838,0.025838,0.025838,0,0
TWDXDR,D,19910225,000000,0.025995,0.025995,0.025995,0.025995,0,0
TWDXDR,D,19910226,000000,0.025966,0.025966,0.025966,0.025966,0,0
TWDXDR,D,19910227,000000,0.025966,0.025966,0.025966,0.025966,0,0
TWDXDR,D,19910228,000000,0.026024,0.026024,0.026024,0.026024,0,0
TWDXDR,D,19910301,000000,0.026158,0.026158,0.026158,0.026158,0,0
TWDXDR,D,19910304,000000,0.026187,0.026187,0.026187,0.026187,0,0
TWDXDR,D,19910305,000000,0.026162,0.026162,0.026162,0.026162,0,0
TWDXDR,D,19910306,000000,0.026252,0.026252,0.026252,0.026252,0,0
TWDXDR,D,19910307,000000,0.02627,0.02627,0.02627,0.02627,0,0
TWDXDR,D,19910308,000000,0.026392,0.026392,0.026392,0.026392,0,0
TWDXDR,D,19910311,000000,0.026569,0.026569,0.026569,0.026569,0,0
TWDXDR,D,19910312,000000,0.026468,0.026468,0.026468,0.026468,0,0
TWDXDR,D,19910313,000000,0.026496,0.026496,0.026496,0.026496,0,0
TWDXDR,D,19910314,000000,0.026488,0.026488,0.026488,0.026488,0,0
TWDXDR,D,19910315,000000,0.026572,0.026572,0.026572,0.026572,0,0
TWDXDR,D,19910318,000000,0.026835,0.026835,0.026835,0.026835,0,0
TWDXDR,D,19910319,000000,0.026923,0.026923,0.026923,0.026923,0,0
TWDXDR,D,19910320,000000,0.026895,0.026895,0.026895,0.026895,0,0
TWDXDR,D,19910321,000000,0.026783,0.026783,0.026783,0.026783,0,0
TWDXDR,D,19910322,000000,0.026815,0.026815,0.026815,0.026815,0,0
TWDXDR,D,19910325,000000,0.027029,0.027029,0.027029,0.027029,0,0
TWDXDR,D,19910326,000000,0.027126,0.027126,0.027126,0.027126,0,0
TWDXDR,D,19910327,000000,0.027149,0.027149,0.027149,0.027149,0,0
TWDXDR,D,19910328,000000,0.027111,0.027111,0.027111,0.027111,0,0
TWDXDR,D,19910329,000000,0.027039,0.027039,0.027039,0.027039,0,0
TWDXDR,D,19910402,000000,0.026876,0.026876,0.026876,0.026876,0,0
TWDXDR,D,19910403,000000,0.026806,0.026806,0.026806,0.026806,0,0
TWDXDR,D,19910404,000000,0.026726,0.026726,0.026726,0.026726,0,0
TWDXDR,D,19910405,000000,0.026858,0.026858,0.026858,0.026858,0,0
TWDXDR,D,19910408,000000,0.026965,0.026965,0.026965,0.026965,0,0
TWDXDR,D,19910409,000000,0.026913,0.026913,0.026913,0.026913,0,0
TWDXDR,D,19910410,000000,0.027053,0.027053,0.027053,0.027053,0,0
TWDXDR,D,19910411,000000,0.026873,0.026873,0.026873,0.026873,0,0
TWDXDR,D,19910412,000000,0.026972,0.026972,0.026972,0.026972,0,0
TWDXDR,D,19910415,000000,0.026878,0.026878,0.026878,0.026878,0,0
TWDXDR,D,19910416,000000,0.026809,0.026809,0.026809,0.026809,0,0
TWDXDR,D,19910417,000000,0.026914,0.026914,0.026914,0.026914,0,0
TWDXDR,D,19910418,000000,0.026985,0.026985,0.026985,0.026985,0,0
TWDXDR,D,19910419,000000,0.02728,0.02728,0.02728,0.02728,0,0
TWDXDR,D,19910422,000000,0.027462,0.027462,0.027462,0.027462,0,0
TWDXDR,D,19910423,000000,0.027319,0.027319,0.027319,0.027319,0,0
TWDXDR,D,19910424,000000,0.027439,0.027439,0.027439,0.027439,0,0
TWDXDR,D,19910425,000000,0.027376,0.027376,0.027376,0.027376,0,0
TWDXDR,D,19910426,000000,0.027425,0.027425,0.027425,0.027425,0,0
TWDXDR,D,19910429,000000,0.027478,0.027478,0.027478,0.027478,0,0
TWDXDR,D,19910430,000000,0.027149,0.027149,0.027149,0.027149,0,0
TWDXDR,D,19910501,000000,0.027204,0.027204,0.027204,0.027204,0,0
TWDXDR,D,19910506,000000,0.027405,0.027405,0.027405,0.027405,0,0
TWDXDR,D,19910507,000000,0.027264,0.027264,0.027264,0.027264,0,0
TWDXDR,D,19910508,000000,0.027293,0.027293,0.027293,0.027293,0,0
TWDXDR,D,19910509,000000,0.027427,0.027427,0.027427,0.027427,0,0
TWDXDR,D,19910510,000000,0.027305,0.027305,0.027305,0.027305,0,0
TWDXDR,D,19910513,000000,0.027262,0.027262,0.027262,0.027262,0,0
TWDXDR,D,19910514,000000,0.027178,0.027178,0.027178,0.027178,0,0
TWDXDR,D,19910515,000000,0.027099,0.027099,0.027099,0.027099,0,0
TWDXDR,D,19910516,000000,0.027129,0.027129,0.027129,0.027129,0,0
TWDXDR,D,19910517,000000,0.02741,0.02741,0.02741,0.02741,0,0
TWDXDR,D,19910520,000000,0.027346,0.027346,0.027346,0.027346,0,0
TWDXDR,D,19910521,000000,0.02725,0.02725,0.02725,0.02725,0,0
TWDXDR,D,19910522,000000,0.027325,0.027325,0.027325,0.027325,0,0
TWDXDR,D,19910523,000000,0.027246,0.027246,0.027246,0.027246,0,0
TWDXDR,D,19910524,000000,0.027288,0.027288,0.027288,0.027288,0,0
TWDXDR,D,19910527,000000,0.027249,0.027249,0.027249,0.027249,0,0
TWDXDR,D,19910528,000000,0.027193,0.027193,0.027193,0.027193,0,0
TWDXDR,D,19910529,000000,0.027289,0.027289,0.027289,0.027289,0,0
TWDXDR,D,19910531,000000,0.027538,0.027538,0.027538,0.027538,0,0
TWDXDR,D,19910603,000000,0.027559,0.027559,0.027559,0.027559,0,0
TWDXDR,D,19910604,000000,0.027529,0.027529,0.027529,0.027529,0,0
TWDXDR,D,19910605,000000,0.027623,0.027623,0.027623,0.027623,0,0
TWDXDR,D,19910606,000000,0.027675,0.027675,0.027675,0.027675,0,0
TWDXDR,D,19910607,000000,0.027823,0.027823,0.027823,0.027823,0,0
