<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAHXDR,D,19960902,000000,0.38956,0.38956,0.38956,0.38956,0,0
UAHXDR,D,19960903,000000,0.38977,0.38977,0.38977,0.38977,0,0
UAHXDR,D,19960904,000000,0.39057,0.39057,0.39057,0.39057,0,0
UAHXDR,D,19960905,000000,0.39011,0.39011,0.39011,0.39011,0,0
UAHXDR,D,19960906,000000,0.38988,0.38988,0.38988,0.38988,0,0
UAHXDR,D,19960909,000000,0.39023,0.39023,0.39023,0.39023,0,0
UAHXDR,D,19960910,000000,0.39079,0.39079,0.39079,0.39079,0,0
UAHXDR,D,19960911,000000,0.3921,0.3921,0.3921,0.3921,0,0
UAHXDR,D,19960912,000000,0.39335,0.39335,0.39335,0.39335,0,0
UAHXDR,D,19960913,000000,0.3933,0.3933,0.3933,0.3933,0,0
UAHXDR,D,19960916,000000,0.39341,0.39341,0.39341,0.39341,0,0
UAHXDR,D,19960917,000000,0.39358,0.39358,0.39358,0.39358,0,0
UAHXDR,D,19960918,000000,0.39307,0.39307,0.39307,0.39307,0,0
UAHXDR,D,19960919,000000,0.39319,0.39319,0.39319,0.39319,0,0
UAHXDR,D,19960920,000000,0.39239,0.39239,0.39239,0.39239,0,0
UAHXDR,D,19960923,000000,0.39318,0.39318,0.39318,0.39318,0,0
UAHXDR,D,19960924,000000,0.39318,0.39318,0.39318,0.39318,0,0
UAHXDR,D,19960925,000000,0.39267,0.39267,0.39267,0.39267,0,0
UAHXDR,D,19960926,000000,0.39216,0.39216,0.39216,0.39216,0,0
UAHXDR,D,19960927,000000,0.3937,0.3937,0.3937,0.3937,0,0
UAHXDR,D,19960930,000000,0.39392,0.39392,0.39392,0.39392,0,0
UAHXDR,D,19961001,000000,0.39472,0.39472,0.39472,0.39472,0,0
UAHXDR,D,19961002,000000,0.39431,0.39431,0.39431,0.39431,0,0
UAHXDR,D,19961003,000000,0.39465,0.39465,0.39465,0.39465,0,0
UAHXDR,D,19961004,000000,0.395,0.395,0.395,0.395,0,0
UAHXDR,D,19961007,000000,0.395,0.395,0.395,0.395,0,0
UAHXDR,D,19961008,000000,0.39299,0.39299,0.39299,0.39299,0,0
UAHXDR,D,19961009,000000,0.39231,0.39231,0.39231,0.39231,0,0
UAHXDR,D,19961010,000000,0.3931,0.3931,0.3931,0.3931,0,0
UAHXDR,D,19961011,000000,0.39265,0.39265,0.39265,0.39265,0,0
UAHXDR,D,19961014,000000,0.39231,0.39231,0.39231,0.39231,0,0
UAHXDR,D,19961015,000000,0.39232,0.39232,0.39232,0.39232,0,0
UAHXDR,D,19961016,000000,0.39228,0.39228,0.39228,0.39228,0,0
UAHXDR,D,19961017,000000,0.39295,0.39295,0.39295,0.39295,0,0
UAHXDR,D,19961018,000000,0.39162,0.39162,0.39162,0.39162,0,0
