<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDIDR,D,19931025,000000,2102,2102,2102,2102,0,0
USDIDR,D,19931026,000000,2101,2101,2101,2101,0,0
USDIDR,D,19931027,000000,2100,2100,2100,2100,0,0
USDIDR,D,19931028,000000,2101,2101,2101,2101,0,0
USDIDR,D,19931029,000000,2101.3,2101.3,2101.3,2101.3,0,0
USDIDR,D,19931102,000000,2100.7,2100.7,2100.7,2100.7,0,0
USDIDR,D,19931103,000000,2099.8,2099.8,2099.8,2099.8,0,0
USDIDR,D,19931104,000000,2099,2099,2099,2099,0,0
USDIDR,D,19931105,000000,2098.9,2098.9,2098.9,2098.9,0,0
USDIDR,D,19931108,000000,2097,2097,2097,2097,0,0
USDIDR,D,19931109,000000,2095,2095,2095,2095,0,0
USDIDR,D,19931110,000000,2094,2094,2094,2094,0,0
USDIDR,D,19931112,000000,2090.9,2090.9,2090.9,2090.9,0,0
USDIDR,D,19931115,000000,2089.5,2089.5,2089.5,2089.5,0,0
USDIDR,D,19931116,000000,2091.1,2091.1,2091.1,2091.1,0,0
USDIDR,D,19931117,000000,2093.3,2093.3,2093.3,2093.3,0,0
USDIDR,D,19931118,000000,2096,2096,2096,2096,0,0
USDIDR,D,19931119,000000,2099.9,2099.9,2099.9,2099.9,0,0
USDIDR,D,19931122,000000,2106.3,2106.3,2106.3,2106.3,0,0
USDIDR,D,19931123,000000,2104,2104,2104,2104,0,0
USDIDR,D,19931124,000000,2099.8,2099.8,2099.8,2099.8,0,0
USDIDR,D,19931125,000000,2098.8,2098.8,2098.8,2098.8,0,0
USDIDR,D,19931126,000000,2098.8,2098.8,2098.8,2098.8,0,0
USDIDR,D,19931129,000000,2100.8,2100.8,2100.8,2100.8,0,0
USDIDR,D,19931130,000000,2103.2,2103.2,2103.2,2103.2,0,0
USDIDR,D,19931201,000000,2104,2104,2104,2104,0,0
USDIDR,D,19931202,000000,2105,2105,2105,2105,0,0
USDIDR,D,19931203,000000,2104.6,2104.6,2104.6,2104.6,0,0
USDIDR,D,19931206,000000,2104,2104,2104,2104,0,0
USDIDR,D,19931207,000000,2102,2102,2102,2102,0,0
USDIDR,D,19931208,000000,2102.5,2102.5,2102.5,2102.5,0,0
USDIDR,D,19931209,000000,2103,2103,2103,2103,0,0
USDIDR,D,19931210,000000,2103,2103,2103,2103,0,0
USDIDR,D,19931213,000000,2102.5,2102.5,2102.5,2102.5,0,0
USDIDR,D,19931214,000000,2103.1,2103.1,2103.1,2103.1,0,0
USDIDR,D,19931215,000000,2103.3,2103.3,2103.3,2103.3,0,0
USDIDR,D,19931216,000000,2104,2104,2104,2104,0,0
USDIDR,D,19931217,000000,2103.6,2103.6,2103.6,2103.6,0,0
USDIDR,D,19931220,000000,2103,2103,2103,2103,0,0
USDIDR,D,19931221,000000,2102.8,2102.8,2102.8,2102.8,0,0
USDIDR,D,19931222,000000,2103,2103,2103,2103,0,0
USDIDR,D,19931223,000000,2103,2103,2103,2103,0,0
USDIDR,D,19931224,000000,2103,2103,2103,2103,0,0
USDIDR,D,19931227,000000,2104,2104,2104,2104,0,0
USDIDR,D,19931228,000000,2104.2,2104.2,2104.2,2104.2,0,0
USDIDR,D,19931229,000000,2104.2,2104.2,2104.2,2104.2,0,0
USDIDR,D,19931230,000000,2109,2109,2109,2109,0,0
USDIDR,D,19931231,000000,2110.5,2110.5,2110.5,2110.5,0,0
USDIDR,D,19940103,000000,2106.1,2106.1,2106.1,2106.1,0,0
USDIDR,D,19940104,000000,2105.6,2105.6,2105.6,2105.6,0,0
USDIDR,D,19940105,000000,2104,2104,2104,2104,0,0
USDIDR,D,19940106,000000,2102.5,2102.5,2102.5,2102.5,0,0
USDIDR,D,19940107,000000,2099.7,2099.7,2099.7,2099.7,0,0
USDIDR,D,19940110,000000,2099.8,2099.8,2099.8,2099.8,0,0
USDIDR,D,19940111,000000,2099,2099,2099,2099,0,0
USDIDR,D,19940112,000000,2102,2102,2102,2102,0,0
USDIDR,D,19940113,000000,2109.5,2109.5,2109.5,2109.5,0,0
USDIDR,D,19940114,000000,2119,2119,2119,2119,0,0
USDIDR,D,19940117,000000,2116.2,2116.2,2116.2,2116.2,0,0
USDIDR,D,19940118,000000,2113.1,2113.1,2113.1,2113.1,0,0
USDIDR,D,19940119,000000,2107.9,2107.9,2107.9,2107.9,0,0
USDIDR,D,19940120,000000,2114.8,2114.8,2114.8,2114.8,0,0
USDIDR,D,19940121,000000,2115,2115,2115,2115,0,0
USDIDR,D,19940124,000000,2116.5,2116.5,2116.5,2116.5,0,0
USDIDR,D,19940125,000000,2117.3,2117.3,2117.3,2117.3,0,0
USDIDR,D,19940126,000000,2115,2115,2115,2115,0,0
USDIDR,D,19940127,000000,2113.3,2113.3,2113.3,2113.3,0,0
USDIDR,D,19940128,000000,2112.2,2112.2,2112.2,2112.2,0,0
USDIDR,D,19940131,000000,2114.8,2114.8,2114.8,2114.8,0,0
USDIDR,D,19940201,000000,2114,2114,2114,2114,0,0
USDIDR,D,19940202,000000,2112,2112,2112,2112,0,0
USDIDR,D,19940203,000000,2113.3,2113.3,2113.3,2113.3,0,0
USDIDR,D,19940204,000000,2113.9,2113.9,2113.9,2113.9,0,0
USDIDR,D,19940207,000000,2114,2114,2114,2114,0,0
USDIDR,D,19940208,000000,2113.5,2113.5,2113.5,2113.5,0,0
USDIDR,D,19940209,000000,2116.5,2116.5,2116.5,2116.5,0,0
USDIDR,D,19940210,000000,2117.8,2117.8,2117.8,2117.8,0,0
USDIDR,D,19940211,000000,2118.8,2118.8,2118.8,2118.8,0,0
USDIDR,D,19940214,000000,2118.2,2118.2,2118.2,2118.2,0,0
USDIDR,D,19940215,000000,2117.1,2117.1,2117.1,2117.1,0,0
USDIDR,D,19940216,000000,2118.5,2118.5,2118.5,2118.5,0,0
USDIDR,D,19940217,000000,2121,2121,2121,2121,0,0
USDIDR,D,19940218,000000,2126.3,2126.3,2126.3,2126.3,0,0
USDIDR,D,19940221,000000,2132,2132,2132,2132,0,0
