<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDXAU,D,19840109,000000,0.0027073,0.0027073,0.0027073,0.0027073,0,0
USDXAU,D,19840116,000000,0.0027025,0.0027025,0.0027025,0.0027025,0,0
USDXAU,D,19840123,000000,0.002719,0.002719,0.002719,0.002719,0,0
USDXAU,D,19840130,000000,0.0026658,0.0026658,0.0026658,0.0026658,0,0
USDXAU,D,19840206,000000,0.0025845,0.0025845,0.0025845,0.0025845,0,0
USDXAU,D,19840213,000000,0.0026065,0.0026065,0.0026065,0.0026065,0,0
USDXAU,D,19840220,000000,0.0026267,0.0026267,0.0026267,0.0026267,0,0
USDXAU,D,19840301,000000,0.0025138,0.0025138,0.0025138,0.0025138,0,0
USDXAU,D,19840305,000000,0.0024552,0.0024552,0.0024552,0.0024552,0,0
USDXAU,D,19840312,000000,0.0025195,0.0025195,0.0025195,0.0025195,0,0
USDXAU,D,19840319,000000,0.0025369,0.0025369,0.0025369,0.0025369,0,0
USDXAU,D,19840326,000000,0.002583,0.002583,0.002583,0.002583,0,0
USDXAU,D,19840402,000000,0.0025901,0.0025901,0.0025901,0.0025901,0,0
USDXAU,D,19840409,000000,0.0025854,0.0025854,0.0025854,0.0025854,0,0
USDXAU,D,19840416,000000,0.0026125,0.0026125,0.0026125,0.0026125,0,0
USDXAU,D,19840424,000000,0.0025813,0.0025813,0.0025813,0.0025813,0,0
USDXAU,D,19840502,000000,0.0026283,0.0026283,0.0026283,0.0026283,0,0
USDXAU,D,19840507,000000,0.0026673,0.0026673,0.0026673,0.0026673,0,0
USDXAU,D,19840514,000000,0.0026737,0.0026737,0.0026737,0.0026737,0,0
USDXAU,D,19840521,000000,0.0026345,0.0026345,0.0026345,0.0026345,0,0
USDXAU,D,19840528,000000,0.0026309,0.0026309,0.0026309,0.0026309,0,0
USDXAU,D,19840604,000000,0.0024854,0.0024854,0.0024854,0.0024854,0,0
USDXAU,D,19840611,000000,0.0026407,0.0026407,0.0026407,0.0026407,0,0
USDXAU,D,19840618,000000,0.0026552,0.0026552,0.0026552,0.0026552,0,0
USDXAU,D,19840625,000000,0.0026896,0.0026896,0.0026896,0.0026896,0,0
USDXAU,D,19840702,000000,0.0026664,0.0026664,0.0026664,0.0026664,0,0
USDXAU,D,19840709,000000,0.0028598,0.0028598,0.0028598,0.0028598,0,0
USDXAU,D,19840716,000000,0.0028692,0.0028692,0.0028692,0.0028692,0,0
USDXAU,D,19840723,000000,0.0029483,0.0029483,0.0029483,0.0029483,0,0
USDXAU,D,19840730,000000,0.0028171,0.0028171,0.0028171,0.0028171,0,0
USDXAU,D,19840806,000000,0.0027738,0.0027738,0.0027738,0.0027738,0,0
USDXAU,D,19840813,000000,0.0027652,0.0027652,0.0027652,0.0027652,0,0
USDXAU,D,19840820,000000,0.0028245,0.0028245,0.0028245,0.0028245,0,0
USDXAU,D,19840827,000000,0.0027888,0.0027888,0.0027888,0.0027888,0,0
USDXAU,D,19840901,000000,0.0027863,0.0027863,0.0027863,0.0027863,0,0
USDXAU,D,19840910,000000,0.0028728,0.0028728,0.0028728,0.0028728,0,0
USDXAU,D,19840917,000000,0.0029066,0.0029066,0.0029066,0.0029066,0,0
USDXAU,D,19840924,000000,0.0028396,0.0028396,0.0028396,0.0028396,0,0
USDXAU,D,19841001,000000,0.0028417,0.0028417,0.0028417,0.0028417,0,0
USDXAU,D,19841008,000000,0.0028844,0.0028844,0.0028844,0.0028844,0,0
