<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDXPT,D,19840109,000000,0.0026868,0.0026868,0.0026868,0.0026868,0,0
USDXPT,D,19840116,000000,0.0026952,0.0026952,0.0026952,0.0026952,0,0
USDXPT,D,19840123,000000,0.0026954,0.0026954,0.0026954,0.0026954,0,0
USDXPT,D,19840130,000000,0.002613,0.002613,0.002613,0.002613,0,0
USDXPT,D,19840206,000000,0.0025952,0.0025952,0.0025952,0.0025952,0,0
USDXPT,D,19840213,000000,0.0026257,0.0026257,0.0026257,0.0026257,0,0
USDXPT,D,19840220,000000,0.0026461,0.0026461,0.0026461,0.0026461,0,0
USDXPT,D,19840301,000000,0.0025044,0.0025044,0.0025044,0.0025044,0,0
USDXPT,D,19840305,000000,0.0024474,0.0024474,0.0024474,0.0024474,0,0
USDXPT,D,19840312,000000,0.0025297,0.0025297,0.0025297,0.0025297,0,0
USDXPT,D,19840319,000000,0.0025388,0.0025388,0.0025388,0.0025388,0,0
USDXPT,D,19840326,000000,0.0025194,0.0025194,0.0025194,0.0025194,0,0
USDXPT,D,19840402,000000,0.0025681,0.0025681,0.0025681,0.0025681,0,0
USDXPT,D,19840409,000000,0.0025415,0.0025415,0.0025415,0.0025415,0,0
USDXPT,D,19840416,000000,0.0025579,0.0025579,0.0025579,0.0025579,0,0
USDXPT,D,19840424,000000,0.0024614,0.0024614,0.0024614,0.0024614,0,0
USDXPT,D,19840502,000000,0.002581,0.002581,0.002581,0.002581,0,0
USDXPT,D,19840507,000000,0.0026116,0.0026116,0.0026116,0.0026116,0,0
USDXPT,D,19840514,000000,0.0025949,0.0025949,0.0025949,0.0025949,0,0
USDXPT,D,19840521,000000,0.0025474,0.0025474,0.0025474,0.0025474,0,0
USDXPT,D,19840528,000000,0.0025439,0.0025439,0.0025439,0.0025439,0,0
USDXPT,D,19840604,000000,0.002525,0.002525,0.002525,0.002525,0,0
