<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGISK,D,19951023,000000,342.45,342.45,342.45,342.45,0,0
XAGISK,D,19951024,000000,342.24,342.24,342.24,342.24,0,0
XAGISK,D,19951025,000000,347.96,347.96,347.96,347.96,0,0
XAGISK,D,19951026,000000,347.47,347.47,347.47,347.47,0,0
XAGISK,D,19951027,000000,340.16,340.16,340.16,340.16,0,0
XAGISK,D,19951030,000000,343.84,343.84,343.84,343.84,0,0
XAGISK,D,19951031,000000,344.16,344.16,344.16,344.16,0,0
XAGISK,D,19951102,000000,344.85,344.85,344.85,344.85,0,0
XAGISK,D,19951103,000000,342.79,342.79,342.79,342.79,0,0
XAGISK,D,19951106,000000,340.4,340.4,340.4,340.4,0,0
XAGISK,D,19951107,000000,345.88,345.88,345.88,345.88,0,0
XAGISK,D,19951108,000000,345.83,345.83,345.83,345.83,0,0
XAGISK,D,19951109,000000,347.98,347.98,347.98,347.98,0,0
XAGISK,D,19951110,000000,350.01,350.01,350.01,350.01,0,0
XAGISK,D,19951113,000000,342.42,342.42,342.42,342.42,0,0
XAGISK,D,19951114,000000,344.15,344.15,344.15,344.15,0,0
XAGISK,D,19951115,000000,343.31,343.31,343.31,343.31,0,0
XAGISK,D,19951116,000000,342.94,342.94,342.94,342.94,0,0
XAGISK,D,19951117,000000,345.3,345.3,345.3,345.3,0,0
XAGISK,D,19951120,000000,346.22,346.22,346.22,346.22,0,0
XAGISK,D,19951121,000000,341.26,341.26,341.26,341.26,0,0
XAGISK,D,19951122,000000,334.51,334.51,334.51,334.51,0,0
XAGISK,D,19951123,000000,335.74,335.74,335.74,335.74,0,0
XAGISK,D,19951124,000000,337.93,337.93,337.93,337.93,0,0
XAGISK,D,19951127,000000,337.77,337.77,337.77,337.77,0,0
XAGISK,D,19951128,000000,340.62,340.62,340.62,340.62,0,0
XAGISK,D,19951129,000000,337.63,337.63,337.63,337.63,0,0
XAGISK,D,19951130,000000,340.87,340.87,340.87,340.87,0,0
XAGISK,D,19951201,000000,340.97,340.97,340.97,340.97,0,0
XAGISK,D,19951204,000000,340.97,340.97,340.97,340.97,0,0
XAGISK,D,19951205,000000,341.89,341.89,341.89,341.89,0,0
XAGISK,D,19951206,000000,342.5,342.5,342.5,342.5,0,0
XAGISK,D,19951207,000000,342.75,342.75,342.75,342.75,0,0
XAGISK,D,19951208,000000,341.97,341.97,341.97,341.97,0,0
XAGISK,D,19951211,000000,341.3,341.3,341.3,341.3,0,0
XAGISK,D,19951212,000000,339.06,339.06,339.06,339.06,0,0
XAGISK,D,19951213,000000,336.52,336.52,336.52,336.52,0,0
XAGISK,D,19951214,000000,337.63,337.63,337.63,337.63,0,0
XAGISK,D,19951215,000000,335.87,335.87,335.87,335.87,0,0
XAGISK,D,19951218,000000,338.1,338.1,338.1,338.1,0,0
XAGISK,D,19951219,000000,335.84,335.84,335.84,335.84,0,0
XAGISK,D,19951220,000000,337.8,337.8,337.8,337.8,0,0
XAGISK,D,19951221,000000,336.5,336.5,336.5,336.5,0,0
XAGISK,D,19951222,000000,337.15,337.15,337.15,337.15,0,0
XAGISK,D,19951227,000000,335.79,335.79,335.79,335.79,0,0
XAGISK,D,19951228,000000,335.59,335.59,335.59,335.59,0,0
XAGISK,D,19951229,000000,337.89,337.89,337.89,337.89,0,0
XAGISK,D,19960102,000000,348.41,348.41,348.41,348.41,0,0
XAGISK,D,19960103,000000,349.06,349.06,349.06,349.06,0,0
XAGISK,D,19960104,000000,351.02,351.02,351.02,351.02,0,0
XAGISK,D,19960105,000000,362.02,362.02,362.02,362.02,0,0
XAGISK,D,19960108,000000,361.93,361.93,361.93,361.93,0,0
XAGISK,D,19960109,000000,362.48,362.48,362.48,362.48,0,0
XAGISK,D,19960110,000000,366.52,366.52,366.52,366.52,0,0
XAGISK,D,19960111,000000,359.98,359.98,359.98,359.98,0,0
XAGISK,D,19960112,000000,361.23,361.23,361.23,361.23,0,0
XAGISK,D,19960115,000000,356.76,356.76,356.76,356.76,0,0
XAGISK,D,19960116,000000,360.61,360.61,360.61,360.61,0,0
XAGISK,D,19960117,000000,362.59,362.59,362.59,362.59,0,0
XAGISK,D,19960118,000000,360.44,360.44,360.44,360.44,0,0
XAGISK,D,19960119,000000,362.74,362.74,362.74,362.74,0,0
XAGISK,D,19960122,000000,372.83,372.83,372.83,372.83,0,0
XAGISK,D,19960123,000000,370.83,370.83,370.83,370.83,0,0
XAGISK,D,19960124,000000,367.46,367.46,367.46,367.46,0,0
XAGISK,D,19960125,000000,371.4,371.4,371.4,371.4,0,0
XAGISK,D,19960126,000000,371.13,371.13,371.13,371.13,0,0
XAGISK,D,19960129,000000,371.86,371.86,371.86,371.86,0,0
XAGISK,D,19960130,000000,372.22,372.22,372.22,372.22,0,0
XAGISK,D,19960131,000000,374.46,374.46,374.46,374.46,0,0
XAGISK,D,19960201,000000,387.47,387.47,387.47,387.47,0,0
XAGISK,D,19960202,000000,390.2,390.2,390.2,390.2,0,0
XAGISK,D,19960205,000000,386.67,386.67,386.67,386.67,0,0
XAGISK,D,19960206,000000,382.47,382.47,382.47,382.47,0,0
