<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGMYR,D,19900108,000000,14.342,14.342,14.342,14.342,0,0
XAGMYR,D,19900115,000000,14.294,14.294,14.294,14.294,0,0
XAGMYR,D,19900122,000000,14.386,14.386,14.386,14.386,0,0
XAGMYR,D,19900129,000000,14.18,14.18,14.18,14.18,0,0
XAGMYR,D,19900205,000000,14.467,14.467,14.467,14.467,0,0
XAGMYR,D,19900212,000000,14.332,14.332,14.332,14.332,0,0
XAGMYR,D,19900219,000000,14.323,14.323,14.323,14.323,0,0
XAGMYR,D,19900226,000000,14.144,14.144,14.144,14.144,0,0
XAGMYR,D,19900305,000000,14.051,14.051,14.051,14.051,0,0
XAGMYR,D,19900312,000000,13.801,13.801,13.801,13.801,0,0
XAGMYR,D,19900319,000000,14.018,14.018,14.018,14.018,0,0
XAGMYR,D,19900326,000000,13.64,13.64,13.64,13.64,0,0
XAGMYR,D,19900402,000000,13.603,13.603,13.603,13.603,0,0
XAGMYR,D,19900409,000000,13.996,13.996,13.996,13.996,0,0
XAGMYR,D,19900417,000000,13.966,13.966,13.966,13.966,0,0
XAGMYR,D,19900423,000000,13.859,13.859,13.859,13.859,0,0
XAGMYR,D,19900430,000000,13.609,13.609,13.609,13.609,0,0
XAGMYR,D,19900507,000000,13.772,13.772,13.772,13.772,0,0
XAGMYR,D,19900514,000000,13.799,13.799,13.799,13.799,0,0
XAGMYR,D,19900521,000000,13.998,13.998,13.998,13.998,0,0
XAGMYR,D,19900528,000000,13.965,13.965,13.965,13.965,0,0
XAGMYR,D,19900604,000000,13.764,13.764,13.764,13.764,0,0
XAGMYR,D,19900611,000000,13.655,13.655,13.655,13.655,0,0
XAGMYR,D,19900618,000000,13.121,13.121,13.121,13.121,0,0
XAGMYR,D,19900625,000000,13.284,13.284,13.284,13.284,0,0
XAGMYR,D,19900702,000000,13.562,13.562,13.562,13.562,0,0
XAGMYR,D,19900709,000000,13.173,13.173,13.173,13.173,0,0
XAGMYR,D,19900716,000000,13.256,13.256,13.256,13.256,0,0
XAGMYR,D,19900723,000000,13.331,13.331,13.331,13.331,0,0
XAGMYR,D,19900730,000000,13.078,13.078,13.078,13.078,0,0
XAGMYR,D,19900806,000000,13.278,13.278,13.278,13.278,0,0
XAGMYR,D,19900813,000000,13.267,13.267,13.267,13.267,0,0
XAGMYR,D,19900820,000000,14.167,14.167,14.167,14.167,0,0
XAGMYR,D,19900827,000000,13.367,13.367,13.367,13.367,0,0
XAGMYR,D,19900903,000000,13.333,13.333,13.333,13.333,0,0
XAGMYR,D,19900910,000000,13.037,13.037,13.037,13.037,0,0
XAGMYR,D,19900917,000000,13.073,13.073,13.073,13.073,0,0
XAGMYR,D,19900924,000000,13.492,13.492,13.492,13.492,0,0
XAGMYR,D,19901001,000000,12.701,12.701,12.701,12.701,0,0
XAGMYR,D,19901008,000000,12.763,12.763,12.763,12.763,0,0
XAGMYR,D,19901010,000000,12.032,12.032,12.032,12.032,0,0
XAGMYR,D,19901015,000000,11.276,11.276,11.276,11.276,0,0
XAGMYR,D,19901022,000000,11.406,11.406,11.406,11.406,0,0
