<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGXAU,D,17930301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17930601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17930901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17931201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17940301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17940601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17940901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17941201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17950301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17950601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17950901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17951201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17960301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17960601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17960901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17961201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17970301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17970601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17970901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17971201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17980301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17980601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17980901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17981201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17990301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17990601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17990901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,17991201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18000301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18000601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18000901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18001201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18010301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18010601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18010901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18011201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18020301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18020601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18020901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18021201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18030301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18030601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18030901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18031201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18040301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18040601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18040901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18041201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18050301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18050601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18050901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18051201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18060301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18060601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18060901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18061201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18070301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18070601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18070901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18071201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18080301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18080601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18080901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18081201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18090301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18090601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18090901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18091201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18100301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18100601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18100901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18101201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18110301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18110601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18110901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18111201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18120301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18120601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18120901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18121201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18130301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18130601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18130901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18131201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18140301,000000,0.0747809,0.0747809,0.0747809,0.0747809,0,0
XAGXAU,D,18140601,000000,0.0747809,0.0747809,0.0747809,0.0747809,0,0
XAGXAU,D,18140901,000000,0.0665442,0.0665442,0.0665442,0.0665442,0,0
XAGXAU,D,18141201,000000,0.0665442,0.0665442,0.0665442,0.0665442,0,0
XAGXAU,D,18150301,000000,0.0679209,0.0679209,0.0679209,0.0679209,0,0
XAGXAU,D,18150601,000000,0.0748229,0.0748229,0.0748229,0.0748229,0,0
XAGXAU,D,18150901,000000,0.0641527,0.0641527,0.0641527,0.0641527,0,0
XAGXAU,D,18151201,000000,0.0667869,0.0667869,0.0667869,0.0667869,0,0
XAGXAU,D,18160301,000000,0.0595667,0.0595667,0.0595667,0.0595667,0,0
XAGXAU,D,18160601,000000,0.0595667,0.0595667,0.0595667,0.0595667,0,0
XAGXAU,D,18160901,000000,0.0668695,0.0668695,0.0668695,0.0668695,0,0
XAGXAU,D,18161201,000000,0.0665323,0.0665323,0.0665323,0.0665323,0,0
XAGXAU,D,18170301,000000,0.0650204,0.0650204,0.0650204,0.0650204,0,0
XAGXAU,D,18170601,000000,0.0648567,0.0648567,0.0648567,0.0648567,0,0
XAGXAU,D,18170901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18171201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18180301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18180601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18180901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18181201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18190301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18190601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18190901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18191201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18200301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18200601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18200901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18201201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18210301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18210601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18210901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18211201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18220301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18220601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18220901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18221201,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18230301,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18230601,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
XAGXAU,D,18230901,000000,0.0665292,0.0665292,0.0665292,0.0665292,0,0
