<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGXPD,D,19840109,000000,0.055918,0.055918,0.055918,0.055918,0,0
XAGXPD,D,19840116,000000,0.053019,0.053019,0.053019,0.053019,0,0
XAGXPD,D,19840123,000000,0.053458,0.053458,0.053458,0.053458,0,0
XAGXPD,D,19840130,000000,0.053326,0.053326,0.053326,0.053326,0,0
XAGXPD,D,19840206,000000,0.056367,0.056367,0.056367,0.056367,0,0
XAGXPD,D,19840213,000000,0.055921,0.055921,0.055921,0.055921,0,0
XAGXPD,D,19840220,000000,0.055917,0.055917,0.055917,0.055917,0,0
XAGXPD,D,19840301,000000,0.062444,0.062444,0.062444,0.062444,0,0
XAGXPD,D,19840305,000000,0.062831,0.062831,0.062831,0.062831,0,0
XAGXPD,D,19840312,000000,0.06157,0.06157,0.06157,0.06157,0,0
XAGXPD,D,19840319,000000,0.061315,0.061315,0.061315,0.061315,0,0
XAGXPD,D,19840326,000000,0.059139,0.059139,0.059139,0.059139,0,0
XAGXPD,D,19840402,000000,0.059343,0.059343,0.059343,0.059343,0,0
XAGXPD,D,19840409,000000,0.058407,0.058407,0.058407,0.058407,0,0
XAGXPD,D,19840416,000000,0.058071,0.058071,0.058071,0.058071,0,0
XAGXPD,D,19840424,000000,0.056284,0.056284,0.056284,0.056284,0,0
XAGXPD,D,19840502,000000,0.058428,0.058428,0.058428,0.058428,0,0
XAGXPD,D,19840507,000000,0.057455,0.057455,0.057455,0.057455,0,0
XAGXPD,D,19840514,000000,0.058374,0.058374,0.058374,0.058374,0,0
XAGXPD,D,19840521,000000,0.05947,0.05947,0.05947,0.05947,0,0
XAGXPD,D,19840528,000000,0.05947,0.05947,0.05947,0.05947,0,0
XAGXPD,D,19840604,000000,0.06102,0.06102,0.06102,0.06102,0,0
XAGXPD,D,19840611,000000,0.058216,0.058216,0.058216,0.058216,0,0
XAGXPD,D,19840618,000000,0.057,0.057,0.057,0.057,0,0
XAGXPD,D,19840625,000000,0.056384,0.056384,0.056384,0.056384,0,0
XAGXPD,D,19840702,000000,0.057288,0.057288,0.057288,0.057288,0,0
XAGXPD,D,19840709,000000,0.056461,0.056461,0.056461,0.056461,0,0
XAGXPD,D,19840716,000000,0.055192,0.055192,0.055192,0.055192,0,0
XAGXPD,D,19840723,000000,0.057,0.057,0.057,0.057,0,0
XAGXPD,D,19840730,000000,0.05659,0.05659,0.05659,0.05659,0,0
XAGXPD,D,19840806,000000,0.056984,0.056984,0.056984,0.056984,0,0
XAGXPD,D,19840813,000000,0.058808,0.058808,0.058808,0.058808,0,0
XAGXPD,D,19840820,000000,0.05709,0.05709,0.05709,0.05709,0,0
XAGXPD,D,19840827,000000,0.057804,0.057804,0.057804,0.057804,0,0
XAGXPD,D,19840901,000000,0.057804,0.057804,0.057804,0.057804,0,0
