<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGXPT,D,19840109,000000,0.021432,0.021432,0.021432,0.021432,0,0
XAGXPT,D,19840116,000000,0.021917,0.021917,0.021917,0.021917,0,0
XAGXPT,D,19840123,000000,0.021976,0.021976,0.021976,0.021976,0,0
XAGXPT,D,19840130,000000,0.021962,0.021962,0.021962,0.021962,0,0
XAGXPT,D,19840206,000000,0.02286,0.02286,0.02286,0.02286,0,0
XAGXPT,D,19840213,000000,0.023062,0.023062,0.023062,0.023062,0,0
XAGXPT,D,19840220,000000,0.02306,0.02306,0.02306,0.02306,0,0
XAGXPT,D,19840301,000000,0.024568,0.024568,0.024568,0.024568,0,0
XAGXPT,D,19840305,000000,0.024988,0.024988,0.024988,0.024988,0,0
XAGXPT,D,19840312,000000,0.024755,0.024755,0.024755,0.024755,0,0
XAGXPT,D,19840319,000000,0.024545,0.024545,0.024545,0.024545,0,0
XAGXPT,D,19840326,000000,0.024128,0.024128,0.024128,0.024128,0,0
XAGXPT,D,19840402,000000,0.024165,0.024165,0.024165,0.024165,0,0
XAGXPT,D,19840409,000000,0.023588,0.023588,0.023588,0.023588,0,0
XAGXPT,D,19840416,000000,0.023453,0.023453,0.023453,0.023453,0,0
XAGXPT,D,19840424,000000,0.022895,0.022895,0.022895,0.022895,0,0
XAGXPT,D,19840502,000000,0.023745,0.023745,0.023745,0.023745,0,0
XAGXPT,D,19840507,000000,0.022877,0.022877,0.022877,0.022877,0,0
XAGXPT,D,19840514,000000,0.023159,0.023159,0.023159,0.023159,0,0
XAGXPT,D,19840521,000000,0.023398,0.023398,0.023398,0.023398,0,0
XAGXPT,D,19840528,000000,0.023398,0.023398,0.023398,0.023398,0,0
XAGXPT,D,19840604,000000,0.023921,0.023921,0.023921,0.023921,0,0
XAGXPT,D,19840611,000000,0.023018,0.023018,0.023018,0.023018,0,0
XAGXPT,D,19840618,000000,0.022432,0.022432,0.022432,0.022432,0,0
XAGXPT,D,19840625,000000,0.022167,0.022167,0.022167,0.022167,0,0
XAGXPT,D,19840702,000000,0.022594,0.022594,0.022594,0.022594,0,0
XAGXPT,D,19840709,000000,0.021824,0.021824,0.021824,0.021824,0,0
XAGXPT,D,19840716,000000,0.02164,0.02164,0.02164,0.02164,0,0
XAGXPT,D,19840723,000000,0.021754,0.021754,0.021754,0.021754,0,0
XAGXPT,D,19840730,000000,0.021675,0.021675,0.021675,0.021675,0,0
