<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUBTC,D,20100719,000000,14620.4,14620.4,14620.4,14620.4,0,0
XAUBTC,D,20100720,000000,15924.6,15924.6,15924.6,15924.6,0,0
XAUBTC,D,20100721,000000,15045.4,15045.4,15045.4,15045.4,0,0
XAUBTC,D,20100722,000000,23688.8,23688.8,23688.8,23688.8,0,0
XAUBTC,D,20100723,000000,18965.3,18965.3,18965.3,18965.3,0,0
XAUBTC,D,20100726,000000,21149.6,21149.6,21149.6,21149.6,0,0
XAUBTC,D,20100727,000000,19324.1,19324.1,19324.1,19324.1,0,0
XAUBTC,D,20100728,000000,19698,19698,19698,19698,0,0
XAUBTC,D,20100729,000000,16647.8,16647.8,16647.8,16647.8,0,0
XAUBTC,D,20100730,000000,18809.3,18809.3,18809.3,18809.3,0,0
XAUBTC,D,20100802,000000,19698.1,19698.1,19698.1,19698.1,0,0
XAUBTC,D,20100803,000000,19769,19769,19769,19769,0,0
XAUBTC,D,20100804,000000,21025.6,21025.6,21025.6,21025.6,0,0
XAUBTC,D,20100805,000000,19584.8,19584.8,19584.8,19584.8,0,0
XAUBTC,D,20100806,000000,19329,19329,19329,19329,0,0
XAUBTC,D,20100809,000000,16888.3,16888.3,16888.3,16888.3,0,0
XAUBTC,D,20100810,000000,17086.4,17086.4,17086.4,17086.4,0,0
XAUBTC,D,20100811,000000,17847.8,17847.8,17847.8,17847.8,0,0
XAUBTC,D,20100812,000000,17319.5,17319.5,17319.5,17319.5,0,0
XAUBTC,D,20100813,000000,18823.8,18823.8,18823.8,18823.8,0,0
XAUBTC,D,20100816,000000,18670.4,18670.4,18670.4,18670.4,0,0
XAUBTC,D,20100817,000000,17506.1,17506.1,17506.1,17506.1,0,0
XAUBTC,D,20100818,000000,18096.8,18096.8,18096.8,18096.8,0,0
XAUBTC,D,20100819,000000,18476.1,18476.1,18476.1,18476.1,0,0
XAUBTC,D,20100820,000000,18733.4,18733.4,18733.4,18733.4,0,0
XAUBTC,D,20100823,000000,18867.4,18867.4,18867.4,18867.4,0,0
XAUBTC,D,20100824,000000,18914.4,18914.4,18914.4,18914.4,0,0
XAUBTC,D,20100825,000000,19113.4,19113.4,19113.4,19113.4,0,0
XAUBTC,D,20100826,000000,19300.5,19300.5,19300.5,19300.5,0,0
XAUBTC,D,20100827,000000,19002.9,19002.9,19002.9,19002.9,0,0
XAUBTC,D,20100830,000000,19030.5,19030.5,19030.5,19030.5,0,0
XAUBTC,D,20100831,000000,20786.2,20786.2,20786.2,20786.2,0,0
XAUBTC,D,20100901,000000,19798.9,19798.9,19798.9,19798.9,0,0
XAUBTC,D,20100902,000000,19705.2,19705.2,19705.2,19705.2,0,0
XAUBTC,D,20100903,000000,20520.6,20520.6,20520.6,20520.6,0,0
XAUBTC,D,20100906,000000,20269.1,20269.1,20269.1,20269.1,0,0
XAUBTC,D,20100907,000000,20588.3,20588.3,20588.3,20588.3,0,0
XAUBTC,D,20100908,000000,20240.8,20240.8,20240.8,20240.8,0,0
XAUBTC,D,20100909,000000,20380.8,20380.8,20380.8,20380.8,0,0
XAUBTC,D,20100910,000000,20114.4,20114.4,20114.4,20114.4,0,0
XAUBTC,D,20100913,000000,20031,20031,20031,20031,0,0
XAUBTC,D,20100914,000000,20484.8,20484.8,20484.8,20484.8,0,0
XAUBTC,D,20100915,000000,20974,20974,20974,20974,0,0
XAUBTC,D,20100916,000000,20562,20562,20562,20562,0,0
XAUBTC,D,20100917,000000,21632,21632,21632,21632,0,0
XAUBTC,D,20100920,000000,20605.3,20605.3,20605.3,20605.3,0,0
XAUBTC,D,20100921,000000,20316.6,20316.6,20316.6,20316.6,0,0
XAUBTC,D,20100922,000000,20722.2,20722.2,20722.2,20722.2,0,0
XAUBTC,D,20100923,000000,20781.9,20781.9,20781.9,20781.9,0,0
XAUBTC,D,20100924,000000,20833.8,20833.8,20833.8,20833.8,0,0
XAUBTC,D,20100927,000000,20852.4,20852.4,20852.4,20852.4,0,0
XAUBTC,D,20100928,000000,21148.8,21148.8,21148.8,21148.8,0,0
XAUBTC,D,20100929,000000,21152.9,21152.9,21152.9,21152.9,0,0
XAUBTC,D,20100930,000000,21115.6,21115.6,21115.6,21115.6,0,0
XAUBTC,D,20101001,000000,21224.2,21224.2,21224.2,21224.2,0,0
XAUBTC,D,20101004,000000,21443.5,21443.5,21443.5,21443.5,0,0
XAUBTC,D,20101005,000000,21820.6,21820.6,21820.6,21820.6,0,0
XAUBTC,D,20101006,000000,21436,21436,21436,21436,0,0
XAUBTC,D,20101007,000000,19913.1,19913.1,19913.1,19913.1,0,0
XAUBTC,D,20101008,000000,15471.9,15471.9,15471.9,15471.9,0,0
XAUBTC,D,20101011,000000,14238.9,14238.9,14238.9,14238.9,0,0
XAUBTC,D,20101012,000000,14185.8,14185.8,14185.8,14185.8,0,0
XAUBTC,D,20101013,000000,13046.7,13046.7,13046.7,13046.7,0,0
XAUBTC,D,20101014,000000,13471.2,13471.2,13471.2,13471.2,0,0
XAUBTC,D,20101015,000000,13052.7,13052.7,13052.7,13052.7,0,0
XAUBTC,D,20101018,000000,13389.7,13389.7,13389.7,13389.7,0,0
XAUBTC,D,20101019,000000,13820.5,13820.5,13820.5,13820.5,0,0
XAUBTC,D,20101020,000000,13596.4,13596.4,13596.4,13596.4,0,0
XAUBTC,D,20101021,000000,12377.6,12377.6,12377.6,12377.6,0,0
XAUBTC,D,20101022,000000,12908.5,12908.5,12908.5,12908.5,0,0
XAUBTC,D,20101025,000000,10117.1,10117.1,10117.1,10117.1,0,0
XAUBTC,D,20101026,000000,8908.69,8908.69,8908.69,8908.69,0,0
XAUBTC,D,20101027,000000,7047.9,7047.9,7047.9,7047.9,0,0
XAUBTC,D,20101028,000000,7747.88,7747.88,7747.88,7747.88,0,0
XAUBTC,D,20101029,000000,7142.83,7142.83,7142.83,7142.83,0,0
XAUBTC,D,20101101,000000,6918.1,6918.1,6918.1,6918.1,0,0
XAUBTC,D,20101102,000000,6997.32,6997.32,6997.32,6997.32,0,0
XAUBTC,D,20101103,000000,6925.98,6925.98,6925.98,6925.98,0,0
XAUBTC,D,20101104,000000,6000.47,6000.47,6000.47,6000.47,0,0
XAUBTC,D,20101105,000000,5367.69,5367.69,5367.69,5367.69,0,0
XAUBTC,D,20101108,000000,5784.53,5784.53,5784.53,5784.53,0,0
XAUBTC,D,20101109,000000,6774.52,6774.52,6774.52,6774.52,0,0
XAUBTC,D,20101110,000000,5806.28,5806.28,5806.28,5806.28,0,0
XAUBTC,D,20101111,000000,6300.08,6300.08,6300.08,6300.08,0,0
XAUBTC,D,20101112,000000,5088.72,5088.72,5088.72,5088.72,0,0
XAUBTC,D,20101115,000000,5112.73,5112.73,5112.73,5112.73,0,0
XAUBTC,D,20101116,000000,5994.05,5994.05,5994.05,5994.05,0,0
XAUBTC,D,20101117,000000,5812.26,5812.26,5812.26,5812.26,0,0
XAUBTC,D,20101118,000000,5047.66,5047.66,5047.66,5047.66,0,0
XAUBTC,D,20101119,000000,4833.96,4833.96,4833.96,4833.96,0,0
XAUBTC,D,20101122,000000,4714.36,4714.36,4714.36,4714.36,0,0
XAUBTC,D,20101123,000000,4875.47,4875.47,4875.47,4875.47,0,0
XAUBTC,D,20101124,000000,4850.55,4850.55,4850.55,4850.55,0,0
XAUBTC,D,20101125,000000,4909.86,4909.86,4909.86,4909.86,0,0
XAUBTC,D,20101126,000000,4778.95,4778.95,4778.95,4778.95,0,0
XAUBTC,D,20101129,000000,5942.52,5942.52,5942.52,5942.52,0,0
XAUBTC,D,20101130,000000,6665.52,6665.52,6665.52,6665.52,0,0
XAUBTC,D,20101201,000000,6115.82,6115.82,6115.82,6115.82,0,0
XAUBTC,D,20101202,000000,5437.71,5437.71,5437.71,5437.71,0,0
XAUBTC,D,20101203,000000,5601.51,5601.51,5601.51,5601.51,0,0
XAUBTC,D,20101206,000000,6934.77,6934.77,6934.77,6934.77,0,0
XAUBTC,D,20101207,000000,6049.74,6049.74,6049.74,6049.74,0,0
XAUBTC,D,20101208,000000,5792.75,5792.75,5792.75,5792.75,0,0
XAUBTC,D,20101209,000000,6944.48,6944.48,6944.48,6944.48,0,0
XAUBTC,D,20101210,000000,6786.26,6786.26,6786.26,6786.26,0,0
XAUBTC,D,20101213,000000,6065.28,6065.28,6065.28,6065.28,0,0
XAUBTC,D,20101214,000000,5686.91,5686.91,5686.91,5686.91,0,0
XAUBTC,D,20101215,000000,5824.78,5824.78,5824.78,5824.78,0,0
