<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUCLP,D,19931025,000000,152711,152711,152711,152711,0,0
XAUCLP,D,19931026,000000,152599,152599,152599,152599,0,0
XAUCLP,D,19931027,000000,152710,152710,152710,152710,0,0
XAUCLP,D,19931028,000000,152412,152412,152412,152412,0,0
XAUCLP,D,19931029,000000,152312,152312,152312,152312,0,0
XAUCLP,D,19931102,000000,149731,149731,149731,149731,0,0
XAUCLP,D,19931103,000000,151451,151451,151451,151451,0,0
XAUCLP,D,19931104,000000,153095,153095,153095,153095,0,0
XAUCLP,D,19931105,000000,155390,155390,155390,155390,0,0
XAUCLP,D,19931108,000000,154329,154329,154329,154329,0,0
XAUCLP,D,19931109,000000,154594,154594,154594,154594,0,0
XAUCLP,D,19931110,000000,154904,154904,154904,154904,0,0
XAUCLP,D,19931112,000000,153737,153737,153737,153737,0,0
XAUCLP,D,19931115,000000,154582,154582,154582,154582,0,0
XAUCLP,D,19931116,000000,153662,153662,153662,153662,0,0
XAUCLP,D,19931117,000000,154803,154803,154803,154803,0,0
XAUCLP,D,19931118,000000,154709,154709,154709,154709,0,0
XAUCLP,D,19931119,000000,156256,156256,156256,156256,0,0
XAUCLP,D,19931122,000000,156170,156170,156170,156170,0,0
XAUCLP,D,19931123,000000,155711,155711,155711,155711,0,0
XAUCLP,D,19931124,000000,156952,156952,156952,156952,0,0
XAUCLP,D,19931125,000000,157272,157272,157272,157272,0,0
XAUCLP,D,19931126,000000,157974,157974,157974,157974,0,0
XAUCLP,D,19931129,000000,156289,156289,156289,156289,0,0
XAUCLP,D,19931130,000000,155809,155809,155809,155809,0,0
XAUCLP,D,19931201,000000,157888,157888,157888,157888,0,0
XAUCLP,D,19931202,000000,158195,158195,158195,158195,0,0
XAUCLP,D,19931203,000000,160527,160527,160527,160527,0,0
XAUCLP,D,19931206,000000,161055,161055,161055,161055,0,0
XAUCLP,D,19931207,000000,162683,162683,162683,162683,0,0
XAUCLP,D,19931208,000000,165078,165078,165078,165078,0,0
XAUCLP,D,19931209,000000,163458,163458,163458,163458,0,0
XAUCLP,D,19931210,000000,162659,162659,162659,162659,0,0
XAUCLP,D,19931213,000000,164573,164573,164573,164573,0,0
XAUCLP,D,19931214,000000,164793,164793,164793,164793,0,0
XAUCLP,D,19931215,000000,164875,164875,164875,164875,0,0
XAUCLP,D,19931216,000000,163915,163915,163915,163915,0,0
XAUCLP,D,19931217,000000,164706,164706,164706,164706,0,0
XAUCLP,D,19931220,000000,165422,165422,165422,165422,0,0
XAUCLP,D,19931221,000000,164852,164852,164852,164852,0,0
XAUCLP,D,19931222,000000,164868,164868,164868,164868,0,0
XAUCLP,D,19931223,000000,165122,165122,165122,165122,0,0
XAUCLP,D,19931224,000000,165655,165655,165655,165655,0,0
XAUCLP,D,19931227,000000,166208,166208,166208,166208,0,0
XAUCLP,D,19931228,000000,166539,166539,166539,166539,0,0
XAUCLP,D,19931229,000000,167699,167699,167699,167699,0,0
XAUCLP,D,19931230,000000,167193,167193,167193,167193,0,0
XAUCLP,D,19931231,000000,167134,167134,167134,167134,0,0
XAUCLP,D,19940103,000000,168813,168813,168813,168813,0,0
XAUCLP,D,19940104,000000,169532,169532,169532,169532,0,0
XAUCLP,D,19940105,000000,168498,168498,168498,168498,0,0
XAUCLP,D,19940106,000000,167278,167278,167278,167278,0,0
XAUCLP,D,19940107,000000,165915,165915,165915,165915,0,0
XAUCLP,D,19940110,000000,165204,165204,165204,165204,0,0
XAUCLP,D,19940111,000000,166227,166227,166227,166227,0,0
XAUCLP,D,19940112,000000,165535,165535,165535,165535,0,0
XAUCLP,D,19940113,000000,167589,167589,167589,167589,0,0
XAUCLP,D,19940114,000000,167361,167361,167361,167361,0,0
XAUCLP,D,19940117,000000,168254,168254,168254,168254,0,0
XAUCLP,D,19940118,000000,168873,168873,168873,168873,0,0
XAUCLP,D,19940119,000000,168868,168868,168868,168868,0,0
XAUCLP,D,19940120,000000,166888,166888,166888,166888,0,0
XAUCLP,D,19940121,000000,164788,164788,164788,164788,0,0
XAUCLP,D,19940124,000000,165169,165169,165169,165169,0,0
XAUCLP,D,19940125,000000,164227,164227,164227,164227,0,0
XAUCLP,D,19940126,000000,165156,165156,165156,165156,0,0
XAUCLP,D,19940127,000000,161354,161354,161354,161354,0,0
XAUCLP,D,19940128,000000,162138,162138,162138,162138,0,0
XAUCLP,D,19940131,000000,164604,164604,164604,164604,0,0
XAUCLP,D,19940201,000000,165533,165533,165533,165533,0,0
XAUCLP,D,19940202,000000,165352,165352,165352,165352,0,0
XAUCLP,D,19940203,000000,166050,166050,166050,166050,0,0
XAUCLP,D,19940204,000000,165852,165852,165852,165852,0,0
XAUCLP,D,19940207,000000,162391,162391,162391,162391,0,0
XAUCLP,D,19940208,000000,163686,163686,163686,163686,0,0
XAUCLP,D,19940209,000000,163858,163858,163858,163858,0,0
XAUCLP,D,19940210,000000,162823,162823,162823,162823,0,0
XAUCLP,D,19940211,000000,162816,162816,162816,162816,0,0
XAUCLP,D,19940214,000000,164425,164425,164425,164425,0,0
XAUCLP,D,19940215,000000,163982,163982,163982,163982,0,0
XAUCLP,D,19940216,000000,163725,163725,163725,163725,0,0
XAUCLP,D,19940217,000000,163329,163329,163329,163329,0,0
XAUCLP,D,19940218,000000,162343,162343,162343,162343,0,0
XAUCLP,D,19940221,000000,162125,162125,162125,162125,0,0
XAUCLP,D,19940222,000000,161387,161387,161387,161387,0,0
XAUCLP,D,19940223,000000,161720,161720,161720,161720,0,0
XAUCLP,D,19940224,000000,161185,161185,161185,161185,0,0
XAUCLP,D,19940225,000000,162441,162441,162441,162441,0,0
XAUCLP,D,19940228,000000,163614,163614,163614,163614,0,0
XAUCLP,D,19940301,000000,162213,162213,162213,162213,0,0
XAUCLP,D,19940302,000000,162707,162707,162707,162707,0,0
XAUCLP,D,19940303,000000,163186,163186,163186,163186,0,0
XAUCLP,D,19940304,000000,162959,162959,162959,162959,0,0
XAUCLP,D,19940307,000000,162286,162286,162286,162286,0,0
XAUCLP,D,19940308,000000,162270,162270,162270,162270,0,0
XAUCLP,D,19940309,000000,163248,163248,163248,163248,0,0
XAUCLP,D,19940310,000000,166884,166884,166884,166884,0,0
XAUCLP,D,19940311,000000,166255,166255,166255,166255,0,0
XAUCLP,D,19940314,000000,166688,166688,166688,166688,0,0
XAUCLP,D,19940315,000000,166643,166643,166643,166643,0,0
XAUCLP,D,19940316,000000,165790,165790,165790,165790,0,0
XAUCLP,D,19940317,000000,164490,164490,164490,164490,0,0
XAUCLP,D,19940318,000000,166209,166209,166209,166209,0,0
XAUCLP,D,19940321,000000,166109,166109,166109,166109,0,0
XAUCLP,D,19940322,000000,167191,167191,167191,167191,0,0
XAUCLP,D,19940323,000000,165988,165988,165988,165988,0,0
XAUCLP,D,19940324,000000,167308,167308,167308,167308,0,0
XAUCLP,D,19940325,000000,167275,167275,167275,167275,0,0
XAUCLP,D,19940328,000000,166316,166316,166316,166316,0,0
XAUCLP,D,19940329,000000,165008,165008,165008,165008,0,0
XAUCLP,D,19940330,000000,164625,164625,164625,164625,0,0
XAUCLP,D,19940331,000000,166978,166978,166978,166978,0,0
XAUCLP,D,19940401,000000,165935,165935,165935,165935,0,0
XAUCLP,D,19940405,000000,163350,163350,163350,163350,0,0
XAUCLP,D,19940406,000000,163426,163426,163426,163426,0,0
XAUCLP,D,19940407,000000,163028,163028,163028,163028,0,0
XAUCLP,D,19940408,000000,161971,161971,161971,161971,0,0
XAUCLP,D,19940411,000000,159368,159368,159368,159368,0,0
XAUCLP,D,19940412,000000,159681,159681,159681,159681,0,0
XAUCLP,D,19940413,000000,159574,159574,159574,159574,0,0
XAUCLP,D,19940414,000000,159521,159521,159521,159521,0,0
XAUCLP,D,19940415,000000,160167,160167,160167,160167,0,0
XAUCLP,D,19940418,000000,160037,160037,160037,160037,0,0
XAUCLP,D,19940419,000000,156901,156901,156901,156901,0,0
XAUCLP,D,19940420,000000,157643,157643,157643,157643,0,0
XAUCLP,D,19940421,000000,158424,158424,158424,158424,0,0
XAUCLP,D,19940422,000000,157405,157405,157405,157405,0,0
XAUCLP,D,19940425,000000,158665,158665,158665,158665,0,0
XAUCLP,D,19940426,000000,159549,159549,159549,159549,0,0
XAUCLP,D,19940427,000000,159923,159923,159923,159923,0,0
XAUCLP,D,19940428,000000,160258,160258,160258,160258,0,0
XAUCLP,D,19940429,000000,160174,160174,160174,160174,0,0
XAUCLP,D,19940504,000000,160072,160072,160072,160072,0,0
XAUCLP,D,19940505,000000,159032,159032,159032,159032,0,0
XAUCLP,D,19940506,000000,163553,163553,163553,163553,0,0
XAUCLP,D,19940509,000000,162216,162216,162216,162216,0,0
XAUCLP,D,19940510,000000,161214,161214,161214,161214,0,0
XAUCLP,D,19940511,000000,162170,162170,162170,162170,0,0
XAUCLP,D,19940512,000000,161405,161405,161405,161405,0,0
XAUCLP,D,19940513,000000,161616,161616,161616,161616,0,0
XAUCLP,D,19940516,000000,162060,162060,162060,162060,0,0
XAUCLP,D,19940517,000000,161393,161393,161393,161393,0,0
XAUCLP,D,19940518,000000,161527,161527,161527,161527,0,0
XAUCLP,D,19940519,000000,161439,161439,161439,161439,0,0
XAUCLP,D,19940520,000000,163583,163583,163583,163583,0,0
XAUCLP,D,19940523,000000,164921,164921,164921,164921,0,0
XAUCLP,D,19940524,000000,164218,164218,164218,164218,0,0
XAUCLP,D,19940525,000000,163721,163721,163721,163721,0,0
XAUCLP,D,19940526,000000,162460,162460,162460,162460,0,0
XAUCLP,D,19940527,000000,162664,162664,162664,162664,0,0
XAUCLP,D,19940530,000000,162317,162317,162317,162317,0,0
XAUCLP,D,19940531,000000,162895,162895,162895,162895,0,0
XAUCLP,D,19940601,000000,161410,161410,161410,161410,0,0
XAUCLP,D,19940603,000000,160798,160798,160798,160798,0,0
XAUCLP,D,19940606,000000,160924,160924,160924,160924,0,0
XAUCLP,D,19940607,000000,160863,160863,160863,160863,0,0
XAUCLP,D,19940608,000000,160975,160975,160975,160975,0,0
XAUCLP,D,19940609,000000,161428,161428,161428,161428,0,0
XAUCLP,D,19940610,000000,162022,162022,162022,162022,0,0
XAUCLP,D,19940613,000000,161536,161536,161536,161536,0,0
XAUCLP,D,19940614,000000,161613,161613,161613,161613,0,0
XAUCLP,D,19940615,000000,162547,162547,162547,162547,0,0
XAUCLP,D,19940616,000000,161868,161868,161868,161868,0,0
XAUCLP,D,19940617,000000,164313,164313,164313,164313,0,0
XAUCLP,D,19940620,000000,162414,162414,162414,162414,0,0
XAUCLP,D,19940621,000000,164136,164136,164136,164136,0,0
XAUCLP,D,19940622,000000,163420,163420,163420,163420,0,0
XAUCLP,D,19940623,000000,163476,163476,163476,163476,0,0
XAUCLP,D,19940624,000000,163704,163704,163704,163704,0,0
XAUCLP,D,19940627,000000,160908,160908,160908,160908,0,0
XAUCLP,D,19940628,000000,161680,161680,161680,161680,0,0
XAUCLP,D,19940629,000000,161158,161158,161158,161158,0,0
XAUCLP,D,19940630,000000,161197,161197,161197,161197,0,0
XAUCLP,D,19940701,000000,162529,162529,162529,162529,0,0
XAUCLP,D,19940704,000000,162491,162491,162491,162491,0,0
XAUCLP,D,19940705,000000,162113,162113,162113,162113,0,0
XAUCLP,D,19940706,000000,161076,161076,161076,161076,0,0
XAUCLP,D,19940707,000000,161717,161717,161717,161717,0,0
