<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUHUF,D,19951023,000000,49698,49698,49698,49698,0,0
XAUHUF,D,19951024,000000,49755,49755,49755,49755,0,0
XAUHUF,D,19951025,000000,49892,49892,49892,49892,0,0
XAUHUF,D,19951026,000000,50006,50006,50006,50006,0,0
XAUHUF,D,19951027,000000,49991,49991,49991,49991,0,0
XAUHUF,D,19951030,000000,50126,50126,50126,50126,0,0
XAUHUF,D,19951031,000000,50259,50259,50259,50259,0,0
XAUHUF,D,19951102,000000,50580,50580,50580,50580,0,0
XAUHUF,D,19951103,000000,50582,50582,50582,50582,0,0
XAUHUF,D,19951106,000000,50567,50567,50567,50567,0,0
XAUHUF,D,19951107,000000,50869,50869,50869,50869,0,0
XAUHUF,D,19951108,000000,50922,50922,50922,50922,0,0
XAUHUF,D,19951109,000000,51133,51133,51133,51133,0,0
XAUHUF,D,19951110,000000,51494,51494,51494,51494,0,0
XAUHUF,D,19951113,000000,51354,51354,51354,51354,0,0
XAUHUF,D,19951114,000000,51221,51221,51221,51221,0,0
XAUHUF,D,19951115,000000,50825,50825,50825,50825,0,0
XAUHUF,D,19951116,000000,51086,51086,51086,51086,0,0
XAUHUF,D,19951117,000000,51195,51195,51195,51195,0,0
XAUHUF,D,19951120,000000,51428,51428,51428,51428,0,0
XAUHUF,D,19951121,000000,51196,51196,51196,51196,0,0
XAUHUF,D,19951122,000000,50748,50748,50748,50748,0,0
XAUHUF,D,19951123,000000,50832,50832,50832,50832,0,0
XAUHUF,D,19951124,000000,51034,51034,51034,51034,0,0
XAUHUF,D,19951127,000000,51374,51374,51374,51374,0,0
XAUHUF,D,19951128,000000,52005,52005,52005,52005,0,0
XAUHUF,D,19951129,000000,52115,52115,52115,52115,0,0
XAUHUF,D,19951130,000000,52473,52473,52473,52473,0,0
XAUHUF,D,19951201,000000,52342,52342,52342,52342,0,0
XAUHUF,D,19951204,000000,52363,52363,52363,52363,0,0
XAUHUF,D,19951205,000000,52158,52158,52158,52158,0,0
XAUHUF,D,19951206,000000,52467,52467,52467,52467,0,0
XAUHUF,D,19951207,000000,52570,52570,52570,52570,0,0
