<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUISK,D,19951023,000000,24465,24465,24465,24465,0,0
XAUISK,D,19951024,000000,24449,24449,24449,24449,0,0
XAUISK,D,19951025,000000,24514,24514,24514,24514,0,0
XAUISK,D,19951026,000000,24516,24516,24516,24516,0,0
XAUISK,D,19951027,000000,24474,24474,24474,24474,0,0
XAUISK,D,19951030,000000,24643,24643,24643,24643,0,0
XAUISK,D,19951031,000000,24646,24646,24646,24646,0,0
XAUISK,D,19951102,000000,24754,24754,24754,24754,0,0
XAUISK,D,19951103,000000,24760,24760,24760,24760,0,0
XAUISK,D,19951106,000000,24647,24647,24647,24647,0,0
XAUISK,D,19951107,000000,24825,24825,24825,24825,0,0
XAUISK,D,19951108,000000,24834,24834,24834,24834,0,0
XAUISK,D,19951109,000000,24934,24934,24934,24934,0,0
XAUISK,D,19951110,000000,25028,25028,25028,25028,0,0
XAUISK,D,19951113,000000,24912,24912,24912,24912,0,0
XAUISK,D,19951114,000000,24928,24928,24928,24928,0,0
XAUISK,D,19951115,000000,24739,24739,24739,24739,0,0
XAUISK,D,19951116,000000,24850,24850,24850,24850,0,0
XAUISK,D,19951117,000000,24912,24912,24912,24912,0,0
XAUISK,D,19951120,000000,24999,24999,24999,24999,0,0
XAUISK,D,19951121,000000,24830,24830,24830,24830,0,0
XAUISK,D,19951122,000000,24659,24659,24659,24659,0,0
XAUISK,D,19951123,000000,24655,24655,24655,24655,0,0
XAUISK,D,19951124,000000,24725,24725,24725,24725,0,0
XAUISK,D,19951127,000000,24912,24912,24912,24912,0,0
XAUISK,D,19951128,000000,25303,25303,25303,25303,0,0
XAUISK,D,19951129,000000,25329,25329,25329,25329,0,0
XAUISK,D,19951130,000000,25226,25226,25226,25226,0,0
XAUISK,D,19951201,000000,25307,25307,25307,25307,0,0
XAUISK,D,19951204,000000,25304,25304,25304,25304,0,0
XAUISK,D,19951205,000000,25244,25244,25244,25244,0,0
XAUISK,D,19951206,000000,25345,25345,25345,25345,0,0
XAUISK,D,19951207,000000,25431,25431,25431,25431,0,0
XAUISK,D,19951208,000000,25516,25516,25516,25516,0,0
XAUISK,D,19951211,000000,25424,25424,25424,25424,0,0
XAUISK,D,19951212,000000,25446,25446,25446,25446,0,0
XAUISK,D,19951213,000000,25384,25384,25384,25384,0,0
XAUISK,D,19951214,000000,25355,25355,25355,25355,0,0
XAUISK,D,19951215,000000,25272,25272,25272,25272,0,0
XAUISK,D,19951218,000000,25334,25334,25334,25334,0,0
XAUISK,D,19951219,000000,25299,25299,25299,25299,0,0
XAUISK,D,19951220,000000,25384,25384,25384,25384,0,0
XAUISK,D,19951221,000000,25325,25325,25325,25325,0,0
XAUISK,D,19951222,000000,25286,25286,25286,25286,0,0
XAUISK,D,19951227,000000,25207,25207,25207,25207,0,0
XAUISK,D,19951228,000000,25192,25192,25192,25192,0,0
XAUISK,D,19951229,000000,25234,25234,25234,25234,0,0
XAUISK,D,19960102,000000,25472,25472,25472,25472,0,0
XAUISK,D,19960103,000000,25713,25713,25713,25713,0,0
XAUISK,D,19960104,000000,25723,25723,25723,25723,0,0
XAUISK,D,19960105,000000,25925,25925,25925,25925,0,0
XAUISK,D,19960108,000000,25944,25944,25944,25944,0,0
XAUISK,D,19960109,000000,25963,25963,25963,25963,0,0
XAUISK,D,19960110,000000,26151,26151,26151,26151,0,0
XAUISK,D,19960111,000000,26099,26099,26099,26099,0,0
XAUISK,D,19960112,000000,26145,26145,26145,26145,0,0
XAUISK,D,19960115,000000,25954,25954,25954,25954,0,0
XAUISK,D,19960116,000000,26261,26261,26261,26261,0,0
XAUISK,D,19960117,000000,26340,26340,26340,26340,0,0
XAUISK,D,19960118,000000,26321,26321,26321,26321,0,0
XAUISK,D,19960119,000000,26593,26593,26593,26593,0,0
XAUISK,D,19960122,000000,26902,26902,26902,26902,0,0
XAUISK,D,19960123,000000,26896,26896,26896,26896,0,0
XAUISK,D,19960124,000000,26951,26951,26951,26951,0,0
XAUISK,D,19960125,000000,27112,27112,27112,27112,0,0
XAUISK,D,19960126,000000,27195,27195,27195,27195,0,0
XAUISK,D,19960129,000000,27255,27255,27255,27255,0,0
XAUISK,D,19960130,000000,27123,27123,27123,27123,0,0
XAUISK,D,19960131,000000,27249,27249,27249,27249,0,0
XAUISK,D,19960201,000000,27576,27576,27576,27576,0,0
XAUISK,D,19960202,000000,27793,27793,27793,27793,0,0
XAUISK,D,19960205,000000,27533,27533,27533,27533,0,0
XAUISK,D,19960206,000000,27319,27319,27319,27319,0,0
XAUISK,D,19960207,000000,27181,27181,27181,27181,0,0
XAUISK,D,19960208,000000,27276,27276,27276,27276,0,0
XAUISK,D,19960209,000000,26999,26999,26999,26999,0,0
XAUISK,D,19960212,000000,26688,26688,26688,26688,0,0
XAUISK,D,19960213,000000,26888,26888,26888,26888,0,0
XAUISK,D,19960214,000000,26852,26852,26852,26852,0,0
XAUISK,D,19960215,000000,26749,26749,26749,26749,0,0
XAUISK,D,19960216,000000,26866,26866,26866,26866,0,0
XAUISK,D,19960219,000000,26883,26883,26883,26883,0,0
XAUISK,D,19960220,000000,26339,26339,26339,26339,0,0
XAUISK,D,19960221,000000,26505,26505,26505,26505,0,0
XAUISK,D,19960222,000000,26331,26331,26331,26331,0,0
XAUISK,D,19960223,000000,26319,26319,26319,26319,0,0
XAUISK,D,19960226,000000,26158,26158,26158,26158,0,0
XAUISK,D,19960227,000000,26165,26165,26165,26165,0,0
XAUISK,D,19960228,000000,26144,26144,26144,26144,0,0
XAUISK,D,19960229,000000,26410,26410,26410,26410,0,0
XAUISK,D,19960301,000000,26514,26514,26514,26514,0,0
XAUISK,D,19960304,000000,26129,26129,26129,26129,0,0
XAUISK,D,19960305,000000,26130,26130,26130,26130,0,0
XAUISK,D,19960306,000000,26106,26106,26106,26106,0,0
XAUISK,D,19960307,000000,26167,26167,26167,26167,0,0
XAUISK,D,19960308,000000,26379,26379,26379,26379,0,0
XAUISK,D,19960311,000000,26324,26324,26324,26324,0,0
XAUISK,D,19960312,000000,26392,26392,26392,26392,0,0
XAUISK,D,19960313,000000,26314,26314,26314,26314,0,0
XAUISK,D,19960314,000000,26216,26216,26216,26216,0,0
XAUISK,D,19960315,000000,26195,26195,26195,26195,0,0
XAUISK,D,19960318,000000,26203,26203,26203,26203,0,0
XAUISK,D,19960319,000000,26220,26220,26220,26220,0,0
XAUISK,D,19960320,000000,26164,26164,26164,26164,0,0
XAUISK,D,19960321,000000,26341,26341,26341,26341,0,0
XAUISK,D,19960322,000000,26407,26407,26407,26407,0,0
XAUISK,D,19960325,000000,26358,26358,26358,26358,0,0
XAUISK,D,19960326,000000,26484,26484,26484,26484,0,0
XAUISK,D,19960327,000000,26566,26566,26566,26566,0,0
XAUISK,D,19960328,000000,26358,26358,26358,26358,0,0
XAUISK,D,19960329,000000,26176,26176,26176,26176,0,0
XAUISK,D,19960401,000000,26201,26201,26201,26201,0,0
XAUISK,D,19960402,000000,26132,26132,26132,26132,0,0
XAUISK,D,19960403,000000,26129,26129,26129,26129,0,0
XAUISK,D,19960404,000000,26180,26180,26180,26180,0,0
XAUISK,D,19960405,000000,26081,26081,26081,26081,0,0
XAUISK,D,19960409,000000,26221,26221,26221,26221,0,0
XAUISK,D,19960410,000000,26366,26366,26366,26366,0,0
XAUISK,D,19960411,000000,26413,26413,26413,26413,0,0
XAUISK,D,19960412,000000,26364,26364,26364,26364,0,0
XAUISK,D,19960415,000000,26375,26375,26375,26375,0,0
XAUISK,D,19960416,000000,26208,26208,26208,26208,0,0
XAUISK,D,19960417,000000,26208,26208,26208,26208,0,0
XAUISK,D,19960418,000000,26167,26167,26167,26167,0,0
XAUISK,D,19960419,000000,26586,26586,26586,26586,0,0
XAUISK,D,19960422,000000,26219,26219,26219,26219,0,0
XAUISK,D,19960423,000000,26228,26228,26228,26228,0,0
XAUISK,D,19960424,000000,26202,26202,26202,26202,0,0
XAUISK,D,19960425,000000,26388,26388,26388,26388,0,0
XAUISK,D,19960426,000000,26298,26298,26298,26298,0,0
XAUISK,D,19960429,000000,26133,26133,26133,26133,0,0
XAUISK,D,19960430,000000,26302,26302,26302,26302,0,0
XAUISK,D,19960506,000000,26398,26398,26398,26398,0,0
XAUISK,D,19960507,000000,26428,26428,26428,26428,0,0
XAUISK,D,19960508,000000,26387,26387,26387,26387,0,0
XAUISK,D,19960509,000000,26288,26288,26288,26288,0,0
XAUISK,D,19960510,000000,26107,26107,26107,26107,0,0
XAUISK,D,19960513,000000,26321,26321,26321,26321,0,0
XAUISK,D,19960514,000000,26353,26353,26353,26353,0,0
XAUISK,D,19960515,000000,26388,26388,26388,26388,0,0
XAUISK,D,19960516,000000,26396,26396,26396,26396,0,0
XAUISK,D,19960517,000000,26369,26369,26369,26369,0,0
XAUISK,D,19960520,000000,26275,26275,26275,26275,0,0
XAUISK,D,19960521,000000,26398,26398,26398,26398,0,0
XAUISK,D,19960522,000000,26496,26496,26496,26496,0,0
XAUISK,D,19960523,000000,26509,26509,26509,26509,0,0
XAUISK,D,19960524,000000,26459,26459,26459,26459,0,0
XAUISK,D,19960527,000000,26451,26451,26451,26451,0,0
XAUISK,D,19960528,000000,26534,26534,26534,26534,0,0
XAUISK,D,19960529,000000,26524,26524,26524,26524,0,0
XAUISK,D,19960530,000000,26330,26330,26330,26330,0,0
XAUISK,D,19960531,000000,26323,26323,26323,26323,0,0
XAUISK,D,19960603,000000,26207,26207,26207,26207,0,0
XAUISK,D,19960604,000000,26068,26068,26068,26068,0,0
XAUISK,D,19960605,000000,25948,25948,25948,25948,0,0
XAUISK,D,19960607,000000,25827,25827,25827,25827,0,0
XAUISK,D,19960610,000000,26001,26001,26001,26001,0,0
XAUISK,D,19960611,000000,25875,25875,25875,25875,0,0
XAUISK,D,19960612,000000,25870,25870,25870,25870,0,0
XAUISK,D,19960613,000000,25847,25847,25847,25847,0,0
XAUISK,D,19960614,000000,25706,25706,25706,25706,0,0
XAUISK,D,19960617,000000,25783,25783,25783,25783,0,0
XAUISK,D,19960618,000000,25709,25709,25709,25709,0,0
XAUISK,D,19960619,000000,25651,25651,25651,25651,0,0
XAUISK,D,19960620,000000,25707,25707,25707,25707,0,0
XAUISK,D,19960621,000000,25788,25788,25788,25788,0,0
XAUISK,D,19960624,000000,25869,25869,25869,25869,0,0
XAUISK,D,19960625,000000,25791,25791,25791,25791,0,0
XAUISK,D,19960626,000000,25712,25712,25712,25712,0,0
XAUISK,D,19960627,000000,25609,25609,25609,25609,0,0
XAUISK,D,19960628,000000,25469,25469,25469,25469,0,0
XAUISK,D,19960701,000000,25573,25573,25573,25573,0,0
XAUISK,D,19960702,000000,25592,25592,25592,25592,0,0
XAUISK,D,19960703,000000,25639,25639,25639,25639,0,0
XAUISK,D,19960704,000000,25484,25484,25484,25484,0,0
XAUISK,D,19960705,000000,25598,25598,25598,25598,0,0
XAUISK,D,19960708,000000,25629,25629,25629,25629,0,0
XAUISK,D,19960709,000000,25688,25688,25688,25688,0,0
XAUISK,D,19960710,000000,25664,25664,25664,25664,0,0
XAUISK,D,19960711,000000,25734,25734,25734,25734,0,0
XAUISK,D,19960712,000000,25685,25685,25685,25685,0,0
XAUISK,D,19960715,000000,25702,25702,25702,25702,0,0
XAUISK,D,19960716,000000,25629,25629,25629,25629,0,0
XAUISK,D,19960717,000000,25408,25408,25408,25408,0,0
XAUISK,D,19960718,000000,25466,25466,25466,25466,0,0
XAUISK,D,19960719,000000,25528,25528,25528,25528,0,0
XAUISK,D,19960722,000000,25480,25480,25480,25480,0,0
XAUISK,D,19960723,000000,25381,25381,25381,25381,0,0
XAUISK,D,19960724,000000,25478,25478,25478,25478,0,0
