<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRKRW,D,19910102,000000,1028.9,1028.9,1028.9,1028.9,0,0
XDRKRW,D,19910103,000000,1028.9,1028.9,1028.9,1028.9,0,0
XDRKRW,D,19910104,000000,1022,1022,1022,1022,0,0
XDRKRW,D,19910107,000000,1013.4,1013.4,1013.4,1013.4,0,0
XDRKRW,D,19910108,000000,1014.9,1014.9,1014.9,1014.9,0,0
XDRKRW,D,19910109,000000,1022.9,1022.9,1022.9,1022.9,0,0
XDRKRW,D,19910110,000000,1017.3,1017.3,1017.3,1017.3,0,0
XDRKRW,D,19910111,000000,1014.2,1014.2,1014.2,1014.2,0,0
XDRKRW,D,19910114,000000,1015,1015,1015,1015,0,0
XDRKRW,D,19910115,000000,1013.7,1013.7,1013.7,1013.7,0,0
XDRKRW,D,19910116,000000,1013.2,1013.2,1013.2,1013.2,0,0
XDRKRW,D,19910117,000000,1025.5,1025.5,1025.5,1025.5,0,0
XDRKRW,D,19910118,000000,1029.5,1029.5,1029.5,1029.5,0,0
XDRKRW,D,19910121,000000,1035.1,1035.1,1035.1,1035.1,0,0
XDRKRW,D,19910122,000000,1033.6,1033.6,1033.6,1033.6,0,0
XDRKRW,D,19910123,000000,1035.6,1035.6,1035.6,1035.6,0,0
XDRKRW,D,19910124,000000,1036.5,1036.5,1036.5,1036.5,0,0
XDRKRW,D,19910125,000000,1034.2,1034.2,1034.2,1034.2,0,0
XDRKRW,D,19910128,000000,1034.5,1034.5,1034.5,1034.5,0,0
XDRKRW,D,19910129,000000,1036.7,1036.7,1036.7,1036.7,0,0
XDRKRW,D,19910130,000000,1035.4,1035.4,1035.4,1035.4,0,0
XDRKRW,D,19910131,000000,1038.6,1038.6,1038.6,1038.6,0,0
XDRKRW,D,19910201,000000,1041.5,1041.5,1041.5,1041.5,0,0
XDRKRW,D,19910204,000000,1043.6,1043.6,1043.6,1043.6,0,0
XDRKRW,D,19910205,000000,1047.1,1047.1,1047.1,1047.1,0,0
XDRKRW,D,19910206,000000,1052.5,1052.5,1052.5,1052.5,0,0
XDRKRW,D,19910207,000000,1050.6,1050.6,1050.6,1050.6,0,0
XDRKRW,D,19910208,000000,1052.9,1052.9,1052.9,1052.9,0,0
XDRKRW,D,19910211,000000,1057.3,1057.3,1057.3,1057.3,0,0
XDRKRW,D,19910212,000000,1049.6,1049.6,1049.6,1049.6,0,0
XDRKRW,D,19910213,000000,1047.6,1047.6,1047.6,1047.6,0,0
XDRKRW,D,19910214,000000,1046,1046,1046,1046,0,0
XDRKRW,D,19910215,000000,1044.1,1044.1,1044.1,1044.1,0,0
XDRKRW,D,19910218,000000,1044.1,1044.1,1044.1,1044.1,0,0
XDRKRW,D,19910219,000000,1037.5,1037.5,1037.5,1037.5,0,0
XDRKRW,D,19910220,000000,1037.7,1037.7,1037.7,1037.7,0,0
XDRKRW,D,19910221,000000,1039.1,1039.1,1039.1,1039.1,0,0
XDRKRW,D,19910222,000000,1034.5,1034.5,1034.5,1034.5,0,0
XDRKRW,D,19910225,000000,1029.4,1029.4,1029.4,1029.4,0,0
XDRKRW,D,19910226,000000,1031.8,1031.8,1031.8,1031.8,0,0
XDRKRW,D,19910227,000000,1032.7,1032.7,1032.7,1032.7,0,0
XDRKRW,D,19910228,000000,1030.6,1030.6,1030.6,1030.6,0,0
XDRKRW,D,19910301,000000,1027.4,1027.4,1027.4,1027.4,0,0
XDRKRW,D,19910304,000000,1023.7,1023.7,1023.7,1023.7,0,0
