<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRXAG,D,19910102,000000,0.34239,0.34239,0.34239,0.34239,0,0
XDRXAG,D,19910103,000000,0.33495,0.33495,0.33495,0.33495,0,0
XDRXAG,D,19910104,000000,0.33767,0.33767,0.33767,0.33767,0,0
XDRXAG,D,19910107,000000,0.32462,0.32462,0.32462,0.32462,0,0
XDRXAG,D,19910108,000000,0.33727,0.33727,0.33727,0.33727,0,0
XDRXAG,D,19910109,000000,0.34067,0.34067,0.34067,0.34067,0,0
XDRXAG,D,19910110,000000,0.34121,0.34121,0.34121,0.34121,0,0
XDRXAG,D,19910111,000000,0.33889,0.33889,0.33889,0.33889,0,0
XDRXAG,D,19910114,000000,0.33062,0.33062,0.33062,0.33062,0,0
XDRXAG,D,19910115,000000,0.33331,0.33331,0.33331,0.33331,0,0
XDRXAG,D,19910116,000000,0.33132,0.33132,0.33132,0.33132,0,0
XDRXAG,D,19910117,000000,0.35199,0.35199,0.35199,0.35199,0,0
XDRXAG,D,19910118,000000,0.35598,0.35598,0.35598,0.35598,0,0
XDRXAG,D,19910121,000000,0.35631,0.35631,0.35631,0.35631,0,0
XDRXAG,D,19910122,000000,0.35541,0.35541,0.35541,0.35541,0,0
XDRXAG,D,19910123,000000,0.36399,0.36399,0.36399,0.36399,0,0
XDRXAG,D,19910124,000000,0.37867,0.37867,0.37867,0.37867,0,0
XDRXAG,D,19910125,000000,0.37526,0.37526,0.37526,0.37526,0,0
XDRXAG,D,19910128,000000,0.37364,0.37364,0.37364,0.37364,0,0
XDRXAG,D,19910129,000000,0.37123,0.37123,0.37123,0.37123,0,0
XDRXAG,D,19910130,000000,0.37451,0.37451,0.37451,0.37451,0,0
XDRXAG,D,19910131,000000,0.37382,0.37382,0.37382,0.37382,0,0
XDRXAG,D,19910201,000000,0.37293,0.37293,0.37293,0.37293,0,0
XDRXAG,D,19910204,000000,0.37439,0.37439,0.37439,0.37439,0,0
XDRXAG,D,19910205,000000,0.37529,0.37529,0.37529,0.37529,0,0
XDRXAG,D,19910206,000000,0.38427,0.38427,0.38427,0.38427,0,0
XDRXAG,D,19910207,000000,0.38234,0.38234,0.38234,0.38234,0,0
XDRXAG,D,19910208,000000,0.37974,0.37974,0.37974,0.37974,0,0
XDRXAG,D,19910211,000000,0.39432,0.39432,0.39432,0.39432,0,0
XDRXAG,D,19910212,000000,0.39224,0.39224,0.39224,0.39224,0,0
XDRXAG,D,19910213,000000,0.38727,0.38727,0.38727,0.38727,0,0
XDRXAG,D,19910214,000000,0.37785,0.37785,0.37785,0.37785,0,0
XDRXAG,D,19910215,000000,0.38037,0.38037,0.38037,0.38037,0,0
XDRXAG,D,19910218,000000,0.37964,0.37964,0.37964,0.37964,0,0
XDRXAG,D,19910219,000000,0.38832,0.38832,0.38832,0.38832,0,0
XDRXAG,D,19910220,000000,0.38903,0.38903,0.38903,0.38903,0,0
XDRXAG,D,19910221,000000,0.39415,0.39415,0.39415,0.39415,0,0
XDRXAG,D,19910222,000000,0.4067,0.4067,0.4067,0.4067,0,0
XDRXAG,D,19910225,000000,0.39634,0.39634,0.39634,0.39634,0,0
XDRXAG,D,19910226,000000,0.39347,0.39347,0.39347,0.39347,0,0
XDRXAG,D,19910227,000000,0.39237,0.39237,0.39237,0.39237,0,0
XDRXAG,D,19910228,000000,0.37594,0.37594,0.37594,0.37594,0,0
XDRXAG,D,19910301,000000,0.36912,0.36912,0.36912,0.36912,0,0
XDRXAG,D,19910304,000000,0.36115,0.36115,0.36115,0.36115,0,0
XDRXAG,D,19910305,000000,0.36335,0.36335,0.36335,0.36335,0,0
XDRXAG,D,19910306,000000,0.35932,0.35932,0.35932,0.35932,0,0
XDRXAG,D,19910307,000000,0.35014,0.35014,0.35014,0.35014,0,0
XDRXAG,D,19910308,000000,0.33195,0.33195,0.33195,0.33195,0,0
XDRXAG,D,19910311,000000,0.33777,0.33777,0.33777,0.33777,0,0
XDRXAG,D,19910312,000000,0.34491,0.34491,0.34491,0.34491,0,0
XDRXAG,D,19910313,000000,0.33624,0.33624,0.33624,0.33624,0,0
XDRXAG,D,19910314,000000,0.34212,0.34212,0.34212,0.34212,0,0
XDRXAG,D,19910315,000000,0.33559,0.33559,0.33559,0.33559,0,0
XDRXAG,D,19910318,000000,0.34398,0.34398,0.34398,0.34398,0,0
