<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDRXPT,D,19910102,000000,0.0034986,0.0034986,0.0034986,0.0034986,0,0
XDRXPT,D,19910103,000000,0.003485,0.003485,0.003485,0.003485,0,0
XDRXPT,D,19910104,000000,0.0034757,0.0034757,0.0034757,0.0034757,0,0
XDRXPT,D,19910107,000000,0.0034229,0.0034229,0.0034229,0.0034229,0,0
XDRXPT,D,19910108,000000,0.0034784,0.0034784,0.0034784,0.0034784,0,0
XDRXPT,D,19910109,000000,0.0034861,0.0034861,0.0034861,0.0034861,0,0
XDRXPT,D,19910110,000000,0.0034345,0.0034345,0.0034345,0.0034345,0,0
XDRXPT,D,19910111,000000,0.0033881,0.0033881,0.0033881,0.0033881,0,0
XDRXPT,D,19910114,000000,0.0033841,0.0033841,0.0033841,0.0033841,0,0
XDRXPT,D,19910115,000000,0.0033934,0.0033934,0.0033934,0.0033934,0,0
XDRXPT,D,19910116,000000,0.0033745,0.0033745,0.0033745,0.0033745,0,0
XDRXPT,D,19910117,000000,0.0035043,0.0035043,0.0035043,0.0035043,0,0
XDRXPT,D,19910118,000000,0.0035386,0.0035386,0.0035386,0.0035386,0,0
XDRXPT,D,19910121,000000,0.003572,0.003572,0.003572,0.003572,0,0
XDRXPT,D,19910122,000000,0.0035879,0.0035879,0.0035879,0.0035879,0,0
XDRXPT,D,19910123,000000,0.0036436,0.0036436,0.0036436,0.0036436,0,0
XDRXPT,D,19910124,000000,0.0037638,0.0037638,0.0037638,0.0037638,0,0
XDRXPT,D,19910125,000000,0.0037022,0.0037022,0.0037022,0.0037022,0,0
XDRXPT,D,19910128,000000,0.0037907,0.0037907,0.0037907,0.0037907,0,0
XDRXPT,D,19910129,000000,0.0037599,0.0037599,0.0037599,0.0037599,0,0
XDRXPT,D,19910130,000000,0.0037997,0.0037997,0.0037997,0.0037997,0,0
XDRXPT,D,19910131,000000,0.0037735,0.0037735,0.0037735,0.0037735,0,0
XDRXPT,D,19910201,000000,0.0037782,0.0037782,0.0037782,0.0037782,0,0
XDRXPT,D,19910204,000000,0.0037841,0.0037841,0.0037841,0.0037841,0,0
XDRXPT,D,19910205,000000,0.0038661,0.0038661,0.0038661,0.0038661,0,0
XDRXPT,D,19910206,000000,0.0038941,0.0038941,0.0038941,0.0038941,0,0
XDRXPT,D,19910207,000000,0.0038783,0.0038783,0.0038783,0.0038783,0,0
XDRXPT,D,19910208,000000,0.0038466,0.0038466,0.0038466,0.0038466,0,0
XDRXPT,D,19910211,000000,0.0039021,0.0039021,0.0039021,0.0039021,0,0
XDRXPT,D,19910212,000000,0.0038899,0.0038899,0.0038899,0.0038899,0,0
XDRXPT,D,19910213,000000,0.0038593,0.0038593,0.0038593,0.0038593,0,0
XDRXPT,D,19910214,000000,0.0037973,0.0037973,0.0037973,0.0037973,0,0
XDRXPT,D,19910215,000000,0.0037927,0.0037927,0.0037927,0.0037927,0,0
XDRXPT,D,19910218,000000,0.0037854,0.0037854,0.0037854,0.0037854,0,0
XDRXPT,D,19910219,000000,0.0037928,0.0037928,0.0037928,0.0037928,0,0
XDRXPT,D,19910220,000000,0.0037784,0.0037784,0.0037784,0.0037784,0,0
XDRXPT,D,19910221,000000,0.003832,0.003832,0.003832,0.003832,0,0
XDRXPT,D,19910222,000000,0.0038292,0.0038292,0.0038292,0.0038292,0,0
XDRXPT,D,19910225,000000,0.0038163,0.0038163,0.0038163,0.0038163,0,0
XDRXPT,D,19910226,000000,0.0037389,0.0037389,0.0037389,0.0037389,0,0
XDRXPT,D,19910227,000000,0.0036355,0.0036355,0.0036355,0.0036355,0,0
XDRXPT,D,19910228,000000,0.0035396,0.0035396,0.0035396,0.0035396,0,0
XDRXPT,D,19910301,000000,0.0035154,0.0035154,0.0035154,0.0035154,0,0
XDRXPT,D,19910304,000000,0.0035142,0.0035142,0.0035142,0.0035142,0,0
XDRXPT,D,19910305,000000,0.0035909,0.0035909,0.0035909,0.0035909,0,0
XDRXPT,D,19910306,000000,0.0035496,0.0035496,0.0035496,0.0035496,0,0
XDRXPT,D,19910307,000000,0.0035527,0.0035527,0.0035527,0.0035527,0,0
XDRXPT,D,19910308,000000,0.0034422,0.0034422,0.0034422,0.0034422,0,0
XDRXPT,D,19910311,000000,0.0034118,0.0034118,0.0034118,0.0034118,0,0
XDRXPT,D,19910312,000000,0.0034871,0.0034871,0.0034871,0.0034871,0,0
XDRXPT,D,19910313,000000,0.0034278,0.0034278,0.0034278,0.0034278,0,0
XDRXPT,D,19910314,000000,0.0034629,0.0034629,0.0034629,0.0034629,0,0
XDRXPT,D,19910315,000000,0.0034471,0.0034471,0.0034471,0.0034471,0,0
XDRXPT,D,19910318,000000,0.003496,0.003496,0.003496,0.003496,0,0
XDRXPT,D,19910319,000000,0.0034597,0.0034597,0.0034597,0.0034597,0,0
XDRXPT,D,19910320,000000,0.0034804,0.0034804,0.0034804,0.0034804,0,0
XDRXPT,D,19910321,000000,0.0035186,0.0035186,0.0035186,0.0035186,0,0
XDRXPT,D,19910322,000000,0.0034624,0.0034624,0.0034624,0.0034624,0,0
XDRXPT,D,19910325,000000,0.0034533,0.0034533,0.0034533,0.0034533,0,0
XDRXPT,D,19910326,000000,0.0034989,0.0034989,0.0034989,0.0034989,0,0
XDRXPT,D,19910327,000000,0.0034843,0.0034843,0.0034843,0.0034843,0,0
XDRXPT,D,19910328,000000,0.0034386,0.0034386,0.0034386,0.0034386,0,0
XDRXPT,D,19910329,000000,0.0034478,0.0034478,0.0034478,0.0034478,0,0
XDRXPT,D,19910402,000000,0.0034552,0.0034552,0.0034552,0.0034552,0,0
XDRXPT,D,19910403,000000,0.0034044,0.0034044,0.0034044,0.0034044,0,0
XDRXPT,D,19910404,000000,0.0033976,0.0033976,0.0033976,0.0033976,0,0
XDRXPT,D,19910405,000000,0.0034005,0.0034005,0.0034005,0.0034005,0,0
XDRXPT,D,19910408,000000,0.0033861,0.0033861,0.0033861,0.0033861,0,0
XDRXPT,D,19910409,000000,0.0033862,0.0033862,0.0033862,0.0033862,0,0
XDRXPT,D,19910410,000000,0.0033931,0.0033931,0.0033931,0.0033931,0,0
XDRXPT,D,19910411,000000,0.003407,0.003407,0.003407,0.003407,0,0
XDRXPT,D,19910412,000000,0.0034021,0.0034021,0.0034021,0.0034021,0,0
XDRXPT,D,19910415,000000,0.0034285,0.0034285,0.0034285,0.0034285,0,0
XDRXPT,D,19910416,000000,0.0034388,0.0034388,0.0034388,0.0034388,0,0
XDRXPT,D,19910417,000000,0.003395,0.003395,0.003395,0.003395,0,0
XDRXPT,D,19910418,000000,0.0034545,0.0034545,0.0034545,0.0034545,0,0
XDRXPT,D,19910419,000000,0.0034261,0.0034261,0.0034261,0.0034261,0,0
XDRXPT,D,19910422,000000,0.0034093,0.0034093,0.0034093,0.0034093,0,0
XDRXPT,D,19910423,000000,0.0034389,0.0034389,0.0034389,0.0034389,0,0
XDRXPT,D,19910424,000000,0.0034266,0.0034266,0.0034266,0.0034266,0,0
XDRXPT,D,19910425,000000,0.0034568,0.0034568,0.0034568,0.0034568,0,0
XDRXPT,D,19910426,000000,0.0034393,0.0034393,0.0034393,0.0034393,0,0
XDRXPT,D,19910429,000000,0.0034422,0.0034422,0.0034422,0.0034422,0,0
XDRXPT,D,19910430,000000,0.0034396,0.0034396,0.0034396,0.0034396,0,0
XDRXPT,D,19910501,000000,0.0034411,0.0034411,0.0034411,0.0034411,0,0
XDRXPT,D,19910506,000000,0.0034209,0.0034209,0.0034209,0.0034209,0,0
