<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDCLP,D,19931025,000000,54284,54284,54284,54284,0,0
XPDCLP,D,19931026,000000,53449,53449,53449,53449,0,0
XPDCLP,D,19931027,000000,53677,53677,53677,53677,0,0
XPDCLP,D,19931028,000000,53316,53316,53316,53316,0,0
XPDCLP,D,19931029,000000,53449,53449,53449,53449,0,0
XPDCLP,D,19931102,000000,52834,52834,52834,52834,0,0
XPDCLP,D,19931103,000000,53173,53173,53173,53173,0,0
XPDCLP,D,19931104,000000,53813,53813,53813,53813,0,0
XPDCLP,D,19931105,000000,53140,53140,53140,53140,0,0
XPDCLP,D,19931108,000000,52978,52978,52978,52978,0,0
XPDCLP,D,19931109,000000,53160,53160,53160,53160,0,0
XPDCLP,D,19931110,000000,53153,53153,53153,53153,0,0
XPDCLP,D,19931112,000000,53043,53043,53043,53043,0,0
XPDCLP,D,19931115,000000,53694,53694,53694,53694,0,0
XPDCLP,D,19931116,000000,53778,53778,53778,53778,0,0
XPDCLP,D,19931117,000000,52983,52983,52983,52983,0,0
XPDCLP,D,19931118,000000,53185,53185,53185,53185,0,0
XPDCLP,D,19931119,000000,53159,53159,53159,53159,0,0
XPDCLP,D,19931122,000000,53019,53019,53019,53019,0,0
XPDCLP,D,19931123,000000,51670,51670,51670,51670,0,0
XPDCLP,D,19931124,000000,51655,51655,51655,51655,0,0
XPDCLP,D,19931125,000000,51761,51761,51761,51761,0,0
XPDCLP,D,19931126,000000,51992,51992,51992,51992,0,0
XPDCLP,D,19931129,000000,51115,51115,51115,51115,0,0
XPDCLP,D,19931130,000000,50610,50610,50610,50610,0,0
XPDCLP,D,19931201,000000,51400,51400,51400,51400,0,0
XPDCLP,D,19931202,000000,52100,52100,52100,52100,0,0
XPDCLP,D,19931203,000000,52322,52322,52322,52322,0,0
XPDCLP,D,19931206,000000,53415,53415,53415,53415,0,0
XPDCLP,D,19931207,000000,54685,54685,54685,54685,0,0
XPDCLP,D,19931208,000000,54741,54741,54741,54741,0,0
XPDCLP,D,19931209,000000,53791,53791,53791,53791,0,0
XPDCLP,D,19931210,000000,53670,53670,53670,53670,0,0
XPDCLP,D,19931213,000000,54166,54166,54166,54166,0,0
XPDCLP,D,19931214,000000,54121,54121,54121,54121,0,0
XPDCLP,D,19931215,000000,53786,53786,53786,53786,0,0
XPDCLP,D,19931216,000000,53618,53618,53618,53618,0,0
XPDCLP,D,19931217,000000,53327,53327,53327,53327,0,0
XPDCLP,D,19931220,000000,53454,53454,53454,53454,0,0
XPDCLP,D,19931221,000000,53517,53517,53517,53517,0,0
XPDCLP,D,19931222,000000,53362,53362,53362,53362,0,0
XPDCLP,D,19931223,000000,53671,53671,53671,53671,0,0
XPDCLP,D,19931224,000000,53747,53747,53747,53747,0,0
XPDCLP,D,19931227,000000,53502,53502,53502,53502,0,0
XPDCLP,D,19931228,000000,53836,53836,53836,53836,0,0
XPDCLP,D,19931229,000000,53320,53320,53320,53320,0,0
XPDCLP,D,19931230,000000,53134,53134,53134,53134,0,0
XPDCLP,D,19931231,000000,53115,53115,53115,53115,0,0
XPDCLP,D,19940103,000000,53626,53626,53626,53626,0,0
XPDCLP,D,19940104,000000,54952,54952,54952,54952,0,0
XPDCLP,D,19940105,000000,54477,54477,54477,54477,0,0
XPDCLP,D,19940106,000000,54131,54131,54131,54131,0,0
