<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDCZK,D,19951023,000000,3518.1,3518.1,3518.1,3518.1,0,0
XPDCZK,D,19951024,000000,3524.3,3524.3,3524.3,3524.3,0,0
XPDCZK,D,19951025,000000,3572.7,3572.7,3572.7,3572.7,0,0
XPDCZK,D,19951026,000000,3505.7,3505.7,3505.7,3505.7,0,0
XPDCZK,D,19951027,000000,3551.4,3551.4,3551.4,3551.4,0,0
XPDCZK,D,19951030,000000,3593.2,3593.2,3593.2,3593.2,0,0
XPDCZK,D,19951031,000000,3643.9,3643.9,3643.9,3643.9,0,0
XPDCZK,D,19951102,000000,3578.1,3578.1,3578.1,3578.1,0,0
XPDCZK,D,19951103,000000,3575.2,3575.2,3575.2,3575.2,0,0
XPDCZK,D,19951106,000000,3513.5,3513.5,3513.5,3513.5,0,0
XPDCZK,D,19951107,000000,3560,3560,3560,3560,0,0
XPDCZK,D,19951108,000000,3562.6,3562.6,3562.6,3562.6,0,0
XPDCZK,D,19951109,000000,3598.9,3598.9,3598.9,3598.9,0,0
XPDCZK,D,19951110,000000,3577.7,3577.7,3577.7,3577.7,0,0
XPDCZK,D,19951113,000000,3576.6,3576.6,3576.6,3576.6,0,0
XPDCZK,D,19951114,000000,3570.3,3570.3,3570.3,3570.3,0,0
XPDCZK,D,19951115,000000,3559.7,3559.7,3559.7,3559.7,0,0
XPDCZK,D,19951116,000000,3527.7,3527.7,3527.7,3527.7,0,0
XPDCZK,D,19951117,000000,3537.5,3537.5,3537.5,3537.5,0,0
XPDCZK,D,19951120,000000,3565.8,3565.8,3565.8,3565.8,0,0
XPDCZK,D,19951121,000000,3537.6,3537.6,3537.6,3537.6,0,0
XPDCZK,D,19951122,000000,3521.9,3521.9,3521.9,3521.9,0,0
XPDCZK,D,19951123,000000,3524,3524,3524,3524,0,0
XPDCZK,D,19951124,000000,3528.2,3528.2,3528.2,3528.2,0,0
XPDCZK,D,19951127,000000,3590.9,3590.9,3590.9,3590.9,0,0
XPDCZK,D,19951128,000000,3599,3599,3599,3599,0,0
XPDCZK,D,19951129,000000,3551.3,3551.3,3551.3,3551.3,0,0
XPDCZK,D,19951130,000000,3528.6,3528.6,3528.6,3528.6,0,0
XPDCZK,D,19951201,000000,3499.3,3499.3,3499.3,3499.3,0,0
XPDCZK,D,19951204,000000,3533.4,3533.4,3533.4,3533.4,0,0
XPDCZK,D,19951205,000000,3582.9,3582.9,3582.9,3582.9,0,0
XPDCZK,D,19951206,000000,3560.7,3560.7,3560.7,3560.7,0,0
XPDCZK,D,19951207,000000,3567.7,3567.7,3567.7,3567.7,0,0
XPDCZK,D,19951208,000000,3606.3,3606.3,3606.3,3606.3,0,0
XPDCZK,D,19951211,000000,3678.7,3678.7,3678.7,3678.7,0,0
XPDCZK,D,19951212,000000,3652.9,3652.9,3652.9,3652.9,0,0
XPDCZK,D,19951213,000000,3617.3,3617.3,3617.3,3617.3,0,0
XPDCZK,D,19951214,000000,3605.6,3605.6,3605.6,3605.6,0,0
XPDCZK,D,19951215,000000,3528,3528,3528,3528,0,0
XPDCZK,D,19951218,000000,3576.9,3576.9,3576.9,3576.9,0,0
XPDCZK,D,19951219,000000,3488.4,3488.4,3488.4,3488.4,0,0
XPDCZK,D,19951220,000000,3522.9,3522.9,3522.9,3522.9,0,0
XPDCZK,D,19951221,000000,3563.4,3563.4,3563.4,3563.4,0,0
XPDCZK,D,19951222,000000,3557.1,3557.1,3557.1,3557.1,0,0
XPDCZK,D,19951227,000000,3500.9,3500.9,3500.9,3500.9,0,0
XPDCZK,D,19951228,000000,3424.4,3424.4,3424.4,3424.4,0,0
XPDCZK,D,19951229,000000,3450.3,3450.3,3450.3,3450.3,0,0
XPDCZK,D,19960102,000000,3541.5,3541.5,3541.5,3541.5,0,0
XPDCZK,D,19960103,000000,3564.6,3564.6,3564.6,3564.6,0,0
XPDCZK,D,19960104,000000,3565.5,3565.5,3565.5,3565.5,0,0
XPDCZK,D,19960105,000000,3585.7,3585.7,3585.7,3585.7,0,0
XPDCZK,D,19960108,000000,3578.4,3578.4,3578.4,3578.4,0,0
XPDCZK,D,19960109,000000,3497.5,3497.5,3497.5,3497.5,0,0
XPDCZK,D,19960110,000000,3541.5,3541.5,3541.5,3541.5,0,0
XPDCZK,D,19960111,000000,3487.9,3487.9,3487.9,3487.9,0,0
XPDCZK,D,19960112,000000,3491.2,3491.2,3491.2,3491.2,0,0
XPDCZK,D,19960115,000000,3530.5,3530.5,3530.5,3530.5,0,0
XPDCZK,D,19960116,000000,3565.8,3565.8,3565.8,3565.8,0,0
XPDCZK,D,19960117,000000,3575.4,3575.4,3575.4,3575.4,0,0
XPDCZK,D,19960118,000000,3558.1,3558.1,3558.1,3558.1,0,0
XPDCZK,D,19960119,000000,3591.5,3591.5,3591.5,3591.5,0,0
XPDCZK,D,19960122,000000,3619,3619,3619,3619,0,0
XPDCZK,D,19960123,000000,3597.5,3597.5,3597.5,3597.5,0,0
XPDCZK,D,19960124,000000,3532.6,3532.6,3532.6,3532.6,0,0
XPDCZK,D,19960125,000000,3554.2,3554.2,3554.2,3554.2,0,0
XPDCZK,D,19960126,000000,3492.2,3492.2,3492.2,3492.2,0,0
XPDCZK,D,19960129,000000,3528.6,3528.6,3528.6,3528.6,0,0
XPDCZK,D,19960130,000000,3512.6,3512.6,3512.6,3512.6,0,0
XPDCZK,D,19960131,000000,3548.8,3548.8,3548.8,3548.8,0,0
XPDCZK,D,19960201,000000,3691.6,3691.6,3691.6,3691.6,0,0
XPDCZK,D,19960202,000000,3812,3812,3812,3812,0,0
XPDCZK,D,19960205,000000,3886.7,3886.7,3886.7,3886.7,0,0
XPDCZK,D,19960206,000000,3827,3827,3827,3827,0,0
XPDCZK,D,19960207,000000,3796.3,3796.3,3796.3,3796.3,0,0
XPDCZK,D,19960208,000000,3854,3854,3854,3854,0,0
XPDCZK,D,19960209,000000,3775.3,3775.3,3775.3,3775.3,0,0
XPDCZK,D,19960212,000000,3761.7,3761.7,3761.7,3761.7,0,0
XPDCZK,D,19960213,000000,3824.3,3824.3,3824.3,3824.3,0,0
XPDCZK,D,19960214,000000,3881.7,3881.7,3881.7,3881.7,0,0
XPDCZK,D,19960215,000000,3929.2,3929.2,3929.2,3929.2,0,0
XPDCZK,D,19960216,000000,3931.5,3931.5,3931.5,3931.5,0,0
XPDCZK,D,19960219,000000,3902.5,3902.5,3902.5,3902.5,0,0
XPDCZK,D,19960220,000000,3861.7,3861.7,3861.7,3861.7,0,0
XPDCZK,D,19960221,000000,3906.1,3906.1,3906.1,3906.1,0,0
XPDCZK,D,19960222,000000,3848,3848,3848,3848,0,0
XPDCZK,D,19960223,000000,3838.7,3838.7,3838.7,3838.7,0,0
XPDCZK,D,19960226,000000,3808.7,3808.7,3808.7,3808.7,0,0
XPDCZK,D,19960227,000000,3799.8,3799.8,3799.8,3799.8,0,0
XPDCZK,D,19960228,000000,3727,3727,3727,3727,0,0
XPDCZK,D,19960229,000000,3777.7,3777.7,3777.7,3777.7,0,0
XPDCZK,D,19960301,000000,3700.8,3700.8,3700.8,3700.8,0,0
XPDCZK,D,19960304,000000,3647.4,3647.4,3647.4,3647.4,0,0
XPDCZK,D,19960305,000000,3663.6,3663.6,3663.6,3663.6,0,0
XPDCZK,D,19960306,000000,3691.3,3691.3,3691.3,3691.3,0,0
XPDCZK,D,19960307,000000,3716.5,3716.5,3716.5,3716.5,0,0
XPDCZK,D,19960308,000000,3768,3768,3768,3768,0,0
XPDCZK,D,19960311,000000,3892.2,3892.2,3892.2,3892.2,0,0
XPDCZK,D,19960312,000000,3924.4,3924.4,3924.4,3924.4,0,0
XPDCZK,D,19960313,000000,3870.7,3870.7,3870.7,3870.7,0,0
XPDCZK,D,19960314,000000,3804.8,3804.8,3804.8,3804.8,0,0
XPDCZK,D,19960315,000000,3810.5,3810.5,3810.5,3810.5,0,0
XPDCZK,D,19960318,000000,3795.8,3795.8,3795.8,3795.8,0,0
XPDCZK,D,19960319,000000,3840.8,3840.8,3840.8,3840.8,0,0
