<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDMXN,D,19900108,000000,367.56,367.56,367.56,367.56,0,0
XPDMXN,D,19900115,000000,374.9,374.9,374.9,374.9,0,0
XPDMXN,D,19900122,000000,364.11,364.11,364.11,364.11,0,0
XPDMXN,D,19900129,000000,373.6,373.6,373.6,373.6,0,0
XPDMXN,D,19900205,000000,371.96,371.96,371.96,371.96,0,0
XPDMXN,D,19900212,000000,371.69,371.69,371.69,371.69,0,0
XPDMXN,D,19900219,000000,371.7,371.7,371.7,371.7,0,0
XPDMXN,D,19900226,000000,354.25,354.25,354.25,354.25,0,0
XPDMXN,D,19900305,000000,363.54,363.54,363.54,363.54,0,0
XPDMXN,D,19900312,000000,363.21,363.21,363.21,363.21,0,0
XPDMXN,D,19900319,000000,363.94,363.94,363.94,363.94,0,0
XPDMXN,D,19900326,000000,356.97,356.97,356.97,356.97,0,0
XPDMXN,D,19900402,000000,357.78,357.78,357.78,357.78,0,0
XPDMXN,D,19900409,000000,359.8,359.8,359.8,359.8,0,0
XPDMXN,D,19900417,000000,359.73,359.73,359.73,359.73,0,0
XPDMXN,D,19900423,000000,356.99,356.99,356.99,356.99,0,0
XPDMXN,D,19900430,000000,328.64,328.64,328.64,328.64,0,0
XPDMXN,D,19900507,000000,335.44,335.44,335.44,335.44,0,0
XPDMXN,D,19900514,000000,336.14,336.14,336.14,336.14,0,0
XPDMXN,D,19900521,000000,342.59,342.59,342.59,342.59,0,0
XPDMXN,D,19900528,000000,342.27,342.27,342.27,342.27,0,0
XPDMXN,D,19900604,000000,335.94,335.94,335.94,335.94,0,0
XPDMXN,D,19900611,000000,335.4,335.4,335.4,335.4,0,0
XPDMXN,D,19900618,000000,326.72,326.72,326.72,326.72,0,0
XPDMXN,D,19900625,000000,326.67,326.67,326.67,326.67,0,0
XPDMXN,D,19900702,000000,332.96,332.96,332.96,332.96,0,0
XPDMXN,D,19900709,000000,334.81,334.81,334.81,334.81,0,0
XPDMXN,D,19900716,000000,335.36,335.36,335.36,335.36,0,0
XPDMXN,D,19900723,000000,341.36,341.36,341.36,341.36,0,0
XPDMXN,D,19900730,000000,330.28,330.28,330.28,330.28,0,0
XPDMXN,D,19900806,000000,325.52,325.52,325.52,325.52,0,0
XPDMXN,D,19900813,000000,325.68,325.68,325.68,325.68,0,0
XPDMXN,D,19900820,000000,338.96,338.96,338.96,338.96,0,0
XPDMXN,D,19900827,000000,324.01,324.01,324.01,324.01,0,0
XPDMXN,D,19900903,000000,324.21,324.21,324.21,324.21,0,0
XPDMXN,D,19900910,000000,301.93,301.93,301.93,301.93,0,0
XPDMXN,D,19900917,000000,305.27,305.27,305.27,305.27,0,0
XPDMXN,D,19900924,000000,294.51,294.51,294.51,294.51,0,0
XPDMXN,D,19901001,000000,278.12,278.12,278.12,278.12,0,0
XPDMXN,D,19901008,000000,288.82,288.82,288.82,288.82,0,0
XPDMXN,D,19901010,000000,285.7,285.7,285.7,285.7,0,0
XPDMXN,D,19901015,000000,257.13,257.13,257.13,257.13,0,0
XPDMXN,D,19901022,000000,277.82,277.82,277.82,277.82,0,0
XPDMXN,D,19901029,000000,277.76,277.76,277.76,277.76,0,0
XPDMXN,D,19901105,000000,274.36,274.36,274.36,274.36,0,0
XPDMXN,D,19901112,000000,269.24,269.24,269.24,269.24,0,0
XPDMXN,D,19901119,000000,276.64,276.64,276.64,276.64,0,0
XPDMXN,D,19901126,000000,277.03,277.03,277.03,277.03,0,0
XPDMXN,D,19901203,000000,268.73,268.73,268.73,268.73,0,0
XPDMXN,D,19901210,000000,271.01,271.01,271.01,271.01,0,0
XPDMXN,D,19901217,000000,257.63,257.63,257.63,257.63,0,0
XPDMXN,D,19901224,000000,258.17,258.17,258.17,258.17,0,0
XPDMXN,D,19910102,000000,240.72,240.72,240.72,240.72,0,0
XPDMXN,D,19910103,000000,243.25,243.25,243.25,243.25,0,0
XPDMXN,D,19910104,000000,246.32,246.32,246.32,246.32,0,0
XPDMXN,D,19910107,000000,253.44,253.44,253.44,253.44,0,0
XPDMXN,D,19910108,000000,252.18,252.18,252.18,252.18,0,0
XPDMXN,D,19910109,000000,252.85,252.85,252.85,252.85,0,0
XPDMXN,D,19910110,000000,256.92,256.92,256.92,256.92,0,0
XPDMXN,D,19910111,000000,257.71,257.71,257.71,257.71,0,0
XPDMXN,D,19910114,000000,264.09,264.09,264.09,264.09,0,0
XPDMXN,D,19910115,000000,265.36,265.36,265.36,265.36,0,0
XPDMXN,D,19910116,000000,266.93,266.93,266.93,266.93,0,0
XPDMXN,D,19910117,000000,269.89,269.89,269.89,269.89,0,0
XPDMXN,D,19910118,000000,265.38,265.38,265.38,265.38,0,0
XPDMXN,D,19910121,000000,267.02,267.02,267.02,267.02,0,0
XPDMXN,D,19910122,000000,265.28,265.28,265.28,265.28,0,0
XPDMXN,D,19910123,000000,260.54,260.54,260.54,260.54,0,0
XPDMXN,D,19910124,000000,253,253,253,253,0,0
XPDMXN,D,19910125,000000,263.14,263.14,263.14,263.14,0,0
XPDMXN,D,19910128,000000,257.87,257.87,257.87,257.87,0,0
XPDMXN,D,19910129,000000,257.31,257.31,257.31,257.31,0,0
XPDMXN,D,19910130,000000,245.85,245.85,245.85,245.85,0,0
XPDMXN,D,19910131,000000,250.62,250.62,250.62,250.62,0,0
XPDMXN,D,19910201,000000,256.25,256.25,256.25,256.25,0,0
XPDMXN,D,19910204,000000,254.63,254.63,254.63,254.63,0,0
XPDMXN,D,19910205,000000,249.6,249.6,249.6,249.6,0,0
XPDMXN,D,19910206,000000,248.55,248.55,248.55,248.55,0,0
XPDMXN,D,19910207,000000,256.83,256.83,256.83,256.83,0,0
XPDMXN,D,19910208,000000,266.27,266.27,266.27,266.27,0,0
XPDMXN,D,19910211,000000,262.61,262.61,262.61,262.61,0,0
XPDMXN,D,19910212,000000,256.09,256.09,256.09,256.09,0,0
XPDMXN,D,19910213,000000,261.43,261.43,261.43,261.43,0,0
XPDMXN,D,19910214,000000,261.65,261.65,261.65,261.65,0,0
XPDMXN,D,19910215,000000,255.43,255.43,255.43,255.43,0,0
XPDMXN,D,19910218,000000,255.63,255.63,255.63,255.63,0,0
