<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDRUB,D,19951023,000000,611.5,611.5,611.5,611.5,0,0
XPDRUB,D,19951024,000000,613.3,613.3,613.3,613.3,0,0
XPDRUB,D,19951025,000000,619.6,619.6,619.6,619.6,0,0
XPDRUB,D,19951026,000000,608.7,608.7,608.7,608.7,0,0
XPDRUB,D,19951027,000000,616.9,616.9,616.9,616.9,0,0
XPDRUB,D,19951030,000000,618.5,618.5,618.5,618.5,0,0
XPDRUB,D,19951031,000000,627.1,627.1,627.1,627.1,0,0
XPDRUB,D,19951102,000000,615.7,615.7,615.7,615.7,0,0
XPDRUB,D,19951103,000000,616.2,616.2,616.2,616.2,0,0
XPDRUB,D,19951106,000000,606.5,606.5,606.5,606.5,0,0
XPDRUB,D,19951107,000000,614.2,614.2,614.2,614.2,0,0
XPDRUB,D,19951108,000000,613.4,613.4,613.4,613.4,0,0
XPDRUB,D,19951109,000000,617.3,617.3,617.3,617.3,0,0
XPDRUB,D,19951110,000000,617.4,617.4,617.4,617.4,0,0
XPDRUB,D,19951113,000000,618.9,618.9,618.9,618.9,0,0
XPDRUB,D,19951114,000000,616.5,616.5,616.5,616.5,0,0
XPDRUB,D,19951115,000000,618.8,618.8,618.8,618.8,0,0
XPDRUB,D,19951116,000000,610.8,610.8,610.8,610.8,0,0
XPDRUB,D,19951117,000000,617.2,617.2,617.2,617.2,0,0
XPDRUB,D,19951120,000000,620.3,620.3,620.3,620.3,0,0
XPDRUB,D,19951121,000000,616.3,616.3,616.3,616.3,0,0
XPDRUB,D,19951122,000000,615.5,615.5,615.5,615.5,0,0
XPDRUB,D,19951123,000000,615.9,615.9,615.9,615.9,0,0
XPDRUB,D,19951124,000000,615.9,615.9,615.9,615.9,0,0
XPDRUB,D,19951127,000000,620.9,620.9,620.9,620.9,0,0
XPDRUB,D,19951128,000000,622,622,622,622,0,0
XPDRUB,D,19951129,000000,613.5,613.5,613.5,613.5,0,0
XPDRUB,D,19951130,000000,609.8,609.8,609.8,609.8,0,0
XPDRUB,D,19951201,000000,602.6,602.6,602.6,602.6,0,0
XPDRUB,D,19951204,000000,611.3,611.3,611.3,611.3,0,0
XPDRUB,D,19951205,000000,621,621,621,621,0,0
XPDRUB,D,19951206,000000,616.1,616.1,616.1,616.1,0,0
XPDRUB,D,19951207,000000,618.4,618.4,618.4,618.4,0,0
XPDRUB,D,19951208,000000,621.2,621.2,621.2,621.2,0,0
XPDRUB,D,19951211,000000,634.5,634.5,634.5,634.5,0,0
XPDRUB,D,19951212,000000,629.4,629.4,629.4,629.4,0,0
XPDRUB,D,19951213,000000,627.5,627.5,627.5,627.5,0,0
XPDRUB,D,19951214,000000,626.6,626.6,626.6,626.6,0,0
XPDRUB,D,19951215,000000,614.6,614.6,614.6,614.6,0,0
XPDRUB,D,19951218,000000,624.6,624.6,624.6,624.6,0,0
XPDRUB,D,19951219,000000,609.6,609.6,609.6,609.6,0,0
XPDRUB,D,19951220,000000,611,611,611,611,0,0
XPDRUB,D,19951221,000000,619.8,619.8,619.8,619.8,0,0
XPDRUB,D,19951222,000000,618,618,618,618,0,0
XPDRUB,D,19951227,000000,607.8,607.8,607.8,607.8,0,0
XPDRUB,D,19951228,000000,597.2,597.2,597.2,597.2,0,0
XPDRUB,D,19951229,000000,600.4,600.4,600.4,600.4,0,0
XPDRUB,D,19960102,000000,617.1,617.1,617.1,617.1,0,0
XPDRUB,D,19960103,000000,620.4,620.4,620.4,620.4,0,0
XPDRUB,D,19960104,000000,618.5,618.5,618.5,618.5,0,0
XPDRUB,D,19960105,000000,622.7,622.7,622.7,622.7,0,0
XPDRUB,D,19960108,000000,622.7,622.7,622.7,622.7,0,0
XPDRUB,D,19960109,000000,609.4,609.4,609.4,609.4,0,0
XPDRUB,D,19960110,000000,618.9,618.9,618.9,618.9,0,0
XPDRUB,D,19960111,000000,610,610,610,610,0,0
XPDRUB,D,19960112,000000,608.1,608.1,608.1,608.1,0,0
XPDRUB,D,19960115,000000,615.3,615.3,615.3,615.3,0,0
XPDRUB,D,19960116,000000,619.7,619.7,619.7,619.7,0,0
XPDRUB,D,19960117,000000,619.3,619.3,619.3,619.3,0,0
XPDRUB,D,19960118,000000,616.8,616.8,616.8,616.8,0,0
XPDRUB,D,19960119,000000,620.8,620.8,620.8,620.8,0,0
XPDRUB,D,19960122,000000,622.6,622.6,622.6,622.6,0,0
XPDRUB,D,19960123,000000,621.2,621.2,621.2,621.2,0,0
XPDRUB,D,19960124,000000,611.8,611.8,611.8,611.8,0,0
XPDRUB,D,19960125,000000,616.8,616.8,616.8,616.8,0,0
XPDRUB,D,19960126,000000,603.3,603.3,603.3,603.3,0,0
