<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDTHB,D,19930104,000000,3038.3,3038.3,3038.3,3038.3,0,0
XPDTHB,D,19930105,000000,3066.7,3066.7,3066.7,3066.7,0,0
XPDTHB,D,19930106,000000,3115.9,3115.9,3115.9,3115.9,0,0
XPDTHB,D,19930107,000000,3127.8,3127.8,3127.8,3127.8,0,0
XPDTHB,D,19930108,000000,3090.8,3090.8,3090.8,3090.8,0,0
XPDTHB,D,19930111,000000,3065.3,3065.3,3065.3,3065.3,0,0
XPDTHB,D,19930112,000000,3064.4,3064.4,3064.4,3064.4,0,0
XPDTHB,D,19930113,000000,3025.8,3025.8,3025.8,3025.8,0,0
XPDTHB,D,19930114,000000,2985.7,2985.7,2985.7,2985.7,0,0
XPDTHB,D,19930115,000000,2931.4,2931.4,2931.4,2931.4,0,0
XPDTHB,D,19930118,000000,3008.4,3008.4,3008.4,3008.4,0,0
XPDTHB,D,19930119,000000,3001.8,3001.8,3001.8,3001.8,0,0
XPDTHB,D,19930120,000000,3060.8,3060.8,3060.8,3060.8,0,0
XPDTHB,D,19930121,000000,3029.4,3029.4,3029.4,3029.4,0,0
XPDTHB,D,19930122,000000,2975,2975,2975,2975,0,0
XPDTHB,D,19930125,000000,3042.1,3042.1,3042.1,3042.1,0,0
XPDTHB,D,19930126,000000,3063.5,3063.5,3063.5,3063.5,0,0
XPDTHB,D,19930127,000000,3050.1,3050.1,3050.1,3050.1,0,0
XPDTHB,D,19930128,000000,3081.5,3081.5,3081.5,3081.5,0,0
XPDTHB,D,19930129,000000,3088.3,3088.3,3088.3,3088.3,0,0
XPDTHB,D,19930201,000000,3105.6,3105.6,3105.6,3105.6,0,0
XPDTHB,D,19930202,000000,3131.4,3131.4,3131.4,3131.4,0,0
XPDTHB,D,19930203,000000,3147.6,3147.6,3147.6,3147.6,0,0
XPDTHB,D,19930204,000000,3166.8,3166.8,3166.8,3166.8,0,0
XPDTHB,D,19930205,000000,3209.1,3209.1,3209.1,3209.1,0,0
XPDTHB,D,19930208,000000,3223.3,3223.3,3223.3,3223.3,0,0
XPDTHB,D,19930209,000000,3338.6,3338.6,3338.6,3338.6,0,0
XPDTHB,D,19930210,000000,3357.7,3357.7,3357.7,3357.7,0,0
