<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDUAH,D,19960902,000000,222.24,222.24,222.24,222.24,0,0
XPDUAH,D,19960903,000000,222.99,222.99,222.99,222.99,0,0
XPDUAH,D,19960904,000000,222.11,222.11,222.11,222.11,0,0
XPDUAH,D,19960905,000000,222.47,222.47,222.47,222.47,0,0
XPDUAH,D,19960906,000000,222.46,222.46,222.46,222.46,0,0
XPDUAH,D,19960909,000000,221.23,221.23,221.23,221.23,0,0
XPDUAH,D,19960910,000000,217.54,217.54,217.54,217.54,0,0
XPDUAH,D,19960911,000000,217.01,217.01,217.01,217.01,0,0
XPDUAH,D,19960912,000000,217.18,217.18,217.18,217.18,0,0
XPDUAH,D,19960913,000000,217.71,217.71,217.71,217.71,0,0
XPDUAH,D,19960916,000000,215.78,215.78,215.78,215.78,0,0
XPDUAH,D,19960917,000000,215.07,215.07,215.07,215.07,0,0
XPDUAH,D,19960918,000000,215.07,215.07,215.07,215.07,0,0
XPDUAH,D,19960919,000000,213.84,213.84,213.84,213.84,0,0
XPDUAH,D,19960920,000000,212.08,212.08,212.08,212.08,0,0
XPDUAH,D,19960923,000000,209.09,209.09,209.09,209.09,0,0
XPDUAH,D,19960924,000000,209.26,209.26,209.26,209.26,0,0
XPDUAH,D,19960925,000000,211.55,211.55,211.55,211.55,0,0
XPDUAH,D,19960926,000000,209.09,209.09,209.09,209.09,0,0
XPDUAH,D,19960927,000000,210.67,210.67,210.67,210.67,0,0
XPDUAH,D,19960930,000000,210.32,210.32,210.32,210.32,0,0
XPDUAH,D,19961001,000000,211.55,211.55,211.55,211.55,0,0
XPDUAH,D,19961002,000000,214.9,214.9,214.9,214.9,0,0
XPDUAH,D,19961003,000000,212.79,212.79,212.79,212.79,0,0
XPDUAH,D,19961004,000000,213.49,213.49,213.49,213.49,0,0
XPDUAH,D,19961007,000000,210.32,210.32,210.32,210.32,0,0
XPDUAH,D,19961008,000000,211.39,211.39,211.39,211.39,0,0
XPDUAH,D,19961009,000000,207.41,207.41,207.41,207.41,0,0
XPDUAH,D,19961010,000000,208.18,208.18,208.18,208.18,0,0
XPDUAH,D,19961011,000000,208.42,208.42,208.42,208.42,0,0
XPDUAH,D,19961014,000000,206.21,206.21,206.21,206.21,0,0
XPDUAH,D,19961015,000000,205.76,205.76,205.76,205.76,0,0
XPDUAH,D,19961016,000000,206.23,206.23,206.23,206.23,0,0
XPDUAH,D,19961017,000000,205.11,205.11,205.11,205.11,0,0
XPDUAH,D,19961018,000000,205.69,205.69,205.69,205.69,0,0
XPDUAH,D,19961021,000000,206.58,206.58,206.58,206.58,0,0
XPDUAH,D,19961022,000000,209.6,209.6,209.6,209.6,0,0
XPDUAH,D,19961023,000000,211.38,211.38,211.38,211.38,0,0
XPDUAH,D,19961024,000000,209.39,209.39,209.39,209.39,0,0
XPDUAH,D,19961025,000000,208.84,208.84,208.84,208.84,0,0
XPDUAH,D,19961028,000000,207.51,207.51,207.51,207.51,0,0
XPDUAH,D,19961029,000000,207.09,207.09,207.09,207.09,0,0
XPDUAH,D,19961030,000000,208.35,208.35,208.35,208.35,0,0
XPDUAH,D,19961031,000000,209.51,209.51,209.51,209.51,0,0
XPDUAH,D,19961104,000000,210.41,210.41,210.41,210.41,0,0
XPDUAH,D,19961105,000000,215.5,215.5,215.5,215.5,0,0
XPDUAH,D,19961106,000000,214.83,214.83,214.83,214.83,0,0
XPDUAH,D,19961107,000000,215.99,215.99,215.99,215.99,0,0
XPDUAH,D,19961108,000000,215.06,215.06,215.06,215.06,0,0
XPDUAH,D,19961112,000000,219.95,219.95,219.95,219.95,0,0
XPDUAH,D,19961113,000000,222.06,222.06,222.06,222.06,0,0
XPDUAH,D,19961114,000000,225.34,225.34,225.34,225.34,0,0
XPDUAH,D,19961115,000000,225.34,225.34,225.34,225.34,0,0
XPDUAH,D,19961118,000000,225.34,225.34,225.34,225.34,0,0
XPDUAH,D,19961119,000000,220.54,220.54,220.54,220.54,0,0
XPDUAH,D,19961120,000000,220.54,220.54,220.54,220.54,0,0
XPDUAH,D,19961121,000000,220.66,220.66,220.66,220.66,0,0
XPDUAH,D,19961122,000000,219.84,219.84,219.84,219.84,0,0
XPDUAH,D,19961125,000000,219.38,219.38,219.38,219.38,0,0
