<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPDZAR,D,19840109,000000,180.69,180.69,180.69,180.69,0,0
XPDZAR,D,19840116,000000,192.13,192.13,192.13,192.13,0,0
XPDZAR,D,19840123,000000,189.87,189.87,189.87,189.87,0,0
XPDZAR,D,19840130,000000,200.67,200.67,200.67,200.67,0,0
XPDZAR,D,19840206,000000,194.64,194.64,194.64,194.64,0,0
XPDZAR,D,19840213,000000,194.64,194.64,194.64,194.64,0,0
XPDZAR,D,19840220,000000,194.63,194.63,194.63,194.63,0,0
XPDZAR,D,19840301,000000,189.28,189.28,189.28,189.28,0,0
XPDZAR,D,19840305,000000,193.79,193.79,193.79,193.79,0,0
XPDZAR,D,19840312,000000,193.12,193.12,193.12,193.12,0,0
XPDZAR,D,19840319,000000,195.94,195.94,195.94,195.94,0,0
XPDZAR,D,19840326,000000,200.59,200.59,200.59,200.59,0,0
XPDZAR,D,19840402,000000,196.87,196.87,196.87,196.87,0,0
XPDZAR,D,19840409,000000,199.25,199.25,199.25,199.25,0,0
XPDZAR,D,19840416,000000,197.57,197.57,197.57,197.57,0,0
XPDZAR,D,19840424,000000,206.34,206.34,206.34,206.34,0,0
XPDZAR,D,19840502,000000,198.38,198.38,198.38,198.38,0,0
XPDZAR,D,19840507,000000,192.32,192.32,192.32,192.32,0,0
XPDZAR,D,19840514,000000,198.82,198.82,198.82,198.82,0,0
XPDZAR,D,19840521,000000,198.06,198.06,198.06,198.06,0,0
XPDZAR,D,19840528,000000,198.06,198.06,198.06,198.06,0,0
XPDZAR,D,19840604,000000,196.66,196.66,196.66,196.66,0,0
XPDZAR,D,19840611,000000,192.5,192.5,192.5,192.5,0,0
XPDZAR,D,19840618,000000,198.41,198.41,198.41,198.41,0,0
XPDZAR,D,19840625,000000,199.5,199.5,199.5,199.5,0,0
XPDZAR,D,19840702,000000,201.71,201.71,201.71,201.71,0,0
XPDZAR,D,19840709,000000,204.42,204.42,204.42,204.42,0,0
XPDZAR,D,19840716,000000,202.13,202.13,202.13,202.13,0,0
XPDZAR,D,19840723,000000,195.83,195.83,195.83,195.83,0,0
XPDZAR,D,19840730,000000,206.3,206.3,206.3,206.3,0,0
XPDZAR,D,19840806,000000,209.57,209.57,209.57,209.57,0,0
XPDZAR,D,19840813,000000,215.58,215.58,215.58,215.58,0,0
XPDZAR,D,19840820,000000,202.54,202.54,202.54,202.54,0,0
XPDZAR,D,19840827,000000,205.74,205.74,205.74,205.74,0,0
XPDZAR,D,19840901,000000,205.78,205.78,205.78,205.78,0,0
XPDZAR,D,19840910,000000,217.33,217.33,217.33,217.33,0,0
XPDZAR,D,19840917,000000,217.19,217.19,217.19,217.19,0,0
XPDZAR,D,19840924,000000,226.73,226.73,226.73,226.73,0,0
XPDZAR,D,19841001,000000,227.98,227.98,227.98,227.98,0,0
XPDZAR,D,19841008,000000,227.15,227.15,227.15,227.15,0,0
XPDZAR,D,19841015,000000,246.84,246.84,246.84,246.84,0,0
XPDZAR,D,19841022,000000,247.89,247.89,247.89,247.89,0,0
XPDZAR,D,19841029,000000,267.34,267.34,267.34,267.34,0,0
XPDZAR,D,19841105,000000,269.15,269.15,269.15,269.15,0,0
XPDZAR,D,19841112,000000,258.83,258.83,258.83,258.83,0,0
XPDZAR,D,19841119,000000,257.18,257.18,257.18,257.18,0,0
XPDZAR,D,19841126,000000,252.92,252.92,252.92,252.92,0,0
XPDZAR,D,19841201,000000,253.09,253.09,253.09,253.09,0,0
XPDZAR,D,19841210,000000,248.71,248.71,248.71,248.71,0,0
XPDZAR,D,19841217,000000,242.45,242.45,242.45,242.45,0,0
XPDZAR,D,19841224,000000,248.86,248.86,248.86,248.86,0,0
XPDZAR,D,19850101,000000,248.95,248.95,248.95,248.95,0,0
XPDZAR,D,19850107,000000,231.6,231.6,231.6,231.6,0,0
XPDZAR,D,19850114,000000,259.09,259.09,259.09,259.09,0,0
XPDZAR,D,19850121,000000,275.29,275.29,275.29,275.29,0,0
XPDZAR,D,19850128,000000,264.12,264.12,264.12,264.12,0,0
XPDZAR,D,19850204,000000,248.98,248.98,248.98,248.98,0,0
XPDZAR,D,19850211,000000,242.64,242.64,242.64,242.64,0,0
XPDZAR,D,19850218,000000,242.74,242.74,242.74,242.74,0,0
XPDZAR,D,19850225,000000,236.08,236.08,236.08,236.08,0,0
XPDZAR,D,19850304,000000,228.71,228.71,228.71,228.71,0,0
XPDZAR,D,19850311,000000,218.21,218.21,218.21,218.21,0,0
XPDZAR,D,19850318,000000,224.2,224.2,224.2,224.2,0,0
XPDZAR,D,19850325,000000,223.04,223.04,223.04,223.04,0,0
XPDZAR,D,19850329,000000,220.23,220.23,220.23,220.23,0,0
XPDZAR,D,19850401,000000,214.47,214.47,214.47,214.47,0,0
XPDZAR,D,19850409,000000,225.1,225.1,225.1,225.1,0,0
XPDZAR,D,19850415,000000,216.35,216.35,216.35,216.35,0,0
XPDZAR,D,19850422,000000,209.44,209.44,209.44,209.44,0,0
XPDZAR,D,19850429,000000,221.59,221.59,221.59,221.59,0,0
XPDZAR,D,19850506,000000,224.79,224.79,224.79,224.79,0,0
XPDZAR,D,19850513,000000,222.95,222.95,222.95,222.95,0,0
XPDZAR,D,19850520,000000,212.72,212.72,212.72,212.72,0,0
XPDZAR,D,19850527,000000,212.72,212.72,212.72,212.72,0,0
XPDZAR,D,19850601,000000,212.73,212.73,212.73,212.73,0,0
XPDZAR,D,19850610,000000,190.28,190.28,190.28,190.28,0,0
XPDZAR,D,19850617,000000,194.64,194.64,194.64,194.64,0,0
XPDZAR,D,19850624,000000,193.75,193.75,193.75,193.75,0,0
XPDZAR,D,19850701,000000,180.34,180.34,180.34,180.34,0,0
XPDZAR,D,19850708,000000,183.84,183.84,183.84,183.84,0,0
XPDZAR,D,19850715,000000,180.17,180.17,180.17,180.17,0,0
XPDZAR,D,19850723,000000,177.87,177.87,177.87,177.87,0,0
XPDZAR,D,19850729,000000,197.3,197.3,197.3,197.3,0,0
XPDZAR,D,19850805,000000,223.01,223.01,223.01,223.01,0,0
XPDZAR,D,19850812,000000,212.24,212.24,212.24,212.24,0,0
