<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTBTC,D,20100719,000000,18666.1,18666.1,18666.1,18666.1,0,0
XPTBTC,D,20100720,000000,20187.2,20187.2,20187.2,20187.2,0,0
XPTBTC,D,20100721,000000,19212.3,19212.3,19212.3,19212.3,0,0
XPTBTC,D,20100722,000000,30138.8,30138.8,30138.8,30138.8,0,0
XPTBTC,D,20100723,000000,24503.1,24503.1,24503.1,24503.1,0,0
XPTBTC,D,20100726,000000,27623,27623,27623,27623,0,0
XPTBTC,D,20100727,000000,25544.7,25544.7,25544.7,25544.7,0,0
XPTBTC,D,20100728,000000,26091.1,26091.1,26091.1,26091.1,0,0
XPTBTC,D,20100729,000000,22244.3,22244.3,22244.3,22244.3,0,0
XPTBTC,D,20100730,000000,25012.5,25012.5,25012.5,25012.5,0,0
XPTBTC,D,20100802,000000,26561.8,26561.8,26561.8,26561.8,0,0
XPTBTC,D,20100803,000000,26368.4,26368.4,26368.4,26368.4,0,0
XPTBTC,D,20100804,000000,27718.6,27718.6,27718.6,27718.6,0,0
XPTBTC,D,20100805,000000,25693.8,25693.8,25693.8,25693.8,0,0
XPTBTC,D,20100806,000000,25088.1,25088.1,25088.1,25088.1,0,0
XPTBTC,D,20100809,000000,21743.2,21743.2,21743.2,21743.2,0,0
XPTBTC,D,20100810,000000,21866.9,21866.9,21866.9,21866.9,0,0
XPTBTC,D,20100811,000000,22584.7,22584.7,22584.7,22584.7,0,0
XPTBTC,D,20100812,000000,21768,21768,21768,21768,0,0
XPTBTC,D,20100813,000000,23540.9,23540.9,23540.9,23540.9,0,0
XPTBTC,D,20100816,000000,23348.1,23348.1,23348.1,23348.1,0,0
XPTBTC,D,20100817,000000,21989.8,21989.8,21989.8,21989.8,0,0
XPTBTC,D,20100818,000000,22497.2,22497.2,22497.2,22497.2,0,0
XPTBTC,D,20100819,000000,22793,22793,22793,22793,0,0
XPTBTC,D,20100820,000000,23027.6,23027.6,23027.6,23027.6,0,0
XPTBTC,D,20100823,000000,23178.2,23178.2,23178.2,23178.2,0,0
XPTBTC,D,20100824,000000,23241.8,23241.8,23241.8,23241.8,0,0
XPTBTC,D,20100825,000000,23354.8,23354.8,23354.8,23354.8,0,0
XPTBTC,D,20100826,000000,23859.7,23859.7,23859.7,23859.7,0,0
XPTBTC,D,20100827,000000,23497.4,23497.4,23497.4,23497.4,0,0
XPTBTC,D,20100830,000000,23485.1,23485.1,23485.1,23485.1,0,0
XPTBTC,D,20100831,000000,25253,25253,25253,25253,0,0
XPTBTC,D,20100901,000000,24274.7,24274.7,24274.7,24274.7,0,0
XPTBTC,D,20100902,000000,24360.5,24360.5,24360.5,24360.5,0,0
XPTBTC,D,20100903,000000,25595.5,25595.5,25595.5,25595.5,0,0
XPTBTC,D,20100906,000000,25259.8,25259.8,25259.8,25259.8,0,0
XPTBTC,D,20100907,000000,25476.1,25476.1,25476.1,25476.1,0,0
XPTBTC,D,20100908,000000,25071.8,25071.8,25071.8,25071.8,0,0
XPTBTC,D,20100909,000000,25319.1,25319.1,25319.1,25319.1,0,0
XPTBTC,D,20100910,000000,24887.4,24887.4,24887.4,24887.4,0,0
XPTBTC,D,20100913,000000,24875.6,24875.6,24875.6,24875.6,0,0
XPTBTC,D,20100914,000000,25618,25618,25618,25618,0,0
XPTBTC,D,20100915,000000,26565.4,26565.4,26565.4,26565.4,0,0
XPTBTC,D,20100916,000000,25957.8,25957.8,25957.8,25957.8,0,0
XPTBTC,D,20100917,000000,27378.4,27378.4,27378.4,27378.4,0,0
XPTBTC,D,20100920,000000,26207.7,26207.7,26207.7,26207.7,0,0
XPTBTC,D,20100921,000000,25640.1,25640.1,25640.1,25640.1,0,0
XPTBTC,D,20100922,000000,26148.7,26148.7,26148.7,26148.7,0,0
XPTBTC,D,20100923,000000,26288,26288,26288,26288,0,0
XPTBTC,D,20100924,000000,26286,26286,26286,26286,0,0
XPTBTC,D,20100927,000000,26125.1,26125.1,26125.1,26125.1,0,0
XPTBTC,D,20100928,000000,26347.5,26347.5,26347.5,26347.5,0,0
XPTBTC,D,20100929,000000,26594.6,26594.6,26594.6,26594.6,0,0
XPTBTC,D,20100930,000000,26667.6,26667.6,26667.6,26667.6,0,0
XPTBTC,D,20101001,000000,26990.8,26990.8,26990.8,26990.8,0,0
XPTBTC,D,20101004,000000,27144.6,27144.6,27144.6,27144.6,0,0
XPTBTC,D,20101005,000000,27531.8,27531.8,27531.8,27531.8,0,0
XPTBTC,D,20101006,000000,27137.5,27137.5,27137.5,27137.5,0,0
XPTBTC,D,20101007,000000,25307.1,25307.1,25307.1,25307.1,0,0
XPTBTC,D,20101008,000000,19579.6,19579.6,19579.6,19579.6,0,0
XPTBTC,D,20101011,000000,17728.7,17728.7,17728.7,17728.7,0,0
XPTBTC,D,20101012,000000,17640,17640,17640,17640,0,0
XPTBTC,D,20101013,000000,16146.9,16146.9,16146.9,16146.9,0,0
XPTBTC,D,20101014,000000,16720.4,16720.4,16720.4,16720.4,0,0
XPTBTC,D,20101015,000000,16097.1,16097.1,16097.1,16097.1,0,0
XPTBTC,D,20101018,000000,16494,16494,16494,16494,0,0
XPTBTC,D,20101019,000000,17214.2,17214.2,17214.2,17214.2,0,0
XPTBTC,D,20101020,000000,16972.9,16972.9,16972.9,16972.9,0,0
XPTBTC,D,20101021,000000,15588,15588,15588,15588,0,0
XPTBTC,D,20101022,000000,16273.6,16273.6,16273.6,16273.6,0,0
XPTBTC,D,20101025,000000,12797.6,12797.6,12797.6,12797.6,0,0
XPTBTC,D,20101026,000000,11290.6,11290.6,11290.6,11290.6,0,0
XPTBTC,D,20101027,000000,8918.48,8918.48,8918.48,8918.48,0,0
XPTBTC,D,20101028,000000,9723.8,9723.8,9723.8,9723.8,0,0
XPTBTC,D,20101029,000000,8950.04,8950.04,8950.04,8950.04,0,0
XPTBTC,D,20101101,000000,8730.3,8730.3,8730.3,8730.3,0,0
XPTBTC,D,20101102,000000,8859.67,8859.67,8859.67,8859.67,0,0
XPTBTC,D,20101103,000000,8763.87,8763.87,8763.87,8763.87,0,0
XPTBTC,D,20101104,000000,7591.18,7591.18,7591.18,7591.18,0,0
XPTBTC,D,20101105,000000,6771.08,6771.08,6771.08,6771.08,0,0
XPTBTC,D,20101108,000000,7271.12,7271.12,7271.12,7271.12,0,0
XPTBTC,D,20101109,000000,8585.13,8585.13,8585.13,8585.13,0,0
XPTBTC,D,20101110,000000,7222.96,7222.96,7222.96,7222.96,0,0
XPTBTC,D,20101111,000000,7809.04,7809.04,7809.04,7809.04,0,0
XPTBTC,D,20101112,000000,6259.93,6259.93,6259.93,6259.93,0,0
XPTBTC,D,20101115,000000,6266.92,6266.92,6266.92,6266.92,0,0
XPTBTC,D,20101116,000000,7360.08,7360.08,7360.08,7360.08,0,0
XPTBTC,D,20101117,000000,7111.31,7111.31,7111.31,7111.31,0,0
XPTBTC,D,20101118,000000,6201.66,6201.66,6201.66,6201.66,0,0
XPTBTC,D,20101119,000000,5953.62,5953.62,5953.62,5953.62,0,0
XPTBTC,D,20101122,000000,5734.58,5734.58,5734.58,5734.58,0,0
XPTBTC,D,20101123,000000,5838.09,5838.09,5838.09,5838.09,0,0
XPTBTC,D,20101124,000000,5861.71,5861.71,5861.71,5861.71,0,0
XPTBTC,D,20101125,000000,5919.58,5919.58,5919.58,5919.58,0,0
XPTBTC,D,20101126,000000,5780.18,5780.18,5780.18,5780.18,0,0
XPTBTC,D,20101129,000000,7142.3,7142.3,7142.3,7142.3,0,0
XPTBTC,D,20101130,000000,7985.08,7985.08,7985.08,7985.08,0,0
XPTBTC,D,20101201,000000,7398.23,7398.23,7398.23,7398.23,0,0
XPTBTC,D,20101202,000000,6707.86,6707.86,6707.86,6707.86,0,0
XPTBTC,D,20101203,000000,6861.53,6861.53,6861.53,6861.53,0,0
XPTBTC,D,20101206,000000,8374.96,8374.96,8374.96,8374.96,0,0
XPTBTC,D,20101207,000000,7298.23,7298.23,7298.23,7298.23,0,0
XPTBTC,D,20101208,000000,7007.14,7007.14,7007.14,7007.14,0,0
XPTBTC,D,20101209,000000,8363.92,8363.92,8363.92,8363.92,0,0
XPTBTC,D,20101210,000000,8201.91,8201.91,8201.91,8201.91,0,0
XPTBTC,D,20101213,000000,7359.7,7359.7,7359.7,7359.7,0,0
XPTBTC,D,20101214,000000,6930.6,6930.6,6930.6,6930.6,0,0
XPTBTC,D,20101215,000000,7145.15,7145.15,7145.15,7145.15,0,0
XPTBTC,D,20101216,000000,6775.58,6775.58,6775.58,6775.58,0,0
XPTBTC,D,20101217,000000,7061.18,7061.18,7061.18,7061.18,0,0
XPTBTC,D,20101220,000000,6392.57,6392.57,6392.57,6392.57,0,0
XPTBTC,D,20101221,000000,7152.83,7152.83,7152.83,7152.83,0,0
XPTBTC,D,20101222,000000,6904.01,6904.01,6904.01,6904.01,0,0
XPTBTC,D,20101223,000000,6870,6870,6870,6870,0,0
XPTBTC,D,20101227,000000,6535.02,6535.02,6535.02,6535.02,0,0
XPTBTC,D,20101228,000000,6233.13,6233.13,6233.13,6233.13,0,0
XPTBTC,D,20101229,000000,5838.38,5838.38,5838.38,5838.38,0,0
XPTBTC,D,20101230,000000,5805.99,5805.99,5805.99,5805.99,0,0
XPTBTC,D,20101231,000000,5871.62,5871.62,5871.62,5871.62,0,0
XPTBTC,D,20110103,000000,6030.82,6030.82,6030.82,6030.82,0,0
XPTBTC,D,20110104,000000,5814.69,5814.69,5814.69,5814.69,0,0
XPTBTC,D,20110105,000000,5770.87,5770.87,5770.87,5770.87,0,0
XPTBTC,D,20110106,000000,5796.3,5796.3,5796.3,5796.3,0,0
XPTBTC,D,20110107,000000,5407.82,5407.82,5407.82,5407.82,0,0
XPTBTC,D,20110110,000000,5319.2,5319.2,5319.2,5319.2,0,0
XPTBTC,D,20110111,000000,5404.26,5404.26,5404.26,5404.26,0,0
XPTBTC,D,20110112,000000,5629.64,5629.64,5629.64,5629.64,0,0
XPTBTC,D,20110113,000000,5725.7,5725.7,5725.7,5725.7,0,0
XPTBTC,D,20110114,000000,4520.79,4520.79,4520.79,4520.79,0,0
XPTBTC,D,20110117,000000,5154.46,5154.46,5154.46,5154.46,0,0
XPTBTC,D,20110118,000000,5821.36,5821.36,5821.36,5821.36,0,0
XPTBTC,D,20110119,000000,5845.23,5845.23,5845.23,5845.23,0,0
XPTBTC,D,20110120,000000,4659.42,4659.42,4659.42,4659.42,0,0
XPTBTC,D,20110121,000000,4332.29,4332.29,4332.29,4332.29,0,0
XPTBTC,D,20110124,000000,4325.77,4325.77,4325.77,4325.77,0,0
XPTBTC,D,20110125,000000,4354.04,4354.04,4354.04,4354.04,0,0
XPTBTC,D,20110126,000000,4294.92,4294.92,4294.92,4294.92,0,0
XPTBTC,D,20110127,000000,4266.83,4266.83,4266.83,4266.83,0,0
XPTBTC,D,20110128,000000,4033.47,4033.47,4033.47,4033.47,0,0
XPTBTC,D,20110131,000000,3453.59,3453.59,3453.59,3453.59,0,0
XPTBTC,D,20110201,000000,2605.61,2605.61,2605.61,2605.61,0,0
XPTBTC,D,20110202,000000,2550.28,2550.28,2550.28,2550.28,0,0
XPTBTC,D,20110203,000000,2661.06,2661.06,2661.06,2661.06,0,0
XPTBTC,D,20110204,000000,2268.53,2268.53,2268.53,2268.53,0,0
XPTBTC,D,20110207,000000,2070.07,2070.07,2070.07,2070.07,0,0
XPTBTC,D,20110208,000000,2023.52,2023.52,2023.52,2023.52,0,0
XPTBTC,D,20110209,000000,1696.6,1696.6,1696.6,1696.6,0,0
XPTBTC,D,20110210,000000,1861.91,1861.91,1861.91,1861.91,0,0
XPTBTC,D,20110211,000000,1688.37,1688.37,1688.37,1688.37,0,0
XPTBTC,D,20110214,000000,1704.33,1704.33,1704.33,1704.33,0,0
XPTBTC,D,20110215,000000,1741.61,1741.61,1741.61,1741.61,0,0
XPTBTC,D,20110216,000000,1747.48,1747.48,1747.48,1747.48,0,0
XPTBTC,D,20110217,000000,1766.86,1766.86,1766.86,1766.86,0,0
XPTBTC,D,20110218,000000,2049.26,2049.26,2049.26,2049.26,0,0
XPTBTC,D,20110221,000000,2217.24,2217.24,2217.24,2217.24,0,0
XPTBTC,D,20110222,000000,2048.56,2048.56,2048.56,2048.56,0,0
XPTBTC,D,20110223,000000,1967.24,1967.24,1967.24,1967.24,0,0
XPTBTC,D,20110224,000000,1786.86,1786.86,1786.86,1786.86,0,0
XPTBTC,D,20110225,000000,1971.67,1971.67,1971.67,1971.67,0,0
XPTBTC,D,20110228,000000,2091.1,2091.1,2091.1,2091.1,0,0
XPTBTC,D,20110301,000000,1994.47,1994.47,1994.47,1994.47,0,0
XPTBTC,D,20110302,000000,1970.61,1970.61,1970.61,1970.61,0,0
XPTBTC,D,20110303,000000,1951.91,1951.91,1951.91,1951.91,0,0
XPTBTC,D,20110304,000000,2035.35,2035.35,2035.35,2035.35,0,0
XPTBTC,D,20110307,000000,2054.52,2054.52,2054.52,2054.52,0,0
XPTBTC,D,20110308,000000,2062.31,2062.31,2062.31,2062.31,0,0
XPTBTC,D,20110309,000000,2076.05,2076.05,2076.05,2076.05,0,0
XPTBTC,D,20110310,000000,1885.05,1885.05,1885.05,1885.05,0,0
XPTBTC,D,20110311,000000,2020.89,2020.89,2020.89,2020.89,0,0
XPTBTC,D,20110314,000000,1953.15,1953.15,1953.15,1953.15,0,0
XPTBTC,D,20110315,000000,1956.99,1956.99,1956.99,1956.99,0,0
XPTBTC,D,20110316,000000,1967.06,1967.06,1967.06,1967.06,0,0
XPTBTC,D,20110317,000000,2058.48,2058.48,2058.48,2058.48,0,0
XPTBTC,D,20110318,000000,2102.34,2102.34,2102.34,2102.34,0,0
