<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTINR,D,19840109,000000,3952.8,3952.8,3952.8,3952.8,0,0
XPTINR,D,19840116,000000,3973.9,3973.9,3973.9,3973.9,0,0
XPTINR,D,19840123,000000,3958.6,3958.6,3958.6,3958.6,0,0
XPTINR,D,19840130,000000,4106.3,4106.3,4106.3,4106.3,0,0
XPTINR,D,19840206,000000,4142.3,4142.3,4142.3,4142.3,0,0
XPTINR,D,19840213,000000,4094,4094,4094,4094,0,0
XPTINR,D,19840220,000000,4058.9,4058.9,4058.9,4058.9,0,0
XPTINR,D,19840301,000000,4280.5,4280.5,4280.5,4280.5,0,0
XPTINR,D,19840305,000000,4368.1,4368.1,4368.1,4368.1,0,0
XPTINR,D,19840312,000000,4213.9,4213.9,4213.9,4213.9,0,0
XPTINR,D,19840319,000000,4209.2,4209.2,4209.2,4209.2,0,0
XPTINR,D,19840326,000000,4264.7,4264.7,4264.7,4264.7,0,0
XPTINR,D,19840402,000000,4173.3,4173.3,4173.3,4173.3,0,0
XPTINR,D,19840409,000000,4238.6,4238.6,4238.6,4238.6,0,0
XPTINR,D,19840416,000000,4217.2,4217.2,4217.2,4217.2,0,0
XPTINR,D,19840424,000000,4392.4,4392.4,4392.4,4392.4,0,0
XPTINR,D,19840502,000000,4212.3,4212.3,4212.3,4212.3,0,0
XPTINR,D,19840507,000000,4187.1,4187.1,4187.1,4187.1,0,0
XPTINR,D,19840514,000000,4231.1,4231.1,4231.1,4231.1,0,0
XPTINR,D,19840521,000000,4329.9,4329.9,4329.9,4329.9,0,0
XPTINR,D,19840528,000000,4334.2,4334.2,4334.2,4334.2,0,0
XPTINR,D,19840604,000000,4381.3,4381.3,4381.3,4381.3,0,0
XPTINR,D,19840611,000000,4135.7,4135.7,4135.7,4135.7,0,0
XPTINR,D,19840618,000000,4244.7,4244.7,4244.7,4244.7,0,0
XPTINR,D,19840625,000000,4156.4,4156.4,4156.4,4156.4,0,0
XPTINR,D,19840702,000000,4184.6,4184.6,4184.6,4184.6,0,0
XPTINR,D,19840709,000000,4000.8,4000.8,4000.8,4000.8,0,0
XPTINR,D,19840716,000000,3945.3,3945.3,3945.3,3945.3,0,0
XPTINR,D,19840723,000000,3796.7,3796.7,3796.7,3796.7,0,0
XPTINR,D,19840730,000000,3787.3,3787.3,3787.3,3787.3,0,0
XPTINR,D,19840806,000000,3866.4,3866.4,3866.4,3866.4,0,0
XPTINR,D,19840813,000000,3866.4,3866.4,3866.4,3866.4,0,0
XPTINR,D,19840820,000000,3873.1,3873.1,3873.1,3873.1,0,0
XPTINR,D,19840827,000000,3920.3,3920.3,3920.3,3920.3,0,0
XPTINR,D,19840901,000000,3915,3915,3915,3915,0,0
XPTINR,D,19840910,000000,3796.3,3796.3,3796.3,3796.3,0,0
XPTINR,D,19840917,000000,3708.7,3708.7,3708.7,3708.7,0,0
XPTINR,D,19840924,000000,3879.6,3879.6,3879.6,3879.6,0,0
XPTINR,D,19841001,000000,3873,3873,3873,3873,0,0
XPTINR,D,19841008,000000,3830.7,3830.7,3830.7,3830.7,0,0
XPTINR,D,19841015,000000,3943,3943,3943,3943,0,0
XPTINR,D,19841022,000000,3927.4,3927.4,3927.4,3927.4,0,0
XPTINR,D,19841029,000000,3825.9,3825.9,3825.9,3825.9,0,0
XPTINR,D,19841105,000000,4059.6,4059.6,4059.6,4059.6,0,0
