<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTKRW,D,19840109,000000,295800,295800,295800,295800,0,0
XPTKRW,D,19840116,000000,297240,297240,297240,297240,0,0
XPTKRW,D,19840123,000000,295000,295000,295000,295000,0,0
XPTKRW,D,19840130,000000,306100,306100,306100,306100,0,0
XPTKRW,D,19840206,000000,307700,307700,307700,307700,0,0
XPTKRW,D,19840213,000000,302590,302590,302590,302590,0,0
XPTKRW,D,19840220,000000,304440,304440,304440,304440,0,0
XPTKRW,D,19840301,000000,318280,318280,318280,318280,0,0
XPTKRW,D,19840305,000000,325090,325090,325090,325090,0,0
XPTKRW,D,19840312,000000,315030,315030,315030,315030,0,0
XPTKRW,D,19840319,000000,313840,313840,313840,313840,0,0
XPTKRW,D,19840326,000000,316900,316900,316900,316900,0,0
XPTKRW,D,19840402,000000,309500,309500,309500,309500,0,0
XPTKRW,D,19840409,000000,314030,314030,314030,314030,0,0
XPTKRW,D,19840416,000000,312440,312440,312440,312440,0,0
XPTKRW,D,19840424,000000,322750,322750,322750,322750,0,0
XPTKRW,D,19840502,000000,311770,311770,311770,311770,0,0
XPTKRW,D,19840507,000000,305450,305450,305450,305450,0,0
XPTKRW,D,19840514,000000,311200,311200,311200,311200,0,0
XPTKRW,D,19840521,000000,316270,316270,316270,316270,0,0
XPTKRW,D,19840528,000000,316270,316270,316270,316270,0,0
XPTKRW,D,19840604,000000,316150,316150,316150,316150,0,0
XPTKRW,D,19840611,000000,302780,302780,302780,302780,0,0
XPTKRW,D,19840618,000000,309430,309430,309430,309430,0,0
XPTKRW,D,19840625,000000,303000,303000,303000,303000,0,0
XPTKRW,D,19840702,000000,301350,301350,301350,301350,0,0
XPTKRW,D,19840709,000000,289330,289330,289330,289330,0,0
XPTKRW,D,19840716,000000,285030,285030,285030,285030,0,0
XPTKRW,D,19840723,000000,270960,270960,270960,270960,0,0
XPTKRW,D,19840730,000000,268920,268920,268920,268920,0,0
XPTKRW,D,19840806,000000,273150,273150,273150,273150,0,0
XPTKRW,D,19840813,000000,273150,273150,273150,273150,0,0
XPTKRW,D,19840820,000000,271120,271120,271120,271120,0,0
XPTKRW,D,19840827,000000,275830,275830,275830,275830,0,0
XPTKRW,D,19840901,000000,274560,274560,274560,274560,0,0
XPTKRW,D,19840910,000000,263750,263750,263750,263750,0,0
XPTKRW,D,19840917,000000,256700,256700,256700,256700,0,0
XPTKRW,D,19840924,000000,267790,267790,267790,267790,0,0
XPTKRW,D,19841001,000000,265830,265830,265830,265830,0,0
XPTKRW,D,19841008,000000,263640,263640,263640,263640,0,0
XPTKRW,D,19841015,000000,270860,270860,270860,270860,0,0
XPTKRW,D,19841022,000000,265800,265800,265800,265800,0,0
XPTKRW,D,19841029,000000,259360,259360,259360,259360,0,0
XPTKRW,D,19841105,000000,274420,274420,274420,274420,0,0
XPTKRW,D,19841112,000000,271820,271820,271820,271820,0,0
XPTKRW,D,19841119,000000,262770,262770,262770,262770,0,0
XPTKRW,D,19841126,000000,259290,259290,259290,259290,0,0
XPTKRW,D,19841201,000000,259660,259660,259660,259660,0,0
XPTKRW,D,19841210,000000,257350,257350,257350,257350,0,0
XPTKRW,D,19841217,000000,244590,244590,244590,244590,0,0
XPTKRW,D,19841224,000000,246200,246200,246200,246200,0,0
XPTKRW,D,19850101,000000,245430,245430,245430,245430,0,0
XPTKRW,D,19850107,000000,229480,229480,229480,229480,0,0
XPTKRW,D,19850114,000000,223460,223460,223460,223460,0,0
XPTKRW,D,19850121,000000,230470,230470,230470,230470,0,0
XPTKRW,D,19850128,000000,226730,226730,226730,226730,0,0
XPTKRW,D,19850204,000000,228390,228390,228390,228390,0,0
XPTKRW,D,19850211,000000,230120,230120,230120,230120,0,0
XPTKRW,D,19850218,000000,230380,230380,230380,230380,0,0
XPTKRW,D,19850225,000000,205340,205340,205340,205340,0,0
XPTKRW,D,19850304,000000,213960,213960,213960,213960,0,0
XPTKRW,D,19850311,000000,204030,204030,204030,204030,0,0
XPTKRW,D,19850318,000000,219450,219450,219450,219450,0,0
XPTKRW,D,19850325,000000,227160,227160,227160,227160,0,0
XPTKRW,D,19850329,000000,241420,241420,241420,241420,0,0
XPTKRW,D,19850401,000000,227870,227870,227870,227870,0,0
XPTKRW,D,19850409,000000,247120,247120,247120,247120,0,0
XPTKRW,D,19850415,000000,255640,255640,255640,255640,0,0
XPTKRW,D,19850422,000000,244370,244370,244370,244370,0,0
XPTKRW,D,19850429,000000,246710,246710,246710,246710,0,0
XPTKRW,D,19850506,000000,224960,224960,224960,224960,0,0
XPTKRW,D,19850513,000000,245770,245770,245770,245770,0,0
XPTKRW,D,19850520,000000,233290,233290,233290,233290,0,0
XPTKRW,D,19850527,000000,233290,233290,233290,233290,0,0
XPTKRW,D,19850601,000000,232500,232500,232500,232500,0,0
XPTKRW,D,19850610,000000,227140,227140,227140,227140,0,0
XPTKRW,D,19850617,000000,231770,231770,231770,231770,0,0
XPTKRW,D,19850624,000000,235770,235770,235770,235770,0,0
XPTKRW,D,19850701,000000,217600,217600,217600,217600,0,0
XPTKRW,D,19850708,000000,231030,231030,231030,231030,0,0
XPTKRW,D,19850715,000000,233830,233830,233830,233830,0,0
XPTKRW,D,19850723,000000,236730,236730,236730,236730,0,0
XPTKRW,D,19850729,000000,244550,244550,244550,244550,0,0
XPTKRW,D,19850805,000000,248080,248080,248080,248080,0,0
XPTKRW,D,19850812,000000,257480,257480,257480,257480,0,0
XPTKRW,D,19850819,000000,295300,295300,295300,295300,0,0
XPTKRW,D,19850826,000000,290520,290520,290520,290520,0,0
XPTKRW,D,19850902,000000,290520,290520,290520,290520,0,0
XPTKRW,D,19850909,000000,278900,278900,278900,278900,0,0
