<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTMXN,D,19900108,000000,1307.9,1307.9,1307.9,1307.9,0,0
XPTMXN,D,19900115,000000,1349.2,1349.2,1349.2,1349.2,0,0
XPTMXN,D,19900122,000000,1336.1,1336.1,1336.1,1336.1,0,0
XPTMXN,D,19900129,000000,1404.7,1404.7,1404.7,1404.7,0,0
XPTMXN,D,19900205,000000,1393.7,1393.7,1393.7,1393.7,0,0
XPTMXN,D,19900212,000000,1408.8,1408.8,1408.8,1408.8,0,0
XPTMXN,D,19900219,000000,1408.9,1408.9,1408.9,1408.9,0,0
XPTMXN,D,19900226,000000,1384.1,1384.1,1384.1,1384.1,0,0
XPTMXN,D,19900305,000000,1382.6,1382.6,1382.6,1382.6,0,0
XPTMXN,D,19900312,000000,1367.4,1367.4,1367.4,1367.4,0,0
XPTMXN,D,19900319,000000,1370.3,1370.3,1370.3,1370.3,0,0
XPTMXN,D,19900326,000000,1322.9,1322.9,1322.9,1322.9,0,0
XPTMXN,D,19900402,000000,1308.5,1308.5,1308.5,1308.5,0,0
XPTMXN,D,19900409,000000,1324.9,1324.9,1324.9,1324.9,0,0
XPTMXN,D,19900417,000000,1331.7,1331.7,1331.7,1331.7,0,0
XPTMXN,D,19900423,000000,1365.8,1365.8,1365.8,1365.8,0,0
XPTMXN,D,19900430,000000,1313.2,1313.2,1313.2,1313.2,0,0
XPTMXN,D,19900507,000000,1345.7,1345.7,1345.7,1345.7,0,0
XPTMXN,D,19900514,000000,1355.9,1355.9,1355.9,1355.9,0,0
XPTMXN,D,19900521,000000,1398.9,1398.9,1398.9,1398.9,0,0
XPTMXN,D,19900528,000000,1397.6,1397.6,1397.6,1397.6,0,0
XPTMXN,D,19900604,000000,1361.9,1361.9,1361.9,1361.9,0,0
XPTMXN,D,19900611,000000,1362.6,1362.6,1362.6,1362.6,0,0
XPTMXN,D,19900618,000000,1345.6,1345.6,1345.6,1345.6,0,0
XPTMXN,D,19900625,000000,1372.9,1372.9,1372.9,1372.9,0,0
XPTMXN,D,19900702,000000,1395.9,1395.9,1395.9,1395.9,0,0
XPTMXN,D,19900709,000000,1387.9,1387.9,1387.9,1387.9,0,0
XPTMXN,D,19900716,000000,1364.1,1364.1,1364.1,1364.1,0,0
XPTMXN,D,19900723,000000,1381.5,1381.5,1381.5,1381.5,0,0
XPTMXN,D,19900730,000000,1360.7,1360.7,1360.7,1360.7,0,0
XPTMXN,D,19900806,000000,1390.5,1390.5,1390.5,1390.5,0,0
XPTMXN,D,19900813,000000,1391.3,1391.3,1391.3,1391.3,0,0
XPTMXN,D,19900820,000000,1431.5,1431.5,1431.5,1431.5,0,0
XPTMXN,D,19900827,000000,1383.8,1383.8,1383.8,1383.8,0,0
XPTMXN,D,19900903,000000,1384.6,1384.6,1384.6,1384.6,0,0
XPTMXN,D,19900910,000000,1303.3,1303.3,1303.3,1303.3,0,0
XPTMXN,D,19900917,000000,1308,1308,1308,1308,0,0
XPTMXN,D,19900924,000000,1334.8,1334.8,1334.8,1334.8,0,0
XPTMXN,D,19901001,000000,1236.8,1236.8,1236.8,1236.8,0,0
XPTMXN,D,19901008,000000,1280.6,1280.6,1280.6,1280.6,0,0
XPTMXN,D,19901010,000000,1251.3,1251.3,1251.3,1251.3,0,0
XPTMXN,D,19901015,000000,1138.5,1138.5,1138.5,1138.5,0,0
