<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTNAD,D,19840109,000000,462.68,462.68,462.68,462.68,0,0
XPTNAD,D,19840116,000000,459.3,459.3,459.3,459.3,0,0
XPTNAD,D,19840123,000000,455.56,455.56,455.56,455.56,0,0
XPTNAD,D,19840130,000000,479.07,479.07,479.07,479.07,0,0
XPTNAD,D,19840206,000000,469.52,469.52,469.52,469.52,0,0
XPTNAD,D,19840213,000000,460.91,460.91,460.91,460.91,0,0
XPTNAD,D,19840220,000000,461.79,461.79,461.79,461.79,0,0
XPTNAD,D,19840301,000000,474.34,474.34,474.34,474.34,0,0
XPTNAD,D,19840305,000000,480.82,480.82,480.82,480.82,0,0
XPTNAD,D,19840312,000000,472.88,472.88,472.88,472.88,0,0
XPTNAD,D,19840319,000000,482.6,482.6,482.6,482.6,0,0
XPTNAD,D,19840326,000000,484.97,484.97,484.97,484.97,0,0
XPTNAD,D,19840402,000000,473.8,473.8,473.8,473.8,0,0
XPTNAD,D,19840409,000000,485.99,485.99,485.99,485.99,0,0
XPTNAD,D,19840416,000000,478.27,478.27,478.27,478.27,0,0
XPTNAD,D,19840424,000000,497.26,497.26,497.26,497.26,0,0
XPTNAD,D,19840502,000000,477.15,477.15,477.15,477.15,0,0
XPTNAD,D,19840507,000000,474.91,474.91,474.91,474.91,0,0
XPTNAD,D,19840514,000000,490.51,490.51,490.51,490.51,0,0
XPTNAD,D,19840521,000000,492.77,492.77,492.77,492.77,0,0
XPTNAD,D,19840528,000000,492.77,492.77,492.77,492.77,0,0
XPTNAD,D,19840604,000000,490.56,490.56,490.56,490.56,0,0
XPTNAD,D,19840611,000000,480.1,480.1,480.1,480.1,0,0
XPTNAD,D,19840618,000000,493.98,493.98,493.98,493.98,0,0
XPTNAD,D,19840625,000000,501.26,501.26,501.26,501.26,0,0
XPTNAD,D,19840702,000000,502.46,502.46,502.46,502.46,0,0
XPTNAD,D,19840709,000000,516.24,516.24,516.24,516.24,0,0
XPTNAD,D,19840716,000000,508.48,508.48,508.48,508.48,0,0
XPTNAD,D,19840723,000000,507.81,507.81,507.81,507.81,0,0
XPTNAD,D,19840730,000000,532.99,532.99,532.99,532.99,0,0
XPTNAD,D,19840806,000000,518.98,518.98,518.98,518.98,0,0
XPTNAD,D,19840813,000000,533.78,533.78,533.78,533.78,0,0
XPTNAD,D,19840820,000000,511.85,511.85,511.85,511.85,0,0
XPTNAD,D,19840827,000000,515.89,515.89,515.89,515.89,0,0
XPTNAD,D,19840901,000000,519.04,519.04,519.04,519.04,0,0
XPTNAD,D,19840910,000000,525.76,525.76,525.76,525.76,0,0
XPTNAD,D,19840917,000000,522.19,522.19,522.19,522.19,0,0
XPTNAD,D,19840924,000000,533.06,533.06,533.06,533.06,0,0
XPTNAD,D,19841001,000000,536.25,536.25,536.25,536.25,0,0
XPTNAD,D,19841008,000000,535.48,535.48,535.48,535.48,0,0
XPTNAD,D,19841015,000000,573.33,573.33,573.33,573.33,0,0
XPTNAD,D,19841022,000000,570.56,570.56,570.56,570.56,0,0
XPTNAD,D,19841029,000000,603.63,603.63,603.63,603.63,0,0
XPTNAD,D,19841105,000000,594.19,594.19,594.19,594.19,0,0
