<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTZAR,D,19840109,000000,471.5,471.5,471.5,471.5,0,0
XPTZAR,D,19840116,000000,464.8,464.8,464.8,464.8,0,0
XPTZAR,D,19840123,000000,461.9,461.9,461.9,461.9,0,0
XPTZAR,D,19840130,000000,487.2,487.2,487.2,487.2,0,0
XPTZAR,D,19840206,000000,479.9,479.9,479.9,479.9,0,0
XPTZAR,D,19840213,000000,472,472,472,472,0,0
XPTZAR,D,19840220,000000,471.9,471.9,471.9,471.9,0,0
XPTZAR,D,19840301,000000,481.1,481.1,481.1,481.1,0,0
XPTZAR,D,19840305,000000,487.3,487.3,487.3,487.3,0,0
XPTZAR,D,19840312,000000,480.3,480.3,480.3,480.3,0,0
XPTZAR,D,19840319,000000,489.5,489.5,489.5,489.5,0,0
XPTZAR,D,19840326,000000,491.7,491.7,491.7,491.7,0,0
XPTZAR,D,19840402,000000,483.5,483.5,483.5,483.5,0,0
XPTZAR,D,19840409,000000,493.4,493.4,493.4,493.4,0,0
XPTZAR,D,19840416,000000,489.2,489.2,489.2,489.2,0,0
XPTZAR,D,19840424,000000,507.3,507.3,507.3,507.3,0,0
XPTZAR,D,19840502,000000,488.1,488.1,488.1,488.1,0,0
XPTZAR,D,19840507,000000,483,483,483,483,0,0
XPTZAR,D,19840514,000000,501.1,501.1,501.1,501.1,0,0
XPTZAR,D,19840521,000000,503.4,503.4,503.4,503.4,0,0
XPTZAR,D,19840528,000000,503.4,503.4,503.4,503.4,0,0
XPTZAR,D,19840604,000000,501.7,501.7,501.7,501.7,0,0
XPTZAR,D,19840611,000000,486.9,486.9,486.9,486.9,0,0
XPTZAR,D,19840618,000000,504.2,504.2,504.2,504.2,0,0
XPTZAR,D,19840625,000000,507.4,507.4,507.4,507.4,0,0
XPTZAR,D,19840702,000000,511.5,511.5,511.5,511.5,0,0
XPTZAR,D,19840709,000000,528.8,528.8,528.8,528.8,0,0
XPTZAR,D,19840716,000000,515.5,515.5,515.5,515.5,0,0
XPTZAR,D,19840723,000000,513.1,513.1,513.1,513.1,0,0
XPTZAR,D,19840730,000000,538.6,538.6,538.6,538.6,0,0
XPTZAR,D,19840806,000000,525.9,525.9,525.9,525.9,0,0
XPTZAR,D,19840813,000000,538.6,538.6,538.6,538.6,0,0
XPTZAR,D,19840820,000000,518.5,518.5,518.5,518.5,0,0
XPTZAR,D,19840827,000000,528.8,528.8,528.8,528.8,0,0
XPTZAR,D,19840901,000000,528.9,528.9,528.9,528.9,0,0
XPTZAR,D,19840910,000000,536,536,536,536,0,0
XPTZAR,D,19840917,000000,528.6,528.6,528.6,528.6,0,0
XPTZAR,D,19840924,000000,544.1,544.1,544.1,544.1,0,0
XPTZAR,D,19841001,000000,545.8,545.8,545.8,545.8,0,0
XPTZAR,D,19841008,000000,542.2,542.2,542.2,542.2,0,0
XPTZAR,D,19841015,000000,585.3,585.3,585.3,585.3,0,0
XPTZAR,D,19841022,000000,582.7,582.7,582.7,582.7,0,0
XPTZAR,D,19841029,000000,615.4,615.4,615.4,615.4,0,0
XPTZAR,D,19841105,000000,605.4,605.4,605.4,605.4,0,0
XPTZAR,D,19841112,000000,601.4,601.4,601.4,601.4,0,0
XPTZAR,D,19841119,000000,579.7,579.7,579.7,579.7,0,0
XPTZAR,D,19841126,000000,574.5,574.5,574.5,574.5,0,0
XPTZAR,D,19841201,000000,574.9,574.9,574.9,574.9,0,0
XPTZAR,D,19841210,000000,570.7,570.7,570.7,570.7,0,0
XPTZAR,D,19841217,000000,567,567,567,567,0,0
XPTZAR,D,19841224,000000,582,582,582,582,0,0
XPTZAR,D,19850101,000000,582.2,582.2,582.2,582.2,0,0
XPTZAR,D,19850107,000000,578.9,578.9,578.9,578.9,0,0
XPTZAR,D,19850114,000000,606.1,606.1,606.1,606.1,0,0
XPTZAR,D,19850121,000000,624.8,624.8,624.8,624.8,0,0
XPTZAR,D,19850128,000000,581.6,581.6,581.6,581.6,0,0
XPTZAR,D,19850204,000000,556.8,556.8,556.8,556.8,0,0
XPTZAR,D,19850211,000000,517.9,517.9,517.9,517.9,0,0
XPTZAR,D,19850218,000000,518.1,518.1,518.1,518.1,0,0
XPTZAR,D,19850225,000000,526.7,526.7,526.7,526.7,0,0
XPTZAR,D,19850304,000000,522.3,522.3,522.3,522.3,0,0
XPTZAR,D,19850311,000000,480.7,480.7,480.7,480.7,0,0
XPTZAR,D,19850318,000000,513.6,513.6,513.6,513.6,0,0
XPTZAR,D,19850325,000000,529.9,529.9,529.9,529.9,0,0
XPTZAR,D,19850329,000000,535.7,535.7,535.7,535.7,0,0
XPTZAR,D,19850401,000000,519.2,519.2,519.2,519.2,0,0
XPTZAR,D,19850409,000000,567.8,567.8,567.8,567.8,0,0
XPTZAR,D,19850415,000000,559.6,559.6,559.6,559.6,0,0
XPTZAR,D,19850422,000000,541.5,541.5,541.5,541.5,0,0
XPTZAR,D,19850429,000000,556.5,556.5,556.5,556.5,0,0
XPTZAR,D,19850506,000000,526.4,526.4,526.4,526.4,0,0
XPTZAR,D,19850513,000000,556.2,556.2,556.2,556.2,0,0
XPTZAR,D,19850520,000000,530.5,530.5,530.5,530.5,0,0
XPTZAR,D,19850527,000000,530.5,530.5,530.5,530.5,0,0
XPTZAR,D,19850601,000000,530.5,530.5,530.5,530.5,0,0
XPTZAR,D,19850610,000000,521.7,521.7,521.7,521.7,0,0
XPTZAR,D,19850617,000000,525.3,525.3,525.3,525.3,0,0
XPTZAR,D,19850624,000000,530.5,530.5,530.5,530.5,0,0
XPTZAR,D,19850701,000000,490.2,490.2,490.2,490.2,0,0
XPTZAR,D,19850708,000000,515.3,515.3,515.3,515.3,0,0
XPTZAR,D,19850715,000000,510.4,510.4,510.4,510.4,0,0
XPTZAR,D,19850723,000000,508.1,508.1,508.1,508.1,0,0
XPTZAR,D,19850729,000000,567.6,567.6,567.6,567.6,0,0
XPTZAR,D,19850805,000000,622,622,622,622,0,0
XPTZAR,D,19850812,000000,607.3,607.3,607.3,607.3,0,0
XPTZAR,D,19850819,000000,808.3,808.3,808.3,808.3,0,0
XPTZAR,D,19850826,000000,834.9,834.9,834.9,834.9,0,0
XPTZAR,D,19850902,000000,834.9,834.9,834.9,834.9,0,0
XPTZAR,D,19850909,000000,811.7,811.7,811.7,811.7,0,0
XPTZAR,D,19850916,000000,741.2,741.2,741.2,741.2,0,0
XPTZAR,D,19850923,000000,793.6,793.6,793.6,793.6,0,0
XPTZAR,D,19850930,000000,772.8,772.8,772.8,772.8,0,0
XPTZAR,D,19851007,000000,838.3,838.3,838.3,838.3,0,0
XPTZAR,D,19851014,000000,846.8,846.8,846.8,846.8,0,0
XPTZAR,D,19851021,000000,845.2,845.2,845.2,845.2,0,0
XPTZAR,D,19851028,000000,871,871,871,871,0,0
XPTZAR,D,19851104,000000,834.8,834.8,834.8,834.8,0,0
XPTZAR,D,19851111,000000,837.6,837.6,837.6,837.6,0,0
XPTZAR,D,19851118,000000,889.5,889.5,889.5,889.5,0,0
XPTZAR,D,19851125,000000,939.2,939.2,939.2,939.2,0,0
XPTZAR,D,19851202,000000,976.2,976.2,976.2,976.2,0,0
XPTZAR,D,19851209,000000,852.3,852.3,852.3,852.3,0,0
XPTZAR,D,19851216,000000,886.9,886.9,886.9,886.9,0,0
XPTZAR,D,19851223,000000,897.1,897.1,897.1,897.1,0,0
XPTZAR,D,19860101,000000,897.1,897.1,897.1,897.1,0,0
XPTZAR,D,19860106,000000,909.9,909.9,909.9,909.9,0,0
XPTZAR,D,19860113,000000,858.5,858.5,858.5,858.5,0,0
XPTZAR,D,19860120,000000,883.9,883.9,883.9,883.9,0,0
XPTZAR,D,19860127,000000,836,836,836,836,0,0
XPTZAR,D,19860201,000000,835.9,835.9,835.9,835.9,0,0
XPTZAR,D,19860210,000000,783.1,783.1,783.1,783.1,0,0
XPTZAR,D,19860217,000000,782.5,782.5,782.5,782.5,0,0
XPTZAR,D,19860224,000000,824.6,824.6,824.6,824.6,0,0
XPTZAR,D,19860301,000000,824.6,824.6,824.6,824.6,0,0
XPTZAR,D,19860303,000000,785.7,785.7,785.7,785.7,0,0
XPTZAR,D,19860310,000000,785.8,785.8,785.8,785.8,0,0
XPTZAR,D,19860317,000000,831.2,831.2,831.2,831.2,0,0
XPTZAR,D,19860318,000000,836.4,836.4,836.4,836.4,0,0
XPTZAR,D,19860324,000000,888.3,888.3,888.3,888.3,0,0
XPTZAR,D,19860401,000000,847.8,847.8,847.8,847.8,0,0
XPTZAR,D,19860407,000000,878.5,878.5,878.5,878.5,0,0
XPTZAR,D,19860409,000000,869.2,869.2,869.2,869.2,0,0
XPTZAR,D,19860414,000000,855.2,855.2,855.2,855.2,0,0
XPTZAR,D,19860421,000000,821.8,821.8,821.8,821.8,0,0
XPTZAR,D,19860428,000000,860.1,860.1,860.1,860.1,0,0
XPTZAR,D,19860505,000000,839.4,839.4,839.4,839.4,0,0
XPTZAR,D,19860512,000000,881.3,881.3,881.3,881.3,0,0
XPTZAR,D,19860519,000000,895.3,895.3,895.3,895.3,0,0
XPTZAR,D,19860526,000000,895.9,895.9,895.9,895.9,0,0
XPTZAR,D,19860602,000000,1002,1002,1002,1002,0,0
XPTZAR,D,19860609,000000,1141.8,1141.8,1141.8,1141.8,0,0
XPTZAR,D,19860616,000000,1099.4,1099.4,1099.4,1099.4,0,0
XPTZAR,D,19860623,000000,1116.2,1116.2,1116.2,1116.2,0,0
XPTZAR,D,19860630,000000,1064.2,1064.2,1064.2,1064.2,0,0
XPTZAR,D,19860707,000000,1100.1,1100.1,1100.1,1100.1,0,0
XPTZAR,D,19860714,000000,1134.1,1134.1,1134.1,1134.1,0,0
XPTZAR,D,19860721,000000,1125.1,1125.1,1125.1,1125.1,0,0
XPTZAR,D,19860728,000000,1148.5,1148.5,1148.5,1148.5,0,0
XPTZAR,D,19860804,000000,1198.8,1198.8,1198.8,1198.8,0,0
XPTZAR,D,19860811,000000,1397.5,1397.5,1397.5,1397.5,0,0
XPTZAR,D,19860818,000000,1399.3,1399.3,1399.3,1399.3,0,0
XPTZAR,D,19860825,000000,1524.6,1524.6,1524.6,1524.6,0,0
XPTZAR,D,19860901,000000,1525.6,1525.6,1525.6,1525.6,0,0
XPTZAR,D,19860908,000000,1542.4,1542.4,1542.4,1542.4,0,0
XPTZAR,D,19860915,000000,1337.7,1337.7,1337.7,1337.7,0,0
XPTZAR,D,19860922,000000,1346,1346,1346,1346,0,0
XPTZAR,D,19860929,000000,1220,1220,1220,1220,0,0
XPTZAR,D,19861006,000000,1346.3,1346.3,1346.3,1346.3,0,0
XPTZAR,D,19861013,000000,1302.7,1302.7,1302.7,1302.7,0,0
XPTZAR,D,19861020,000000,1331.3,1331.3,1331.3,1331.3,0,0
XPTZAR,D,19861027,000000,1315.4,1315.4,1315.4,1315.4,0,0
XPTZAR,D,19861101,000000,1315,1315,1315,1315,0,0
XPTZAR,D,19861110,000000,1234.6,1234.6,1234.6,1234.6,0,0
XPTZAR,D,19861117,000000,1069.3,1069.3,1069.3,1069.3,0,0
XPTZAR,D,19861124,000000,1058.8,1058.8,1058.8,1058.8,0,0
