<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZARCHF,D,19840109,000000,1.759,1.759,1.759,1.759,0,0
ZARCHF,D,19840116,000000,1.8002,1.8002,1.8002,1.8002,0,0
ZARCHF,D,19840123,000000,1.783,1.783,1.783,1.783,0,0
ZARCHF,D,19840130,000000,1.7656,1.7656,1.7656,1.7656,0,0
ZARCHF,D,19840206,000000,1.8015,1.8015,1.8015,1.8015,0,0
ZARCHF,D,19840213,000000,1.8019,1.8019,1.8019,1.8019,0,0
ZARCHF,D,19840220,000000,1.7935,1.7935,1.7935,1.7935,0,0
ZARCHF,D,19840301,000000,1.8238,1.8238,1.8238,1.8238,0,0
ZARCHF,D,19840305,000000,1.8121,1.8121,1.8121,1.8121,0,0
ZARCHF,D,19840312,000000,1.7334,1.7334,1.7334,1.7334,0,0
ZARCHF,D,19840319,000000,1.7008,1.7008,1.7008,1.7008,0,0
ZARCHF,D,19840326,000000,1.7402,1.7402,1.7402,1.7402,0,0
ZARCHF,D,19840402,000000,1.7301,1.7301,1.7301,1.7301,0,0
ZARCHF,D,19840409,000000,1.7254,1.7254,1.7254,1.7254,0,0
ZARCHF,D,19840416,000000,1.7403,1.7403,1.7403,1.7403,0,0
ZARCHF,D,19840424,000000,1.7508,1.7508,1.7508,1.7508,0,0
ZARCHF,D,19840502,000000,1.7595,1.7595,1.7595,1.7595,0,0
ZARCHF,D,19840507,000000,1.7804,1.7804,1.7804,1.7804,0,0
ZARCHF,D,19840514,000000,1.7562,1.7562,1.7562,1.7562,0,0
ZARCHF,D,19840521,000000,1.7774,1.7774,1.7774,1.7774,0,0
ZARCHF,D,19840528,000000,1.7716,1.7716,1.7716,1.7716,0,0
ZARCHF,D,19840604,000000,1.7816,1.7816,1.7816,1.7816,0,0
ZARCHF,D,19840611,000000,1.7205,1.7205,1.7205,1.7205,0,0
ZARCHF,D,19840618,000000,1.7332,1.7332,1.7332,1.7332,0,0
ZARCHF,D,19840625,000000,1.6955,1.6955,1.6955,1.6955,0,0
ZARCHF,D,19840702,000000,1.7009,1.7009,1.7009,1.7009,0,0
ZARCHF,D,19840709,000000,1.5878,1.5878,1.5878,1.5878,0,0
ZARCHF,D,19840716,000000,1.6176,1.6176,1.6176,1.6176,0,0
ZARCHF,D,19840723,000000,1.5677,1.5677,1.5677,1.5677,0,0
ZARCHF,D,19840730,000000,1.5051,1.5051,1.5051,1.5051,0,0
ZARCHF,D,19840806,000000,1.5692,1.5692,1.5692,1.5692,0,0
ZARCHF,D,19840813,000000,1.521,1.521,1.521,1.521,0,0
ZARCHF,D,19840820,000000,1.5752,1.5752,1.5752,1.5752,0,0
ZARCHF,D,19840827,000000,1.5452,1.5452,1.5452,1.5452,0,0
ZARCHF,D,19840901,000000,1.535,1.535,1.535,1.535,0,0
ZARCHF,D,19840910,000000,1.4748,1.4748,1.4748,1.4748,0,0
ZARCHF,D,19840917,000000,1.4854,1.4854,1.4854,1.4854,0,0
ZARCHF,D,19840924,000000,1.5279,1.5279,1.5279,1.5279,0,0
ZARCHF,D,19841001,000000,1.5048,1.5048,1.5048,1.5048,0,0
ZARCHF,D,19841008,000000,1.4895,1.4895,1.4895,1.4895,0,0
ZARCHF,D,19841015,000000,1.4243,1.4243,1.4243,1.4243,0,0
ZARCHF,D,19841022,000000,1.435,1.435,1.435,1.435,0,0
ZARCHF,D,19841029,000000,1.3009,1.3009,1.3009,1.3009,0,0
