<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZARGBP,D,19840109,000000,0.5554,0.5554,0.5554,0.5554,0,0
ZARGBP,D,19840116,000000,0.57207,0.57207,0.57207,0.57207,0,0
ZARGBP,D,19840123,000000,0.56358,0.56358,0.56358,0.56358,0,0
ZARGBP,D,19840130,000000,0.56181,0.56181,0.56181,0.56181,0,0
ZARGBP,D,19840206,000000,0.57116,0.57116,0.57116,0.57116,0,0
ZARGBP,D,19840213,000000,0.57129,0.57129,0.57129,0.57129,0,0
ZARGBP,D,19840220,000000,0.56856,0.56856,0.56856,0.56856,0,0
ZARGBP,D,19840301,000000,0.57173,0.57173,0.57173,0.57173,0,0
ZARGBP,D,19840305,000000,0.56392,0.56392,0.56392,0.56392,0,0
ZARGBP,D,19840312,000000,0.55421,0.55421,0.55421,0.55421,0,0
ZARGBP,D,19840319,000000,0.54541,0.54541,0.54541,0.54541,0,0
ZARGBP,D,19840326,000000,0.56017,0.56017,0.56017,0.56017,0,0
ZARGBP,D,19840402,000000,0.55566,0.55566,0.55566,0.55566,0,0
ZARGBP,D,19840409,000000,0.55847,0.55847,0.55847,0.55847,0,0
ZARGBP,D,19840416,000000,0.55964,0.55964,0.55964,0.55964,0,0
ZARGBP,D,19840424,000000,0.56329,0.56329,0.56329,0.56329,0,0
ZARGBP,D,19840502,000000,0.56324,0.56324,0.56324,0.56324,0,0
ZARGBP,D,19840507,000000,0.56746,0.56746,0.56746,0.56746,0,0
ZARGBP,D,19840514,000000,0.55365,0.55365,0.55365,0.55365,0,0
ZARGBP,D,19840521,000000,0.56251,0.56251,0.56251,0.56251,0,0
ZARGBP,D,19840528,000000,0.56069,0.56069,0.56069,0.56069,0,0
ZARGBP,D,19840604,000000,0.57087,0.57087,0.57087,0.57087,0,0
ZARGBP,D,19840611,000000,0.55264,0.55264,0.55264,0.55264,0,0
ZARGBP,D,19840618,000000,0.55248,0.55248,0.55248,0.55248,0,0
ZARGBP,D,19840625,000000,0.53768,0.53768,0.53768,0.53768,0,0
ZARGBP,D,19840702,000000,0.54185,0.54185,0.54185,0.54185,0,0
ZARGBP,D,19840709,000000,0.50307,0.50307,0.50307,0.50307,0,0
ZARGBP,D,19840716,000000,0.51855,0.51855,0.51855,0.51855,0,0
ZARGBP,D,19840723,000000,0.49242,0.49242,0.49242,0.49242,0,0
ZARGBP,D,19840730,000000,0.46534,0.46534,0.46534,0.46534,0,0
ZARGBP,D,19840806,000000,0.48787,0.48787,0.48787,0.48787,0,0
ZARGBP,D,19840813,000000,0.47398,0.47398,0.47398,0.47398,0,0
ZARGBP,D,19840820,000000,0.49174,0.49174,0.49174,0.49174,0,0
ZARGBP,D,19840827,000000,0.48766,0.48766,0.48766,0.48766,0,0
ZARGBP,D,19840901,000000,0.49153,0.49153,0.49153,0.49153,0,0
ZARGBP,D,19840910,000000,0.46677,0.46677,0.46677,0.46677,0,0
ZARGBP,D,19840917,000000,0.46683,0.46683,0.46683,0.46683,0,0
ZARGBP,D,19840924,000000,0.48951,0.48951,0.48951,0.48951,0,0
ZARGBP,D,19841001,000000,0.48179,0.48179,0.48179,0.48179,0,0
ZARGBP,D,19841008,000000,0.47827,0.47827,0.47827,0.47827,0,0
ZARGBP,D,19841015,000000,0.45675,0.45675,0.45675,0.45675,0,0
ZARGBP,D,19841022,000000,0.46406,0.46406,0.46406,0.46406,0,0
ZARGBP,D,19841029,000000,0.42847,0.42847,0.42847,0.42847,0,0
ZARGBP,D,19841105,000000,0.45933,0.45933,0.45933,0.45933,0,0
ZARGBP,D,19841112,000000,0.43647,0.43647,0.43647,0.43647,0,0
ZARGBP,D,19841119,000000,0.4363,0.4363,0.4363,0.4363,0,0
ZARGBP,D,19841126,000000,0.44011,0.44011,0.44011,0.44011,0,0
ZARGBP,D,19841201,000000,0.45662,0.45662,0.45662,0.45662,0,0
ZARGBP,D,19841210,000000,0.4556,0.4556,0.4556,0.4556,0,0
ZARGBP,D,19841217,000000,0.43484,0.43484,0.43484,0.43484,0,0
ZARGBP,D,19841224,000000,0.42927,0.42927,0.42927,0.42927,0,0
ZARGBP,D,19850101,000000,0.43629,0.43629,0.43629,0.43629,0,0
ZARGBP,D,19850107,000000,0.41419,0.41419,0.41419,0.41419,0,0
ZARGBP,D,19850114,000000,0.38236,0.38236,0.38236,0.38236,0,0
ZARGBP,D,19850121,000000,0.39523,0.39523,0.39523,0.39523,0,0
ZARGBP,D,19850128,000000,0.41822,0.41822,0.41822,0.41822,0,0
ZARGBP,D,19850204,000000,0.44122,0.44122,0.44122,0.44122,0,0
ZARGBP,D,19850211,000000,0.47665,0.47665,0.47665,0.47665,0,0
ZARGBP,D,19850218,000000,0.48431,0.48431,0.48431,0.48431,0,0
ZARGBP,D,19850225,000000,0.42232,0.42232,0.42232,0.42232,0,0
ZARGBP,D,19850304,000000,0.44722,0.44722,0.44722,0.44722,0,0
ZARGBP,D,19850311,000000,0.47499,0.47499,0.47499,0.47499,0,0
