<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZARXAG,D,19840109,000000,0.09897,0.09897,0.09897,0.09897,0,0
ZARXAG,D,19840116,000000,0.09817,0.09817,0.09817,0.09817,0,0
ZARXAG,D,19840123,000000,0.09852,0.09852,0.09852,0.09852,0,0
ZARXAG,D,19840130,000000,0.09345,0.09345,0.09345,0.09345,0,0
ZARXAG,D,19840206,000000,0.091149,0.091149,0.091149,0.091149,0,0
ZARXAG,D,19840213,000000,0.091876,0.091876,0.091876,0.091876,0,0
ZARXAG,D,19840220,000000,0.091886,0.091886,0.091886,0.091886,0,0
ZARXAG,D,19840301,000000,0.084608,0.084608,0.084608,0.084608,0,0
ZARXAG,D,19840305,000000,0.082128,0.082128,0.082128,0.082128,0,0
ZARXAG,D,19840312,000000,0.084103,0.084103,0.084103,0.084103,0,0
ZARXAG,D,19840319,000000,0.083238,0.083238,0.083238,0.083238,0,0
ZARXAG,D,19840326,000000,0.084296,0.084296,0.084296,0.084296,0,0
ZARXAG,D,19840402,000000,0.085594,0.085594,0.085594,0.085594,0,0
ZARXAG,D,19840409,000000,0.085928,0.085928,0.085928,0.085928,0,0
ZARXAG,D,19840416,000000,0.08716,0.08716,0.08716,0.08716,0,0
ZARXAG,D,19840424,000000,0.086104,0.086104,0.086104,0.086104,0,0
ZARXAG,D,19840502,000000,0.086275,0.086275,0.086275,0.086275,0,0
ZARXAG,D,19840507,000000,0.090497,0.090497,0.090497,0.090497,0,0
ZARXAG,D,19840514,000000,0.086165,0.086165,0.086165,0.086165,0,0
ZARXAG,D,19840521,000000,0.0849,0.0849,0.0849,0.0849,0,0
ZARXAG,D,19840528,000000,0.0849,0.0849,0.0849,0.0849,0,0
ZARXAG,D,19840604,000000,0.083333,0.083333,0.083333,0.083333,0,0
ZARXAG,D,19840611,000000,0.089233,0.089233,0.089233,0.089233,0,0
ZARXAG,D,19840618,000000,0.088423,0.088423,0.088423,0.088423,0,0
ZARXAG,D,19840625,000000,0.088898,0.088898,0.088898,0.088898,0,0
ZARXAG,D,19840702,000000,0.086539,0.086539,0.086539,0.086539,0,0
ZARXAG,D,19840709,000000,0.086642,0.086642,0.086642,0.086642,0,0
ZARXAG,D,19840716,000000,0.089638,0.089638,0.089638,0.089638,0,0
ZARXAG,D,19840723,000000,0.089589,0.089589,0.089589,0.089589,0,0
ZARXAG,D,19840730,000000,0.085658,0.085658,0.085658,0.085658,0,0
ZARXAG,D,19840806,000000,0.083739,0.083739,0.083739,0.083739,0,0
ZARXAG,D,19840813,000000,0.078877,0.078877,0.078877,0.078877,0,0
ZARXAG,D,19840820,000000,0.086484,0.086484,0.086484,0.086484,0,0
ZARXAG,D,19840827,000000,0.084087,0.084087,0.084087,0.084087,0,0
ZARXAG,D,19840901,000000,0.08407,0.08407,0.08407,0.08407,0,0
ZARXAG,D,19840910,000000,0.081517,0.081517,0.081517,0.081517,0,0
ZARXAG,D,19840917,000000,0.082785,0.082785,0.082785,0.082785,0,0
ZARXAG,D,19840924,000000,0.077426,0.077426,0.077426,0.077426,0,0
ZARXAG,D,19841001,000000,0.077608,0.077608,0.077608,0.077608,0,0
ZARXAG,D,19841008,000000,0.080216,0.080216,0.080216,0.080216,0,0
ZARXAG,D,19841015,000000,0.075827,0.075827,0.075827,0.075827,0,0
ZARXAG,D,19841022,000000,0.076259,0.076259,0.076259,0.076259,0,0
ZARXAG,D,19841029,000000,0.07124,0.07124,0.07124,0.07124,0,0
ZARXAG,D,19841105,000000,0.071663,0.071663,0.071663,0.071663,0,0
ZARXAG,D,19841112,000000,0.071399,0.071399,0.071399,0.071399,0,0
ZARXAG,D,19841119,000000,0.07369,0.07369,0.07369,0.07369,0,0
ZARXAG,D,19841126,000000,0.074565,0.074565,0.074565,0.074565,0,0
ZARXAG,D,19841201,000000,0.074509,0.074509,0.074509,0.074509,0,0
ZARXAG,D,19841210,000000,0.079138,0.079138,0.079138,0.079138,0,0
ZARXAG,D,19841217,000000,0.080214,0.080214,0.080214,0.080214,0,0
ZARXAG,D,19841224,000000,0.078148,0.078148,0.078148,0.078148,0,0
ZARXAG,D,19850101,000000,0.078127,0.078127,0.078127,0.078127,0,0
ZARXAG,D,19850107,000000,0.077818,0.077818,0.077818,0.077818,0,0
ZARXAG,D,19850114,000000,0.072944,0.072944,0.072944,0.072944,0,0
ZARXAG,D,19850121,000000,0.070008,0.070008,0.070008,0.070008,0,0
ZARXAG,D,19850128,000000,0.073868,0.073868,0.073868,0.073868,0,0
ZARXAG,D,19850204,000000,0.079485,0.079485,0.079485,0.079485,0,0
ZARXAG,D,19850211,000000,0.083994,0.083994,0.083994,0.083994,0,0
ZARXAG,D,19850218,000000,0.083961,0.083961,0.083961,0.083961,0,0
ZARXAG,D,19850225,000000,0.083344,0.083344,0.083344,0.083344,0,0
ZARXAG,D,19850304,000000,0.082584,0.082584,0.082584,0.082584,0,0
ZARXAG,D,19850311,000000,0.08936,0.08936,0.08936,0.08936,0,0
ZARXAG,D,19850318,000000,0.082922,0.082922,0.082922,0.082922,0,0
ZARXAG,D,19850325,000000,0.079202,0.079202,0.079202,0.079202,0,0
ZARXAG,D,19850329,000000,0.078715,0.078715,0.078715,0.078715,0,0
ZARXAG,D,19850401,000000,0.079628,0.079628,0.079628,0.079628,0,0
ZARXAG,D,19850409,000000,0.075952,0.075952,0.075952,0.075952,0,0
ZARXAG,D,19850415,000000,0.080383,0.080383,0.080383,0.080383,0,0
ZARXAG,D,19850422,000000,0.082171,0.082171,0.082171,0.082171,0,0
ZARXAG,D,19850429,000000,0.07947,0.07947,0.07947,0.07947,0,0
ZARXAG,D,19850506,000000,0.079127,0.079127,0.079127,0.079127,0,0
ZARXAG,D,19850513,000000,0.076259,0.076259,0.076259,0.076259,0,0
ZARXAG,D,19850520,000000,0.082156,0.082156,0.082156,0.082156,0,0
ZARXAG,D,19850527,000000,0.082156,0.082156,0.082156,0.082156,0,0
ZARXAG,D,19850601,000000,0.082147,0.082147,0.082147,0.082147,0,0
ZARXAG,D,19850610,000000,0.080829,0.080829,0.080829,0.080829,0,0
ZARXAG,D,19850617,000000,0.080801,0.080801,0.080801,0.080801,0,0
ZARXAG,D,19850624,000000,0.082466,0.082466,0.082466,0.082466,0,0
ZARXAG,D,19850701,000000,0.084283,0.084283,0.084283,0.084283,0,0
ZARXAG,D,19850708,000000,0.08387,0.08387,0.08387,0.08387,0,0
ZARXAG,D,19850715,000000,0.08451,0.08451,0.08451,0.08451,0,0
ZARXAG,D,19850723,000000,0.086017,0.086017,0.086017,0.086017,0,0
ZARXAG,D,19850729,000000,0.077596,0.077596,0.077596,0.077596,0,0
ZARXAG,D,19850805,000000,0.072685,0.072685,0.072685,0.072685,0,0
ZARXAG,D,19850812,000000,0.075622,0.075622,0.075622,0.075622,0,0
ZARXAG,D,19850819,000000,0.065256,0.065256,0.065256,0.065256,0,0
ZARXAG,D,19850826,000000,0.060999,0.060999,0.060999,0.060999,0,0
ZARXAG,D,19850902,000000,0.060999,0.060999,0.060999,0.060999,0,0
ZARXAG,D,19850909,000000,0.062706,0.062706,0.062706,0.062706,0,0
ZARXAG,D,19850916,000000,0.067456,0.067456,0.067456,0.067456,0,0
ZARXAG,D,19850923,000000,0.063383,0.063383,0.063383,0.063383,0,0
ZARXAG,D,19850930,000000,0.064168,0.064168,0.064168,0.064168,0,0
ZARXAG,D,19851007,000000,0.0592,0.0592,0.0592,0.0592,0,0
ZARXAG,D,19851014,000000,0.060032,0.060032,0.060032,0.060032,0,0
ZARXAG,D,19851021,000000,0.06196,0.06196,0.06196,0.06196,0,0
ZARXAG,D,19851028,000000,0.061629,0.061629,0.061629,0.061629,0,0
ZARXAG,D,19851104,000000,0.063399,0.063399,0.063399,0.063399,0,0
ZARXAG,D,19851111,000000,0.063503,0.063503,0.063503,0.063503,0,0
ZARXAG,D,19851118,000000,0.060775,0.060775,0.060775,0.060775,0,0
ZARXAG,D,19851125,000000,0.058359,0.058359,0.058359,0.058359,0,0
ZARXAG,D,19851202,000000,0.056986,0.056986,0.056986,0.056986,0,0
ZARXAG,D,19851209,000000,0.063241,0.063241,0.063241,0.063241,0,0
ZARXAG,D,19851216,000000,0.062844,0.062844,0.062844,0.062844,0,0
ZARXAG,D,19851223,000000,0.063756,0.063756,0.063756,0.063756,0,0
ZARXAG,D,19860101,000000,0.063756,0.063756,0.063756,0.063756,0,0
ZARXAG,D,19860106,000000,0.062819,0.062819,0.062819,0.062819,0,0
ZARXAG,D,19860113,000000,0.06508,0.06508,0.06508,0.06508,0,0
ZARXAG,D,19860120,000000,0.0636,0.0636,0.0636,0.0636,0,0
ZARXAG,D,19860127,000000,0.067821,0.067821,0.067821,0.067821,0,0
ZARXAG,D,19860201,000000,0.067825,0.067825,0.067825,0.067825,0,0
ZARXAG,D,19860210,000000,0.072477,0.072477,0.072477,0.072477,0,0
ZARXAG,D,19860217,000000,0.072531,0.072531,0.072531,0.072531,0,0
ZARXAG,D,19860224,000000,0.081527,0.081527,0.081527,0.081527,0,0
ZARXAG,D,19860301,000000,0.081535,0.081535,0.081535,0.081535,0,0
ZARXAG,D,19860303,000000,0.087741,0.087741,0.087741,0.087741,0,0
ZARXAG,D,19860310,000000,0.087678,0.087678,0.087678,0.087678,0,0
ZARXAG,D,19860317,000000,0.084543,0.084543,0.084543,0.084543,0,0
ZARXAG,D,19860318,000000,0.085662,0.085662,0.085662,0.085662,0,0
ZARXAG,D,19860324,000000,0.082468,0.082468,0.082468,0.082468,0,0
ZARXAG,D,19860401,000000,0.091164,0.091164,0.091164,0.091164,0,0
ZARXAG,D,19860407,000000,0.087919,0.087919,0.087919,0.087919,0,0
ZARXAG,D,19860409,000000,0.089777,0.089777,0.089777,0.089777,0,0
ZARXAG,D,19860414,000000,0.089731,0.089731,0.089731,0.089731,0,0
ZARXAG,D,19860421,000000,0.09804,0.09804,0.09804,0.09804,0,0
ZARXAG,D,19860428,000000,0.09595,0.09595,0.09595,0.09595,0,0
ZARXAG,D,19860505,000000,0.092746,0.092746,0.092746,0.092746,0,0
ZARXAG,D,19860512,000000,0.090962,0.090962,0.090962,0.090962,0,0
ZARXAG,D,19860519,000000,0.091521,0.091521,0.091521,0.091521,0,0
ZARXAG,D,19860526,000000,0.091461,0.091461,0.091461,0.091461,0,0
ZARXAG,D,19860602,000000,0.080517,0.080517,0.080517,0.080517,0,0
ZARXAG,D,19860609,000000,0.071508,0.071508,0.071508,0.071508,0,0
ZARXAG,D,19860616,000000,0.075903,0.075903,0.075903,0.075903,0,0
ZARXAG,D,19860623,000000,0.076739,0.076739,0.076739,0.076739,0,0
ZARXAG,D,19860630,000000,0.078185,0.078185,0.078185,0.078185,0,0
ZARXAG,D,19860707,000000,0.076694,0.076694,0.076694,0.076694,0,0
ZARXAG,D,19860714,000000,0.074925,0.074925,0.074925,0.074925,0,0
ZARXAG,D,19860721,000000,0.078142,0.078142,0.078142,0.078142,0,0
ZARXAG,D,19860728,000000,0.076476,0.076476,0.076476,0.076476,0,0
ZARXAG,D,19860804,000000,0.075,0.075,0.075,0.075,0,0
ZARXAG,D,19860811,000000,0.069236,0.069236,0.069236,0.069236,0,0
ZARXAG,D,19860818,000000,0.074245,0.074245,0.074245,0.074245,0,0
ZARXAG,D,19860825,000000,0.073081,0.073081,0.073081,0.073081,0,0
ZARXAG,D,19860901,000000,0.073033,0.073033,0.073033,0.073033,0,0
ZARXAG,D,19860908,000000,0.072621,0.072621,0.072621,0.072621,0,0
ZARXAG,D,19860915,000000,0.072269,0.072269,0.072269,0.072269,0,0
ZARXAG,D,19860922,000000,0.074132,0.074132,0.074132,0.074132,0,0
ZARXAG,D,19860929,000000,0.081261,0.081261,0.081261,0.081261,0,0
ZARXAG,D,19861006,000000,0.077491,0.077491,0.077491,0.077491,0,0
ZARXAG,D,19861013,000000,0.078802,0.078802,0.078802,0.078802,0,0
ZARXAG,D,19861020,000000,0.076063,0.076063,0.076063,0.076063,0,0
ZARXAG,D,19861027,000000,0.076957,0.076957,0.076957,0.076957,0,0
ZARXAG,D,19861101,000000,0.076984,0.076984,0.076984,0.076984,0,0
ZARXAG,D,19861110,000000,0.076524,0.076524,0.076524,0.076524,0,0
ZARXAG,D,19861117,000000,0.081216,0.081216,0.081216,0.081216,0,0
ZARXAG,D,19861124,000000,0.082617,0.082617,0.082617,0.082617,0,0
ZARXAG,D,19861201,000000,0.081814,0.081814,0.081814,0.081814,0,0
ZARXAG,D,19861208,000000,0.082231,0.082231,0.082231,0.082231,0,0
ZARXAG,D,19861215,000000,0.080351,0.080351,0.080351,0.080351,0,0
ZARXAG,D,19861222,000000,0.082445,0.082445,0.082445,0.082445,0,0
ZARXAG,D,19861231,000000,0.083711,0.083711,0.083711,0.083711,0,0
ZARXAG,D,19870112,000000,0.084753,0.084753,0.084753,0.084753,0,0
ZARXAG,D,19870119,000000,0.083071,0.083071,0.083071,0.083071,0,0
ZARXAG,D,19870126,000000,0.084866,0.084866,0.084866,0.084866,0,0
ZARXAG,D,19870201,000000,0.084871,0.084871,0.084871,0.084871,0,0
ZARXAG,D,19870209,000000,0.086008,0.086008,0.086008,0.086008,0,0
ZARXAG,D,19870216,000000,0.086022,0.086022,0.086022,0.086022,0,0
ZARXAG,D,19870223,000000,0.086643,0.086643,0.086643,0.086643,0,0
ZARXAG,D,19870302,000000,0.08681,0.08681,0.08681,0.08681,0,0
ZARXAG,D,19870309,000000,0.085562,0.085562,0.085562,0.085562,0,0
ZARXAG,D,19870316,000000,0.084982,0.084982,0.084982,0.084982,0,0
ZARXAG,D,19870323,000000,0.083333,0.083333,0.083333,0.083333,0,0
ZARXAG,D,19870330,000000,0.078591,0.078591,0.078591,0.078591,0,0
ZARXAG,D,19870406,000000,0.074868,0.074868,0.074868,0.074868,0,0
ZARXAG,D,19870413,000000,0.072481,0.072481,0.072481,0.072481,0,0
ZARXAG,D,19870421,000000,0.063219,0.063219,0.063219,0.063219,0,0
ZARXAG,D,19870427,000000,0.059787,0.059787,0.059787,0.059787,0,0
ZARXAG,D,19870504,000000,0.05717,0.05717,0.05717,0.05717,0,0
ZARXAG,D,19870511,000000,0.057354,0.057354,0.057354,0.057354,0,0
ZARXAG,D,19870518,000000,0.054942,0.054942,0.054942,0.054942,0,0
ZARXAG,D,19870525,000000,0.054938,0.054938,0.054938,0.054938,0,0
ZARXAG,D,19870601,000000,0.06597,0.06597,0.06597,0.06597,0,0
ZARXAG,D,19870608,000000,0.065225,0.065225,0.065225,0.065225,0,0
ZARXAG,D,19870615,000000,0.064543,0.064543,0.064543,0.064543,0,0
ZARXAG,D,19870622,000000,0.073243,0.073243,0.073243,0.073243,0,0
ZARXAG,D,19870629,000000,0.06786,0.06786,0.06786,0.06786,0,0
ZARXAG,D,19870706,000000,0.063431,0.063431,0.063431,0.063431,0,0
ZARXAG,D,19870713,000000,0.062942,0.062942,0.062942,0.062942,0,0
ZARXAG,D,19870720,000000,0.062731,0.062731,0.062731,0.062731,0,0
ZARXAG,D,19870727,000000,0.062022,0.062022,0.062022,0.062022,0,0
ZARXAG,D,19870803,000000,0.054884,0.054884,0.054884,0.054884,0,0
ZARXAG,D,19870810,000000,0.061188,0.061188,0.061188,0.061188,0,0
ZARXAG,D,19870817,000000,0.062512,0.062512,0.062512,0.062512,0,0
ZARXAG,D,19870824,000000,0.061299,0.061299,0.061299,0.061299,0,0
ZARXAG,D,19870831,000000,0.065081,0.065081,0.065081,0.065081,0,0
ZARXAG,D,19870907,000000,0.065065,0.065065,0.065065,0.065065,0,0
ZARXAG,D,19870914,000000,0.062735,0.062735,0.062735,0.062735,0,0
ZARXAG,D,19870921,000000,0.062711,0.062711,0.062711,0.062711,0,0
ZARXAG,D,19870928,000000,0.062922,0.062922,0.062922,0.062922,0,0
ZARXAG,D,19871005,000000,0.062195,0.062195,0.062195,0.062195,0,0
ZARXAG,D,19871012,000000,0.06093,0.06093,0.06093,0.06093,0,0
ZARXAG,D,19871019,000000,0.060019,0.060019,0.060019,0.060019,0,0
ZARXAG,D,19871026,000000,0.066043,0.066043,0.066043,0.066043,0,0
ZARXAG,D,19871102,000000,0.072219,0.072219,0.072219,0.072219,0,0
ZARXAG,D,19871109,000000,0.078141,0.078141,0.078141,0.078141,0,0
ZARXAG,D,19871116,000000,0.074737,0.074737,0.074737,0.074737,0,0
ZARXAG,D,19871123,000000,0.072808,0.072808,0.072808,0.072808,0,0
ZARXAG,D,19871130,000000,0.07141,0.07141,0.07141,0.07141,0,0
ZARXAG,D,19871207,000000,0.074408,0.074408,0.074408,0.074408,0,0
ZARXAG,D,19871214,000000,0.072484,0.072484,0.072484,0.072484,0,0
ZARXAG,D,19871221,000000,0.074235,0.074235,0.074235,0.074235,0,0
ZARXAG,D,19871228,000000,0.074674,0.074674,0.074674,0.074674,0,0
ZARXAG,D,19880104,000000,0.079302,0.079302,0.079302,0.079302,0,0
ZARXAG,D,19880111,000000,0.073605,0.073605,0.073605,0.073605,0,0
ZARXAG,D,19880118,000000,0.076054,0.076054,0.076054,0.076054,0,0
ZARXAG,D,19880125,000000,0.075933,0.075933,0.075933,0.075933,0,0
ZARXAG,D,19880201,000000,0.075802,0.075802,0.075802,0.075802,0,0
ZARXAG,D,19880208,000000,0.078202,0.078202,0.078202,0.078202,0,0
ZARXAG,D,19880215,000000,0.078205,0.078205,0.078205,0.078205,0,0
ZARXAG,D,19880222,000000,0.075364,0.075364,0.075364,0.075364,0,0
ZARXAG,D,19880229,000000,0.075802,0.075802,0.075802,0.075802,0,0
ZARXAG,D,19880307,000000,0.07201,0.07201,0.07201,0.07201,0,0
ZARXAG,D,19880314,000000,0.074854,0.074854,0.074854,0.074854,0,0
ZARXAG,D,19880321,000000,0.071874,0.071874,0.071874,0.071874,0,0
ZARXAG,D,19880328,000000,0.06997,0.06997,0.06997,0.06997,0,0
ZARXAG,D,19880405,000000,0.070287,0.070287,0.070287,0.070287,0,0
ZARXAG,D,19880411,000000,0.071907,0.071907,0.071907,0.071907,0,0
ZARXAG,D,19880418,000000,0.072891,0.072891,0.072891,0.072891,0,0
ZARXAG,D,19880425,000000,0.073036,0.073036,0.073036,0.073036,0,0
ZARXAG,D,19880502,000000,0.072018,0.072018,0.072018,0.072018,0,0
ZARXAG,D,19880509,000000,0.069516,0.069516,0.069516,0.069516,0,0
ZARXAG,D,19880516,000000,0.068366,0.068366,0.068366,0.068366,0,0
ZARXAG,D,19880523,000000,0.066327,0.066327,0.066327,0.066327,0,0
ZARXAG,D,19880530,000000,0.066344,0.066344,0.066344,0.066344,0,0
ZARXAG,D,19880606,000000,0.060999,0.060999,0.060999,0.060999,0,0
ZARXAG,D,19880613,000000,0.063335,0.063335,0.063335,0.063335,0,0
ZARXAG,D,19880620,000000,0.060905,0.060905,0.060905,0.060905,0,0
ZARXAG,D,19880627,000000,0.062385,0.062385,0.062385,0.062385,0,0
ZARXAG,D,19880704,000000,0.062364,0.062364,0.062364,0.062364,0,0
ZARXAG,D,19880711,000000,0.060367,0.060367,0.060367,0.060367,0,0
ZARXAG,D,19880718,000000,0.056291,0.056291,0.056291,0.056291,0,0
ZARXAG,D,19880725,000000,0.058191,0.058191,0.058191,0.058191,0,0
ZARXAG,D,19880801,000000,0.058983,0.058983,0.058983,0.058983,0,0
ZARXAG,D,19880808,000000,0.059843,0.059843,0.059843,0.059843,0,0
ZARXAG,D,19880815,000000,0.060619,0.060619,0.060619,0.060619,0,0
ZARXAG,D,19880822,000000,0.059831,0.059831,0.059831,0.059831,0,0
ZARXAG,D,19880829,000000,0.061597,0.061597,0.061597,0.061597,0,0
ZARXAG,D,19880905,000000,0.0616,0.0616,0.0616,0.0616,0,0
ZARXAG,D,19880912,000000,0.062638,0.062638,0.062638,0.062638,0,0
ZARXAG,D,19880919,000000,0.062583,0.062583,0.062583,0.062583,0,0
ZARXAG,D,19880926,000000,0.064681,0.064681,0.064681,0.064681,0,0
ZARXAG,D,19881003,000000,0.063453,0.063453,0.063453,0.063453,0,0
ZARXAG,D,19881010,000000,0.062565,0.062565,0.062565,0.062565,0,0
ZARXAG,D,19881017,000000,0.063343,0.063343,0.063343,0.063343,0,0
ZARXAG,D,19881024,000000,0.065306,0.065306,0.065306,0.065306,0,0
ZARXAG,D,19881031,000000,0.062734,0.062734,0.062734,0.062734,0,0
ZARXAG,D,19881107,000000,0.062516,0.062516,0.062516,0.062516,0,0
ZARXAG,D,19881114,000000,0.064344,0.064344,0.064344,0.064344,0,0
ZARXAG,D,19881121,000000,0.069983,0.069983,0.069983,0.069983,0,0
ZARXAG,D,19881128,000000,0.068439,0.068439,0.068439,0.068439,0,0
ZARXAG,D,19881205,000000,0.070138,0.070138,0.070138,0.070138,0,0
ZARXAG,D,19881212,000000,0.067548,0.067548,0.067548,0.067548,0,0
ZARXAG,D,19881219,000000,0.067711,0.067711,0.067711,0.067711,0,0
ZARXAG,D,19881227,000000,0.067498,0.067498,0.067498,0.067498,0,0
ZARXAG,D,19890102,000000,0.067498,0.067498,0.067498,0.067498,0,0
ZARXAG,D,19890109,000000,0.069564,0.069564,0.069564,0.069564,0,0
ZARXAG,D,19890116,000000,0.070483,0.070483,0.070483,0.070483,0,0
ZARXAG,D,19890123,000000,0.067224,0.067224,0.067224,0.067224,0,0
ZARXAG,D,19890130,000000,0.070573,0.070573,0.070573,0.070573,0,0
ZARXAG,D,19890206,000000,0.069396,0.069396,0.069396,0.069396,0,0
ZARXAG,D,19890213,000000,0.069891,0.069891,0.069891,0.069891,0,0
ZARXAG,D,19890220,000000,0.069882,0.069882,0.069882,0.069882,0,0
ZARXAG,D,19890227,000000,0.067653,0.067653,0.067653,0.067653,0,0
ZARXAG,D,19890306,000000,0.067523,0.067523,0.067523,0.067523,0,0
ZARXAG,D,19890313,000000,0.06391,0.06391,0.06391,0.06391,0,0
ZARXAG,D,19890320,000000,0.063449,0.063449,0.063449,0.063449,0,0
ZARXAG,D,19890328,000000,0.067033,0.067033,0.067033,0.067033,0,0
ZARXAG,D,19890403,000000,0.06701,0.06701,0.06701,0.06701,0,0
ZARXAG,D,19890410,000000,0.066775,0.066775,0.066775,0.066775,0,0
ZARXAG,D,19890417,000000,0.067009,0.067009,0.067009,0.067009,0,0
ZARXAG,D,19890424,000000,0.067526,0.067526,0.067526,0.067526,0,0
ZARXAG,D,19890502,000000,0.068028,0.068028,0.068028,0.068028,0,0
ZARXAG,D,19890508,000000,0.067968,0.067968,0.067968,0.067968,0,0
ZARXAG,D,19890515,000000,0.067241,0.067241,0.067241,0.067241,0,0
ZARXAG,D,19890522,000000,0.069584,0.069584,0.069584,0.069584,0,0
ZARXAG,D,19890529,000000,0.069587,0.069587,0.069587,0.069587,0,0
ZARXAG,D,19890605,000000,0.068857,0.068857,0.068857,0.068857,0,0
ZARXAG,D,19890612,000000,0.067554,0.067554,0.067554,0.067554,0,0
ZARXAG,D,19890619,000000,0.067117,0.067117,0.067117,0.067117,0,0
ZARXAG,D,19890626,000000,0.067996,0.067996,0.067996,0.067996,0,0
ZARXAG,D,19890703,000000,0.068357,0.068357,0.068357,0.068357,0,0
ZARXAG,D,19890710,000000,0.070935,0.070935,0.070935,0.070935,0,0
ZARXAG,D,19890717,000000,0.068981,0.068981,0.068981,0.068981,0,0
ZARXAG,D,19890724,000000,0.070289,0.070289,0.070289,0.070289,0,0
ZARXAG,D,19890731,000000,0.071064,0.071064,0.071064,0.071064,0,0
ZARXAG,D,19890807,000000,0.071783,0.071783,0.071783,0.071783,0,0
ZARXAG,D,19890814,000000,0.070167,0.070167,0.070167,0.070167,0,0
ZARXAG,D,19890821,000000,0.069139,0.069139,0.069139,0.069139,0,0
ZARXAG,D,19890828,000000,0.068904,0.068904,0.068904,0.068904,0,0
ZARXAG,D,19890904,000000,0.068913,0.068913,0.068913,0.068913,0,0
ZARXAG,D,19890911,000000,0.06872,0.06872,0.06872,0.06872,0,0
ZARXAG,D,19890918,000000,0.068725,0.068725,0.068725,0.068725,0,0
ZARXAG,D,19890925,000000,0.067719,0.067719,0.067719,0.067719,0,0
ZARXAG,D,19890928,000000,0.068463,0.068463,0.068463,0.068463,0,0
ZARXAG,D,19891002,000000,0.070007,0.070007,0.070007,0.070007,0,0
ZARXAG,D,19891009,000000,0.072476,0.072476,0.072476,0.072476,0,0
ZARXAG,D,19891016,000000,0.072924,0.072924,0.072924,0.072924,0,0
ZARXAG,D,19891023,000000,0.073143,0.073143,0.073143,0.073143,0,0
ZARXAG,D,19891030,000000,0.071875,0.071875,0.071875,0.071875,0,0
ZARXAG,D,19891106,000000,0.071876,0.071876,0.071876,0.071876,0,0
ZARXAG,D,19891113,000000,0.070798,0.070798,0.070798,0.070798,0,0
ZARXAG,D,19891120,000000,0.06676,0.06676,0.06676,0.06676,0,0
ZARXAG,D,19891127,000000,0.065808,0.065808,0.065808,0.065808,0,0
ZARXAG,D,19891204,000000,0.068261,0.068261,0.068261,0.068261,0,0
ZARXAG,D,19891211,000000,0.066569,0.066569,0.066569,0.066569,0,0
ZARXAG,D,19891218,000000,0.069027,0.069027,0.069027,0.069027,0,0
ZARXAG,D,19891227,000000,0.07415,0.07415,0.07415,0.07415,0,0
ZARXAG,D,19900101,000000,0.074149,0.074149,0.074149,0.074149,0,0
ZARXAG,D,19900108,000000,0.074436,0.074436,0.074436,0.074436,0,0
