<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZARXPD,D,19840109,000000,0.0055342,0.0055342,0.0055342,0.0055342,0,0
ZARXPD,D,19840116,000000,0.0052047,0.0052047,0.0052047,0.0052047,0,0
ZARXPD,D,19840123,000000,0.0052666,0.0052666,0.0052666,0.0052666,0,0
ZARXPD,D,19840130,000000,0.0049833,0.0049833,0.0049833,0.0049833,0,0
ZARXPD,D,19840206,000000,0.0051378,0.0051378,0.0051378,0.0051378,0,0
ZARXPD,D,19840213,000000,0.0051378,0.0051378,0.0051378,0.0051378,0,0
ZARXPD,D,19840220,000000,0.005138,0.005138,0.005138,0.005138,0,0
ZARXPD,D,19840301,000000,0.0052833,0.0052833,0.0052833,0.0052833,0,0
ZARXPD,D,19840305,000000,0.0051602,0.0051602,0.0051602,0.0051602,0,0
ZARXPD,D,19840312,000000,0.0051782,0.0051782,0.0051782,0.0051782,0,0
ZARXPD,D,19840319,000000,0.0051037,0.0051037,0.0051037,0.0051037,0,0
ZARXPD,D,19840326,000000,0.0049852,0.0049852,0.0049852,0.0049852,0,0
ZARXPD,D,19840402,000000,0.0050795,0.0050795,0.0050795,0.0050795,0,0
ZARXPD,D,19840409,000000,0.0050188,0.0050188,0.0050188,0.0050188,0,0
ZARXPD,D,19840416,000000,0.0050615,0.0050615,0.0050615,0.0050615,0,0
ZARXPD,D,19840424,000000,0.0048463,0.0048463,0.0048463,0.0048463,0,0
ZARXPD,D,19840502,000000,0.0050409,0.0050409,0.0050409,0.0050409,0,0
ZARXPD,D,19840507,000000,0.0051996,0.0051996,0.0051996,0.0051996,0,0
ZARXPD,D,19840514,000000,0.0050298,0.0050298,0.0050298,0.0050298,0,0
ZARXPD,D,19840521,000000,0.005049,0.005049,0.005049,0.005049,0,0
ZARXPD,D,19840528,000000,0.005049,0.005049,0.005049,0.005049,0,0
ZARXPD,D,19840604,000000,0.005085,0.005085,0.005085,0.005085,0,0
ZARXPD,D,19840611,000000,0.0051948,0.0051948,0.0051948,0.0051948,0,0
ZARXPD,D,19840618,000000,0.0050401,0.0050401,0.0050401,0.0050401,0,0
ZARXPD,D,19840625,000000,0.0050124,0.0050124,0.0050124,0.0050124,0,0
ZARXPD,D,19840702,000000,0.0049576,0.0049576,0.0049576,0.0049576,0,0
ZARXPD,D,19840709,000000,0.0048919,0.0048919,0.0048919,0.0048919,0,0
ZARXPD,D,19840716,000000,0.0049474,0.0049474,0.0049474,0.0049474,0,0
ZARXPD,D,19840723,000000,0.0051066,0.0051066,0.0051066,0.0051066,0,0
ZARXPD,D,19840730,000000,0.0048474,0.0048474,0.0048474,0.0048474,0,0
ZARXPD,D,19840806,000000,0.0047718,0.0047718,0.0047718,0.0047718,0,0
ZARXPD,D,19840813,000000,0.0046386,0.0046386,0.0046386,0.0046386,0,0
ZARXPD,D,19840820,000000,0.0049374,0.0049374,0.0049374,0.0049374,0,0
ZARXPD,D,19840827,000000,0.0048606,0.0048606,0.0048606,0.0048606,0,0
ZARXPD,D,19840901,000000,0.0048596,0.0048596,0.0048596,0.0048596,0,0
ZARXPD,D,19840910,000000,0.0046013,0.0046013,0.0046013,0.0046013,0,0
ZARXPD,D,19840917,000000,0.0046042,0.0046042,0.0046042,0.0046042,0,0
ZARXPD,D,19840924,000000,0.0044105,0.0044105,0.0044105,0.0044105,0,0
ZARXPD,D,19841001,000000,0.0043864,0.0043864,0.0043864,0.0043864,0,0
ZARXPD,D,19841008,000000,0.0044024,0.0044024,0.0044024,0.0044024,0,0
ZARXPD,D,19841015,000000,0.0040512,0.0040512,0.0040512,0.0040512,0,0
ZARXPD,D,19841022,000000,0.004034,0.004034,0.004034,0.004034,0,0
ZARXPD,D,19841029,000000,0.0037406,0.0037406,0.0037406,0.0037406,0,0
ZARXPD,D,19841105,000000,0.0037154,0.0037154,0.0037154,0.0037154,0,0
ZARXPD,D,19841112,000000,0.0038635,0.0038635,0.0038635,0.0038635,0,0
ZARXPD,D,19841119,000000,0.0038884,0.0038884,0.0038884,0.0038884,0,0
ZARXPD,D,19841126,000000,0.0039539,0.0039539,0.0039539,0.0039539,0,0
ZARXPD,D,19841201,000000,0.0039511,0.0039511,0.0039511,0.0039511,0,0
ZARXPD,D,19841210,000000,0.0040207,0.0040207,0.0040207,0.0040207,0,0
ZARXPD,D,19841217,000000,0.0041245,0.0041245,0.0041245,0.0041245,0,0
ZARXPD,D,19841224,000000,0.0040183,0.0040183,0.0040183,0.0040183,0,0
ZARXPD,D,19850101,000000,0.0040169,0.0040169,0.0040169,0.0040169,0,0
