<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^MT30,D,20131126,000000,1000,1000,1000,1000,0,0
^MT30,D,20131127,000000,998.44,998.44,998.44,998.44,0,0
^MT30,D,20131128,000000,999.93,999.93,999.93,999.93,0,0
^MT30,D,20131129,000000,999.93,999.93,999.93,999.93,0,0
^MT30,D,20131201,000000,996.63,996.63,996.63,996.63,0,0
^MT30,D,20131202,000000,1001.3,1001.3,1001.3,1001.3,0,0
^MT30,D,20131203,000000,990.78,990.78,990.78,990.78,0,0
^MT30,D,20131204,000000,991.48,991.48,991.48,991.48,0,0
^MT30,D,20131205,000000,991.22,991.22,991.22,991.22,0,0
^MT30,D,20131206,000000,991.22,991.22,991.22,991.22,0,0
^MT30,D,20131208,000000,1001.29,1001.29,1001.29,1001.29,0,0
^MT30,D,20131209,000000,1006.67,1006.67,1006.67,1006.67,0,0
^MT30,D,20131210,000000,1012.96,1012.96,1012.96,1012.96,0,0
^MT30,D,20131211,000000,1012.36,1012.36,1012.36,1012.36,0,0
^MT30,D,20131212,000000,1010.57,1010.57,1010.57,1010.57,0,0
^MT30,D,20131213,000000,1010.57,1010.57,1010.57,1010.57,0,0
^MT30,D,20131215,000000,1012.67,1012.67,1012.67,1012.67,0,0
^MT30,D,20131216,000000,1010.33,1010.33,1010.33,1010.33,0,0
^MT30,D,20131217,000000,1013.97,1013.97,1013.97,1013.97,0,0
^MT30,D,20131218,000000,1015.12,1015.12,1015.12,1015.12,0,0
^MT30,D,20131219,000000,1026,1026,1026,1026,0,0
^MT30,D,20131220,000000,1026,1026,1026,1026,0,0
^MT30,D,20131222,000000,1033.49,1033.49,1033.49,1033.49,0,0
^MT30,D,20131223,000000,1033.83,1033.83,1033.83,1033.83,0,0
^MT30,D,20131224,000000,1028.57,1028.57,1028.57,1028.57,0,0
^MT30,D,20131225,000000,1021.01,1021.01,1021.01,1021.01,0,0
^MT30,D,20131226,000000,1021.64,1021.64,1021.64,1021.64,0,0
^MT30,D,20131227,000000,1021.64,1021.64,1021.64,1021.64,0,0
^MT30,D,20131229,000000,1022.76,1022.76,1022.76,1022.76,0,0
^MT30,D,20131230,000000,1023.72,1023.72,1023.72,1023.72,0,0
^MT30,D,20131231,000000,1022.35,1022.35,1022.35,1022.35,0,0
^MT30,D,20140101,000000,1033.94,1033.94,1033.94,1033.94,0,0
^MT30,D,20140102,000000,1032.96,1032.96,1032.96,1032.96,0,0
^MT30,D,20140103,000000,1032.96,1032.96,1032.96,1032.96,0,0
^MT30,D,20140105,000000,1033.67,1033.67,1033.67,1033.67,0,0
^MT30,D,20140106,000000,1033.06,1033.06,1033.06,1033.06,0,0
^MT30,D,20140107,000000,1035.25,1035.25,1035.25,1035.25,0,0
^MT30,D,20140108,000000,1045.49,1045.49,1045.49,1045.49,0,0
^MT30,D,20140109,000000,1053,1053,1053,1053,0,0
^MT30,D,20140110,000000,1053,1053,1053,1053,0,0
^MT30,D,20140112,000000,1057.59,1057.59,1057.59,1057.59,0,0
^MT30,D,20140113,000000,1056.27,1056.27,1056.27,1056.27,0,0
^MT30,D,20140114,000000,1056.88,1056.88,1056.88,1056.88,0,0
^MT30,D,20140115,000000,1065.84,1065.84,1065.84,1065.84,0,0
^MT30,D,20140116,000000,1069.74,1069.74,1069.74,1069.74,0,0
^MT30,D,20140117,000000,1069.74,1069.74,1069.74,1069.74,0,0
^MT30,D,20140119,000000,1065.99,1065.99,1065.99,1065.99,0,0
^MT30,D,20140120,000000,1061.74,1061.74,1061.74,1061.74,0,0
^MT30,D,20140121,000000,1067.22,1067.22,1067.22,1067.22,0,0
^MT30,D,20140122,000000,1067.18,1067.18,1067.18,1067.18,0,0
^MT30,D,20140123,000000,1066.83,1066.83,1066.83,1066.83,0,0
^MT30,D,20140124,000000,1066.83,1066.83,1066.83,1066.83,0,0
^MT30,D,20140126,000000,1061.9,1061.9,1061.9,1061.9,0,0
^MT30,D,20140127,000000,1052.17,1052.17,1052.17,1052.17,0,0
^MT30,D,20140128,000000,1048.47,1048.47,1048.47,1048.47,0,0
^MT30,D,20140129,000000,1054.5,1054.5,1054.5,1054.5,0,0
^MT30,D,20140130,000000,1063.72,1063.72,1063.72,1063.72,0,0
^MT30,D,20140131,000000,1063.72,1063.72,1063.72,1063.72,0,0
^MT30,D,20140202,000000,1076.5,1076.5,1076.5,1076.5,0,0
^MT30,D,20140203,000000,1070.26,1070.26,1070.26,1070.26,0,0
^MT30,D,20140204,000000,1064.56,1064.56,1064.56,1064.56,0,0
^MT30,D,20140205,000000,1065.9,1065.9,1065.9,1065.9,0,0
^MT30,D,20140206,000000,1066.55,1066.55,1066.55,1066.55,0,0
^MT30,D,20140207,000000,1066.55,1066.55,1066.55,1066.55,0,0
^MT30,D,20140209,000000,1073.45,1073.45,1073.45,1073.45,0,0
^MT30,D,20140210,000000,1072.91,1072.91,1072.91,1072.91,0,0
^MT30,D,20140211,000000,1070.04,1070.04,1070.04,1070.04,0,0
^MT30,D,20140212,000000,1076.4,1076.4,1076.4,1076.4,0,0
^MT30,D,20140213,000000,1080.44,1080.44,1080.44,1080.44,0,0
^MT30,D,20140214,000000,1080.44,1080.44,1080.44,1080.44,0,0
^MT30,D,20140216,000000,1085.94,1085.94,1085.94,1085.94,0,0
^MT30,D,20140217,000000,1082.98,1082.98,1082.98,1082.98,0,0
^MT30,D,20140218,000000,1085.39,1085.39,1085.39,1085.39,0,0
^MT30,D,20140219,000000,1085.94,1085.94,1085.94,1085.94,0,0
^MT30,D,20140220,000000,1084.66,1084.66,1084.66,1084.66,0,0
^MT30,D,20140221,000000,1084.66,1084.66,1084.66,1084.66,0,0
^MT30,D,20140223,000000,1089.79,1089.79,1089.79,1089.79,0,0
^MT30,D,20140224,000000,1093.61,1093.61,1093.61,1093.61,0,0
^MT30,D,20140225,000000,1092,1092,1092,1092,0,0
^MT30,D,20140226,000000,1091.68,1091.68,1091.68,1091.68,0,0
^MT30,D,20140227,000000,1097.4,1097.4,1097.4,1097.4,0,0
