TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_USNQ,D,2016-02-16,000000,859.04,866.94,859.04,866.94,1720392781,0
^_USNQ,D,2017-01-03,000000,982.35,982.66,982.35,982.66,1678109383,0
^_USNQ,D,2018-01-02,000000,1007.62,1021.41,1007.62,1020.39,1535923551,0
^_USNQ,D,2019-01-02,000000,740.98,757.07,734.67,757.07,1631489571,0
^_USNQ,D,2020-01-02,000000,749.44,754.93,749.44,754.93,2181833643,0
^_USNQ,D,2021-01-04,000000,891.4,901.32,882.93,890.58,5014299253,0
^_USNQ,D,2022-01-03,000000,787.73,801.61,787.73,801.61,3146770216,0
^_USNQ,D,2023-01-03,000000,367.89,373.91,367.89,372.54,3459336129,0
^_USNQ,D,2024-01-02,000000,313.68,316.44,313.41,314.36,3982893479,0
^_USNQ,D,2025-01-02,000000,283.63,289.28,283.63,287.05,6364907991,0
